Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Ryan Longwell kicks off 65 yards, returned by Eddie Drummond for 37 yards (tackle by Ahmad Carroll)",0.000,1.730
1,14:51,1,10,DET 42,0,0,Artose Pinner up the middle for 2 yards (tackle by Hannibal Navies),1.730,1.460
1,14:17,2,8,DET 44,0,0,Artose Pinner right tackle for no gain (tackle by Nick Barnett),1.460,0.760
1,13:39,3,8,DET 44,0,0,Joey Harrington sacked by Nick Barnett for -9 yards,0.760,-1.040
1,13:12,4,17,DET 35,0,0,Nick Harris punts 51 yards (tackle by Stephen Trejo),-1.040,-0.610
1,13:01,1,10,GNB 25,0,0,Brett Favre pass complete to Antonio Chatman for 5 yards (tackle by James Davis),0.610,0.740
1,12:24,2,5,GNB 30,0,0,Ahman Green right end for 4 yards (tackle by Shaun Rogers),0.740,0.560
1,11:50,3,1,GNB 34,0,0,Ahman Green right end for 4 yards (tackle by Teddy Lehman),0.560,1.470
1,11:12,1,10,GNB 38,0,0,Ahman Green left end for 1 yard (tackle by Brock Marion),1.470,1.060
1,10:29,2,9,GNB 39,0,0,Brett Favre pass complete to Donald Driver for 11 yards (tackle by Fernando Bryant),1.060,2.260
1,9:54,1,10,DET 50,0,0,Najeh Davenport left end for 9 yards (tackle by Dre' Bly),2.260,2.930
1,9:17,2,1,DET 41,0,0,Nick Luchey up the middle for 3 yards (tackle by Earl Holmes and Dan Wilkinson),2.930,3.050
1,8:38,1,10,DET 38,0,0,Brett Favre pass complete to Antonio Chatman for 9 yards,3.050,3.720
1,8:15,2,1,DET 29,0,0,Ahman Green right end for 5 yards,3.720,3.970
1,7:35,1,10,DET 24,0,0,Brett Favre pass complete to Tony Fisher for 17 yards (tackle by Kelvin Pritchett),3.970,5.600
1,6:53,1,7,DET 7,6,0,"Brett Favre pass complete to Donald Driver for 7 yards, touchdown",5.600,7.000
