Unnamed: 0,GNB,DET
First Downs,28,5
Rush-Yds-TDs,39-157-1,16-33-0
Cmp-Att-Yd-TD-INT,26-39-277-3-0,12-23-101-1-1
Sacked-Yards,0-0,1-9
Net Pass Yards,277,92
Total Yards,434,125
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,3-15,2-20
Third Down Conv.,8-14,1-11
Fourth Down Conv.,1-1,0-1
Time of Possession,39:41,20:19
