Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 68 yards, returned by Braxton Berrios for 25 yards (tackle by Josh Ross)",0.000,0.410
1,14:56,1,10,NYJ 22,0,0,Michael Carter left end for 19 yards (tackle by Marcus Williams and Chuck Clark),0.410,1.660
1,14:29,1,10,NYJ 41,0,0,Joe Flacco pass incomplete short left intended for Michael Carter,1.660,1.120
1,14:25,2,10,NYJ 41,0,0,Michael Carter left end for 5 yards (tackle by Malik Harrison),1.120,1.090
1,14:01,3,5,NYJ 46,0,0,Joe Flacco pass incomplete short right,1.090,-0.980
1,13:53,4,15,NYJ 36,0,0,"Braden Mann punts 45 yards, returned by Devin Duvernay for 9 yards (tackle by Thomas Hennessy)",-0.980,-0.810
1,13:42,1,10,BAL 28,0,0,Lamar Jackson pass complete short right to Rashod Bateman for 4 yards (tackle by Jordan Whitehead),0.810,0.800
1,13:21,2,6,BAL 32,0,0,Lamar Jackson pass complete short left to Devin Duvernay for 4 yards (tackle by C.J. Mosley),0.800,0.630
1,12:40,3,2,BAL 36,0,0,Lamar Jackson right tackle for 4 yards (tackle by C.J. Mosley and Jordan Whitehead),0.630,1.600
1,12:01,1,10,BAL 40,0,0,Kenyan Drake right end for no gain (tackle by Quincy Williams),1.600,1.050
1,11:19,2,10,BAL 40,0,0,Lamar Jackson pass complete short left to Devin Duvernay for 8 yards (tackle by D.J. Reed),1.050,1.420
1,10:40,3,2,BAL 48,0,0,Kenyan Drake right tackle for 1 yard (tackle by C.J. Mosley and Jacob Martin),1.420,-0.130
1,9:56,,,,,,Timeout #1 by Baltimore Ravens,,
1,9:56,4,1,BAL 49,0,0,"Jordan Stout punts 40 yards, fair catch by Braxton Berrios at NYJ-11",-0.130,0.370
1,9:49,1,10,NYJ 11,0,0,Breece Hall right end for -2 yards (tackle by Justin Madubuike),-0.370,-0.930
1,9:11,2,12,NYJ 9,0,0,Joe Flacco pass complete short left to Breece Hall for 3 yards (tackle by Chuck Clark),-0.930,-1.300
1,8:31,3,9,NYJ 12,0,0,"Joe Flacco pass incomplete deep left. Penalty on Marlon Humphrey: Illegal Contact, 5 yards (accepted) (no play)",-1.300,-0.060
1,8:27,1,10,NYJ 17,0,0,Michael Carter up the middle for 1 yard (tackle by Patrick Queen),-0.060,-0.420
1,7:51,2,9,NYJ 18,0,0,Michael Carter left guard for no gain (tackle by Michael Pierce),-0.420,-1.130
1,7:16,3,9,NYJ 18,0,0,Joe Flacco pass incomplete deep right intended for Corey Davis,-1.130,-2.240
1,7:12,4,9,NYJ 18,0,0,"Braden Mann punts 48 yards, fair catch by Devin Duvernay at BAL-34",-2.240,-1.200
1,7:05,1,10,BAL 34,0,0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,1.200,0.660
1,7:02,2,10,BAL 34,0,0,Mike Davis up the middle for 1 yard (tackle by C.J. Mosley and Micheal Clemons),0.660,0.100
1,6:13,3,9,BAL 35,0,0,Lamar Jackson pass incomplete short right intended for Isaiah Likely,0.100,-1.040
1,6:08,4,9,BAL 35,0,0,"Jordan Stout punts 48 yards, fair catch by Braxton Berrios at NYJ-17",-1.040,0.060
1,6:01,1,10,NYJ 17,0,0,Joe Flacco pass complete deep left to Elijah Moore for 24 yards (tackle by Marcus Williams),-0.060,1.660
1,5:21,1,10,NYJ 41,0,0,"Michael Carter right end for 1 yard (tackle by Malik Harrison). Penalty on Lawrence Cager: Offensive Holding, 10 yards (accepted)",1.660,1.070
1,5:06,1,19,NYJ 32,0,0,Joe Flacco pass short middle intended for Lawrence Cager is intercepted by Marcus Williams at NYJ-46 and returned for 33 yards (tackle by Joe Flacco),1.070,-4.710
1,4:56,1,10,NYJ 13,0,0,Kenyan Drake left tackle for -1 yards (tackle by Carl Lawson),4.710,3.900
1,4:08,2,11,NYJ 14,0,0,Lamar Jackson pass complete short right to Demarcus Robinson for 8 yards (tackle by Jordan Whitehead),3.900,4.560
1,3:24,3,3,NYJ 6,0,0,Lamar Jackson pass incomplete short middle intended for Isaiah Likely (defended by Quinnen Williams),4.560,3.010
1,3:19,4,3,NYJ 6,3,0,Justin Tucker 24 yard field goal good,3.010,3.000
1,3:16,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,3:16,1,10,NYJ 25,3,0,Joe Flacco pass incomplete short middle intended for Corey Davis,0.610,0.060
1,3:11,2,10,NYJ 25,3,0,Joe Flacco pass incomplete short left intended for Breece Hall,0.060,-0.620
1,3:07,3,10,NYJ 25,3,0,Joe Flacco pass complete short right to Garrett Wilson for 9 yards (tackle by Odafe Oweh and Calais Campbell),-0.620,-1.110
1,2:01,4,1,NYJ 34,3,0,"Braden Mann punts 50 yards, fair catch by Devin Duvernay at BAL-16",-1.110,0.140
1,1:53,1,10,BAL 16,3,0,Lamar Jackson pass complete short right to Demarcus Robinson for 11 yards (tackle by Sauce Gardner),-0.140,0.740
1,1:12,1,10,BAL 27,3,0,Lamar Jackson pass complete short left to Justice Hill for 2 yards (tackle by Kwon Alexander),0.740,0.470
1,0:27,2,8,BAL 29,3,0,Kenyan Drake up the middle for 3 yards (tackle by Jermaine Johnson),0.470,0.170
Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,BAL 32,3,0,Lamar Jackson pass incomplete short left intended for Rashod Bateman (defended by Jordan Whitehead),0.170,-1.240
2,14:56,4,5,BAL 32,3,0,"Jordan Stout punts 56 yards, returned by Braxton Berrios for 17 yards (tackle by Del'Shawn Phillips)",-1.240,-0.870
2,14:45,1,10,NYJ 29,3,0,Joe Flacco pass complete short left to Corey Davis for 15 yards (tackle by Marcus Williams),0.870,1.860
2,14:18,1,10,NYJ 44,3,0,Joe Flacco pass complete short left to Michael Carter for 11 yards (tackle by Malik Harrison and Patrick Queen),1.860,2.590
2,13:37,1,10,BAL 45,3,0,Breece Hall left tackle for 4 yards (tackle by Justin Madubuike and Marlon Humphrey),2.590,2.650
2,13:01,2,5,BAL 41,3,0,Joe Flacco pass complete short right to Michael Carter for 8 yards (tackle by Justin Houston),2.650,3.380
2,12:21,1,10,BAL 33,3,0,Breece Hall up the middle for no gain (tackle by Calais Campbell and Justin Madubuike),3.380,2.840
2,11:40,2,10,BAL 33,3,0,Joe Flacco pass complete short right to Braxton Berrios for 6 yards (tackle by Patrick Queen),2.840,2.940
2,11:00,3,4,BAL 27,3,0,Joe Flacco pass incomplete short right intended for Elijah Moore (defended by Brandon Stephens),2.940,1.750
2,10:55,4,4,BAL 27,3,0,Greg Zuerlein 45 yard field goal no good,1.750,-1.270
2,10:51,1,10,BAL 35,3,0,Lamar Jackson pass complete short right to Mark Andrews for 5 yards (tackle by Jordan Whitehead),1.270,1.400
2,10:17,2,5,BAL 40,3,0,Lamar Jackson pass complete short middle to Mark Andrews for 11 yards (tackle by Quincy Williams),1.400,2.320
2,9:43,1,10,NYJ 49,3,0,Lamar Jackson sacked by Quincy Williams for no gain,2.320,1.780
2,9:01,2,10,NYJ 49,3,0,Lamar Jackson sacked by and Jermaine Johnson for -2 yards and Jacob Martin for -2 yards,1.780,0.830
2,8:16,3,12,BAL 49,3,0,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,0.830,-0.130
2,8:08,4,12,BAL 49,3,0,"Jordan Stout punts 40 yards, fair catch by Braxton Berrios at NYJ-11",-0.130,0.370
2,8:01,1,10,NYJ 11,3,0,Breece Hall right end for 14 yards (tackle by Kyle Fuller),-0.370,0.610
2,7:36,1,10,NYJ 25,3,0,Joe Flacco pass complete short left to Michael Carter for 5 yards (tackle by Malik Harrison),0.610,0.740
2,6:54,2,5,NYJ 30,3,0,Joe Flacco pass complete short right to Breece Hall for 6 yards (tackle by Patrick Queen),0.740,1.330
2,6:18,1,10,NYJ 36,3,0,Joe Flacco sacked by Justin Houston for -6 yards,1.330,-0.020
2,5:32,2,16,NYJ 30,3,0,Joe Flacco sacked by Calais Campbell for -1 yards,-0.020,-0.820
2,4:55,3,17,NYJ 29,3,0,Joe Flacco pass incomplete short right intended for Tyler Conklin,-0.820,-1.440
2,4:50,4,17,NYJ 29,3,0,"Braden Mann punts 41 yards, returned by Devin Duvernay for 8 yards (tackle by Justin Hardee)",-1.440,-1.470
2,4:41,1,10,BAL 38,3,0,"Lamar Jackson pass incomplete deep right intended for Demarcus Robinson. Penalty on Lamarcus Joyner: Defensive Pass Interference, 32 yards (accepted) (no play)",1.470,3.580
2,4:35,1,10,NYJ 30,3,0,Lamar Jackson pass incomplete deep right intended for Mark Andrews (defended by Sauce Gardner),3.580,3.030
2,4:29,2,10,NYJ 30,3,0,Lamar Jackson pass complete short left to Justice Hill for 5 yards (tackle by C.J. Mosley),3.030,3.010
2,3:51,3,5,NYJ 25,9,0,"Lamar Jackson pass complete deep right to Devin Duvernay for 25 yards, touchdown",3.010,7.000
2,3:45,,,NYJ 15,10,0,Justin Tucker kicks extra point good,0.000,0.000
2,3:45,,,BAL 35,10,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,3:45,1,10,NYJ 25,10,0,Michael Carter right guard for 5 yards (tackle by Josh Bynes),0.610,0.740
2,3:15,2,5,NYJ 30,10,0,Michael Carter up the middle for 22 yards (tackle by Steven Means),0.740,2.390
2,2:34,1,10,BAL 48,10,0,Joe Flacco pass complete short right to Braxton Berrios for 3 yards (tackle by Patrick Queen),2.390,2.250
2,2:00,2,7,BAL 45,10,0,Joe Flacco pass complete short left to Braxton Berrios for 13 yards (tackle by Marcus Williams),2.250,3.450
2,1:28,1,10,BAL 32,10,0,Breece Hall left tackle for 5 yards (tackle by Calais Campbell),3.450,3.580
2,1:20,,,,,,Timeout #2 by Baltimore Ravens,,
2,1:20,2,5,BAL 27,10,0,Michael Carter up the middle for no gain (tackle by Justin Houston),3.580,2.870
2,1:16,,,,,,Timeout #3 by Baltimore Ravens,,
2,1:16,3,5,BAL 27,10,0,"Joe Flacco pass complete short right to Tyler Conklin for 2 yards. Tyler Conklin fumbles (forced by Michael Pierce) (tackle by Michael Pierce, recovered by Garrett Wilson at BAL-27 (tackle by Kyle Hamilton)",2.870,1.610
2,0:29,,,,,,Timeout #1 by New York Jets,,
2,0:29,4,6,BAL 28,10,3,Greg Zuerlein 45 yard field goal good,1.610,3.000
2,0:24,,,NYJ 35,10,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,0:24,1,10,BAL 25,10,3,Justice Hill left guard for 3 yards (tackle by Michael Carter and Carl Lawson),0.610,0.470
Quarter,Time,Down,ToGo,Location,BAL,NYJ,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYJ 35,10,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,10,3,Kenyan Drake right guard for 2 yards (tackle by John Franklin-Myers and C.J. Mosley),0.610,0.330
3,14:22,2,8,BAL 27,10,3,Lamar Jackson pass incomplete short right,0.330,-0.360
3,14:15,3,8,BAL 27,10,3,Lamar Jackson scrambles for 8 yards (tackle by Jordan Whitehead),-0.360,1.270
3,13:35,1,10,BAL 35,10,3,Justice Hill for 1 yard (tackle by Kwon Alexander and Jacob Martin),1.270,0.860
3,12:58,2,9,BAL 36,10,3,Lamar Jackson pass incomplete deep right intended for Mark Andrews,0.860,0.170
