Unnamed: 0,BAL,NYJ
First Downs,13,24
Rush-Yds-TDs,21-63-0,17-83-0
Cmp-Att-Yd-TD-INT,17-30-213-3-1,37-59-309-1-1
Sacked-Yards,2-2,3-12
Net Pass Yards,211,297
Total Yards,274,380
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,5-29,6-81
Third Down Conv.,5-13,2-14
Fourth Down Conv.,0-0,3-4
Time of Possession,27:30,32:30
