Quarter,Time,Tm,Detail,BAL,NYJ
1.0,3:16,Ravens,Justin Tucker 24 yard field goal,3,0
2.0,3:45,Ravens,Devin Duvernay 25 yard pass from Lamar Jackson (Justin Tucker kick),10,0
,0:24,Jets,Greg Zuerlein 45 yard field goal,10,3
3.0,7:14,Ravens,Devin Duvernay 17 yard pass from Lamar Jackson (Justin Tucker kick),17,3
,2:06,Ravens,Rashod Bateman 55 yard pass from Lamar Jackson (Justin Tucker kick),24,3
4.0,1:00,Jets,Tyler Conklin 3 yard pass from Joe Flacco (Greg Zuerlein kick failed),24,9
