Quarter,Time,Down,ToGo,Location,SEA,GNB,Detail,EPB,EPA
1,2:15,3,10,GNB 40,0,0,Aaron Rodgers sacked by Cliff Avril for -6 yards,0.370,-1.110
1,1:41,4,16,GNB 34,0,0,"Justin Vogel punts 41 yards, fair catch by Tyler Lockett",-1.110,-0.610
1,1:34,1,10,SEA 25,0,0,Eddie Lacy left end for -2 yards (tackle by Jake Ryan),0.610,-0.210
1,0:52,2,12,SEA 23,0,0,C.J. Prosise right tackle for no gain (tackle by Blake Martinez and Mike Daniels),-0.210,-0.890
1,0:14,3,12,SEA 23,0,0,Russell Wilson pass complete short left to Jimmy Graham for 6 yards (tackle by Morgan Burnett and Quinten Rollins),-0.890,-1.440
Quarter,Time,Down,ToGo,Location,SEA,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,6,SEA 29,0,0,"Jon Ryan punts 59 yards, returned by Trevor Davis for no gain",-1.440,0.350
2,14:48,1,10,GNB 12,0,0,Aaron Rodgers pass incomplete short right intended for Martellus Bennett,-0.350,-0.780
2,14:40,2,10,GNB 12,0,0,Aaron Rodgers pass complete short left to Davante Adams for 13 yards (tackle by Shaquill Griffin),-0.780,0.610
2,14:09,1,10,GNB 25,0,0,Aaron Rodgers pass complete short left to Davante Adams for 13 yards (tackle by Shaquill Griffin),0.610,1.470
2,13:51,1,10,GNB 38,0,0,"Aaron Rodgers pass complete short left to Randall Cobb for 5 yards (tackle by Justin Coleman). Penalty on Shaquill Griffin: Defensive Holding, 5 yards (no play)",1.470,1.800
2,13:28,1,10,GNB 43,0,0,Ty Montgomery left end for 2 yards (tackle by K.J. Wright),1.800,1.520
2,12:53,2,8,GNB 45,0,0,Aaron Rodgers pass complete short right to Jordy Nelson for 1 yard (tackle by Earl Thomas),1.520,0.960
2,12:10,3,7,GNB 46,0,0,Aaron Rodgers sacked by Michael Bennett for -6 yards,0.960,-0.720
2,12:10,4,13,GNB 40,0,0,"Penalty on Marwin Evans: False Start, 5 yards (no play)",-0.720,-1.040
2,11:21,4,18,GNB 35,0,0,"Justin Vogel punts 45 yards, fair catch by Tyler Lockett",-1.040,-0.280
2,11:13,1,10,SEA 20,0,0,Russell Wilson pass complete short left to Paul Richardson for 6 yards (tackle by Damarious Randall),0.280,0.540
2,10:43,2,4,SEA 26,0,0,Russell Wilson pass complete short left to Jimmy Graham for 3 yards (tackle by Morgan Burnett),0.540,0.230
2,10:06,3,1,SEA 29,0,0,Russell Wilson pass complete short right to Chris Carson for 10 yards (tackle by Davon House). Penalty on Davon House: Defensive Holding (Declined),0.230,1.530
2,9:48,1,10,SEA 39,0,0,Chris Carson middle for 4 yards (tackle by Clay Matthews),1.530,1.530
2,9:11,2,6,SEA 43,0,0,Russell Wilson pass incomplete short right intended for Luke Willson,1.530,0.830
2,9:03,3,6,SEA 43,0,0,Russell Wilson pass incomplete deep right intended for Tyler Lockett,0.830,-0.520
2,8:57,4,6,SEA 43,0,0,"Jon Ryan punts 52 yards, fair catch by Trevor Davis",-0.520,0.380
2,8:49,1,10,GNB 5,0,0,Ty Montgomery left tackle for 3 yards (tackle by Jarran Reed),-0.380,-0.560
2,8:12,2,7,GNB 8,0,0,Ty Montgomery left end for no gain (tackle by K.J. Wright and Jarran Reed),-0.560,-1.070
2,7:29,3,7,GNB 8,0,0,Aaron Rodgers pass incomplete short right intended for Randall Cobb,-1.070,-2.490
2,7:24,4,7,GNB 8,0,0,"Justin Vogel punts 57 yards, returned by Tyler Lockett for 7 yards (tackle by Marwin Evans). Penalty on Tre Madden: Illegal Block Above the Waist, 10 yards",-2.490,-1.070
2,7:12,1,10,SEA 32,0,0,Eddie Lacy left tackle for no gain (tackle by Ahmad Brooks and Jake Ryan),1.070,0.530
2,6:35,2,10,SEA 32,0,0,Russell Wilson pass incomplete deep left intended for Paul Richardson,0.530,-0.160
2,6:30,3,10,SEA 32,0,0,Russell Wilson pass complete short right to Jimmy Graham for -1 yards (tackle by Quinten Rollins),-0.160,-1.310
2,5:48,4,11,SEA 31,0,0,Jon Ryan punts 40 yards,-1.310,-0.870
2,5:38,1,10,GNB 29,0,0,Aaron Rodgers sacked by Terence Garvin for -6 yards,0.870,-0.480
2,4:55,2,16,GNB 23,0,0,Aaron Rodgers pass complete short right to Ty Montgomery for 5 yards (tackle by Bobby Wagner and Earl Thomas),-0.480,0.000
2,4:31,,,,,,Timeout #1 by Seattle Seahawks,0.000,0.490
2,4:30,3,11,GNB 28,0,0,Aaron Rodgers pass complete short middle to Martellus Bennett for 12 yards (tackle by Earl Thomas),-0.490,1.600
2,3:48,1,10,GNB 40,0,0,Ty Montgomery left end for no gain (tackle by Bobby Wagner and K.J. Wright),1.600,1.050
2,3:18,2,10,GNB 40,0,0,Aaron Rodgers sacked by Frank Clark and Michael Bennett for -7 yards,1.050,-0.560
2,2:37,3,17,GNB 33,0,0,Aaron Rodgers pass complete deep right to Davante Adams for 21 yards (tackle by Kam Chancellor),-0.560,2.520
2,2:00,1,10,SEA 46,0,0,Aaron Rodgers pass incomplete deep left intended for Davante Adams (defended by Earl Thomas),2.520,1.980
2,1:52,2,10,SEA 46,0,0,Aaron Rodgers pass complete short left to Randall Cobb for 3 yards (tackle by Shaquill Griffin),1.980,1.680
2,1:07,3,7,SEA 43,0,0,Aaron Rodgers pass incomplete short right intended for Randall Cobb,1.680,0.400
2,1:03,4,7,SEA 43,0,0,"Justin Vogel punts 32 yards, fair catch by Tyler Lockett",0.400,0.400
2,1:03,4,7,SEA 43,0,0,Penalty on Justin Vogel: Delay of Game (Declined),0.400,0.370
2,0:55,1,10,SEA 11,0,0,C.J. Prosise left end for -1 yards (tackle by Blake Martinez and Quinten Rollins),-0.370,0.000
2,0:48,,,,,,Timeout #2 by Green Bay Packers,0.000,0.850
2,0:48,2,11,SEA 10,0,0,C.J. Prosise middle for 8 yards (tackle by Clay Matthews and Davon House),-0.850,0.000
2,0:43,,,,,,Timeout #3 by Green Bay Packers,0.000,0.600
2,0:43,3,3,SEA 18,0,0,C.J. Prosise right tackle for 4 yards (tackle by Mike Daniels),-0.600,0.000
2,0:30,,,,,,Timeout #2 by Seattle Seahawks,0.000,-0.410
2,0:29,1,10,SEA 22,0,0,Russell Wilson pass complete deep right to Doug Baldwin for 34 yards (tackle by Ha Ha Clinton-Dix),0.410,2.650
2,0:20,1,10,GNB 44,0,0,Russell Wilson for 29 yards (tackle by Damarious Randall),2.650,4.580
2,0:12,1,10,GNB 15,0,0,Russell Wilson pass incomplete short middle intended for Tanner McEvoy,4.580,3.950
2,0:09,2,10,GNB 15,0,0,Russell Wilson pass incomplete short middle intended for Tyler Lockett (defended by Quinten Rollins),3.950,3.100
2,0:04,3,10,GNB 15,3,0,Blair Walsh 33 yard field goal good. Penalty on Davon House: Running Into the Kicker (Declined),3.100,3.000
Quarter,Time,Down,ToGo,Location,SEA,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,3,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,GNB 25,3,0,Ty Montgomery left tackle for 4 yards (tackle by Bobby Wagner),0.610,0.600
3,14:27,2,6,GNB 29,3,0,Aaron Rodgers pass complete short left to Jordy Nelson for 9 yards (tackle by Shaquill Griffin),0.600,1.470
3,14:01,1,10,GNB 38,3,0,"Aaron Rodgers pass incomplete short left intended for Jordy Nelson. Penalty on Jahri Evans: Offensive Holding, 10 yards (no play)",1.470,0.810
3,13:56,1,20,GNB 28,3,0,Ty Montgomery left tackle for 8 yards (tackle by Earl Thomas),0.810,0.650
3,13:12,2,12,GNB 36,3,0,Aaron Rodgers pass incomplete short right intended for Randall Cobb,0.650,-0.030
3,13:03,3,12,GNB 36,3,0,"Aaron Rodgers pass incomplete deep right intended for Davante Adams. Penalty on David Bass: Defensive Offside, 5 yards (no play)",-0.030,0.630
3,12:56,3,7,GNB 41,3,0,Aaron Rodgers for no gain. Corey Linsley fumbles,0.630,-1.040
3,12:10,4,13,GNB 35,3,0,"Justin Vogel punts 44 yards, fair catch by Tyler Lockett",-1.040,-0.340
3,12:04,1,10,SEA 21,3,0,Russell Wilson sacked by Mike Daniels and Nick Perry for -10 yards,0.340,-1.510
3,11:27,2,20,SEA 11,3,0,Chris Carson middle for 2 yards (tackle by Kenny Clark),-1.510,-2.300
3,10:46,3,18,SEA 13,3,0,"Russell Wilson sacked by Mike Daniels for -10 yards. Russell Wilson fumbles (forced by Mike Daniels), recovered by Kyler Fackrell at SEA-6 (tackle by Justin Britt)",-2.300,-5.830
3,10:39,1,6,SEA 6,3,6,"Ty Montgomery left tackle for 6 yards, touchdown",5.830,7.000
3,10:33,,,SEA 15,3,7,Mason Crosby kicks extra point good,0.000,0.000
3,10:33,,,GNB 35,3,7,"Mason Crosby kicks off 64 yards, returned by Tyler Lockett for 25 yards (tackle by Josh Jones)",0.000,-0.670
3,10:29,1,10,SEA 26,3,7,Chris Carson right end for 3 yards (tackle by Mike Daniels and Nick Perry),0.670,0.540
3,9:46,2,7,SEA 29,3,7,"Penalty on Luke Willson: False Start, 5 yards (no play)",0.540,-0.140
3,9:26,2,12,SEA 24,3,7,Russell Wilson middle for 11 yards (tackle by Kentrell Brice),-0.140,0.630
3,8:42,3,1,SEA 35,3,7,"Russell Wilson sacked by Kenny Clark for 0 yards. Penalty on Nick Perry: Defensive Offside, 5 yards (no play)",0.630,1.600
3,8:28,1,10,SEA 40,3,7,Chris Carson middle for 30 yards (tackle by Quinten Rollins and Kentrell Brice),1.600,3.580
3,7:39,1,10,GNB 30,3,7,Russell Wilson pass complete short left to Paul Richardson for 12 yards (tackle by Damarious Randall),3.580,4.370
3,7:05,1,10,GNB 18,3,7,Eddie Lacy right end for -3 yards (tackle by Mike Daniels),4.370,3.420
3,6:22,2,13,GNB 21,3,7,Russell Wilson pass complete short left to Nick Vannett for 10 yards (tackle by Ha Ha Clinton-Dix and Quinten Rollins),3.420,4.260
3,5:40,3,3,GNB 11,3,7,Russell Wilson pass complete short right to Tyler Lockett for 8 yards (tackle by Quinten Rollins),4.260,6.510
3,5:11,1,3,GNB 3,3,7,Chris Carson left tackle for no gain (tackle by Kentrell Brice),6.510,5.530
3,4:36,2,3,GNB 3,3,7,Russell Wilson pass incomplete short left intended for Paul Richardson (defended by Damarious Randall),5.530,4.720
3,4:30,3,3,GNB 3,3,7,Russell Wilson pass incomplete short right intended for Jimmy Graham,4.720,3.040
3,4:23,4,3,GNB 3,6,7,Blair Walsh 21 yard field goal good,3.040,3.000
3,4:20,,,SEA 35,6,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
3,4:20,1,10,GNB 25,6,7,"Aaron Rodgers pass incomplete short right intended for Ty Montgomery. Penalty on Jahri Evans: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,4:11,1,20,GNB 15,6,7,Aaron Rodgers pass complete short left to Lance Kendricks for 9 yards (tackle by Bobby Wagner and Earl Thomas),-0.410,-0.070
3,3:36,2,11,GNB 24,6,7,Aaron Rodgers pass incomplete short right intended for Lance Kendricks,-0.070,-0.760
3,3:31,3,11,GNB 24,6,7,Aaron Rodgers for 13 yards (tackle by Kam Chancellor),-0.760,1.400
3,2:55,1,10,GNB 37,6,7,Aaron Rodgers pass complete short middle to Martellus Bennett for 5 yards (tackle by Kam Chancellor),1.400,1.530
3,2:20,2,5,GNB 42,6,7,Ty Montgomery left tackle for 6 yards (tackle by Sheldon Richardson and Kam Chancellor),1.530,2.130
3,1:48,1,10,GNB 48,6,7,Aaron Rodgers pass complete short middle to Ty Montgomery for 12 yards (tackle by K.J. Wright and Terence Garvin),2.130,2.920
3,1:22,1,10,SEA 40,6,7,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Earl Thomas),2.920,3.180
3,0:47,2,4,SEA 34,6,7,Aaron Rodgers pass complete short left to Ty Montgomery for 2 yards (tackle by Shaquill Griffin),3.180,2.740
3,0:22,3,2,SEA 32,6,13,"Aaron Rodgers pass complete deep middle to Jordy Nelson for 32 yards, touchdown. Penalty on Terence Garvin: Defensive 12 On-field (Declined)",2.740,7.000
3,0:17,,,SEA 15,6,14,Mason Crosby kicks extra point good,0.000,0.000
3,0:17,,,GNB 35,6,14,"Mason Crosby kicks off 52 yards, returned by Tyler Lockett for 9 yards (tackle by Kyler Fackrell). Penalty on Josh Jones: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,0:10,,,GNB 30,6,14,"Mason Crosby kicks off 67 yards, returned by Tyler Lockett for 23 yards (tackle by Kyler Fackrell)",0.000,-0.670
3,0:05,1,10,SEA 26,6,14,Russell Wilson pass complete short middle to Doug Baldwin for 11 yards (tackle by Ha Ha Clinton-Dix),0.670,1.400
Quarter,Time,Down,ToGo,Location,SEA,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SEA 37,6,14,Russell Wilson pass complete short left to Doug Baldwin for 7 yards (tackle by Ha Ha Clinton-Dix),1.400,1.800
4,14:36,2,3,SEA 44,6,14,Chris Carson left end for no gain (tackle by Quinten Rollins),1.800,1.090
4,13:52,3,3,SEA 44,6,14,Russell Wilson pass incomplete deep left intended for Jimmy Graham,1.090,-0.460
4,13:47,4,3,SEA 44,6,14,Jon Ryan punts 31 yards,-0.460,-0.610
4,13:38,1,10,GNB 25,6,14,Aaron Rodgers pass complete short left to Randall Cobb for 5 yards (tackle by Shaquill Griffin),0.610,0.740
4,12:54,2,5,GNB 30,6,14,Ty Montgomery middle for 6 yards (tackle by Nazair Jones and David Bass),0.740,1.330
4,12:10,1,10,GNB 36,6,14,Aaron Rodgers pass complete short left to Ty Montgomery for 20 yards (tackle by Shaquill Griffin),1.330,2.650
4,11:22,1,10,SEA 44,6,14,Aaron Rodgers pass complete short middle to Randall Cobb for 8 yards (tackle by Justin Coleman),2.650,3.190
4,10:40,2,2,SEA 36,6,14,Ty Montgomery right tackle for 3 yards (tackle by Michael Bennett),3.190,3.380
4,9:56,1,10,SEA 33,6,14,Aaron Rodgers pass incomplete short right intended for Martellus Bennett,3.380,2.840
4,9:49,2,10,SEA 33,6,14,Jamaal Williams left tackle for 6 yards (tackle by Earl Thomas),2.840,2.940
4,9:05,3,4,SEA 27,6,14,Aaron Rodgers pass complete short middle to Jordy Nelson for 5 yards (tackle by Shaquill Griffin),2.940,4.110
4,8:21,1,10,SEA 22,6,14,Aaron Rodgers pass incomplete short right intended for Randall Cobb (defended by Justin Coleman),4.110,3.560
4,8:16,2,10,SEA 22,6,14,Aaron Rodgers pass incomplete deep left intended for Jordy Nelson (defended by Shaquill Griffin),3.560,0.000
4,8:11,,,,,,Timeout #1 by Green Bay Packers,0.000,-2.870
4,8:11,3,10,SEA 22,6,14,Aaron Rodgers pass incomplete short left intended for Davante Adams,2.870,1.990
4,8:05,4,10,SEA 22,6,17,Mason Crosby 40 yard field goal good,1.990,3.000
4,8:01,,,GNB 35,6,17,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
4,8:01,1,10,SEA 25,6,17,Russell Wilson pass complete short middle to Doug Baldwin for 11 yards (tackle by Morgan Burnett),0.610,1.330
4,7:33,1,10,SEA 36,6,17,Russell Wilson pass complete deep left to Paul Richardson for 28 yards (tackle by Damarious Randall),1.330,3.180
4,7:03,1,10,GNB 36,6,17,Russell Wilson pass complete short left to Paul Richardson for 13 yards (tackle by Damarious Randall),3.180,4.040
4,6:37,1,10,GNB 23,6,17,Russell Wilson pass incomplete deep left intended for Paul Richardson,4.040,3.500
4,6:33,2,10,GNB 23,6,17,Russell Wilson pass incomplete deep left intended for Amara Darboh (defended by Ha Ha Clinton-Dix),3.500,2.810
4,6:26,3,10,GNB 23,6,17,Russell Wilson pass incomplete short middle intended for Jimmy Graham (defended by Morgan Burnett),2.810,1.930
4,6:21,4,10,GNB 23,9,17,Blair Walsh 41 yard field goal good,1.930,3.000
4,6:17,,,SEA 35,9,17,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
4,6:17,1,10,GNB 25,9,17,Ty Montgomery left end for 2 yards (tackle by Sheldon Richardson),0.610,0.000
4,5:28,,,,,,Timeout #2 by Green Bay Packers,0.000,-0.330
4,5:28,2,8,GNB 27,9,17,"Aaron Rodgers pass complete short left to Ty Montgomery for 12 yards (tackle by Richard Sherman). Penalty on Martellus Bennett: Offensive Pass Interference (Offsetting), Penalty on Richard Sherman: Defensive Holding (Offsetting) (no play)",0.330,0.330
4,4:59,2,8,GNB 27,9,17,Aaron Rodgers pass complete short left to Randall Cobb for 10 yards (tackle by Justin Coleman),0.330,1.400
4,4:53,1,10,GNB 37,9,17,Ty Montgomery right tackle for 3 yards (tackle by K.J. Wright),1.400,1.260
4,4:07,2,7,GNB 40,9,17,Aaron Rodgers pass complete short left to Jordy Nelson for 9 yards (tackle by Shaquill Griffin),1.260,2.190
4,3:24,1,10,GNB 49,9,17,"Aaron Rodgers pass incomplete short left intended for Richard Rodgers. Penalty on Michael Bennett: Defensive Offside, 5 yards (no play)",2.190,2.920
4,3:19,1,5,SEA 46,9,17,Ty Montgomery left tackle for no gain (tackle by Sheldon Richardson),2.920,0.000
4,3:15,,,,,,Timeout #1 by Seattle Seahawks,0.000,-2.320
4,3:15,2,5,SEA 46,9,17,Ty Montgomery left guard for 1 yard (tackle by Bobby Wagner and Earl Thomas),2.320,0.000
4,3:09,,,,,,Timeout #2 by Seattle Seahawks,0.000,-1.750
4,3:09,3,4,SEA 45,9,17,"Aaron Rodgers middle for 6 yards (tackle by K.J. Wright). Penalty on Martellus Bennett: Unnecessary Roughness, 15 yards",1.750,1.990
4,2:59,1,10,GNB 46,9,17,"Aaron Rodgers pass incomplete deep left intended for Jordy Nelson is intercepted by Earl Thomas at SEA-0. Penalty on Michael Bennett: Defensive Offside, 5 yards, Penalty on Shaquill Griffin: Defensive Holding (Declined) (no play)",1.990,2.720
4,2:51,1,5,SEA 49,9,17,Ty Montgomery right guard for -1 yards (tackle by Jarran Reed),2.720,0.000
4,2:45,,,,,,Timeout #3 by Seattle Seahawks,0.000,-1.990
4,2:45,2,6,,9,17,Aaron Rodgers pass complete short right to Martellus Bennett for 26 yards (tackle by Bobby Wagner and Earl Thomas),1.990,3.970
4,2:00,1,10,SEA 24,9,17,Aaron Rodgers kneels for -1 yards,3.970,3.300
4,1:18,2,11,SEA 25,9,17,Aaron Rodgers kneels for -1 yards,3.300,2.480
4,0:39,3,12,SEA 26,9,17,Aaron Rodgers kneels for -1 yards,2.480,1.670
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
