Unnamed: 0,SEA,GNB
First Downs,12,26
Rush-Yds-TDs,18-90-0,28-84-1
Cmp-Att-Yd-TD-INT,14-27-158-0-0,28-42-311-1-1
Sacked-Yards,3-23,4-25
Net Pass Yards,135,286
Total Yards,225,370
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,8-50,8-70
Third Down Conv.,3-12,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,20:47,39:13
