Quarter,Time,Down,ToGo,Location,SDG,ATL,Detail,EPB,EPA
2,6:07,1,10,SDG 25,10,20,Melvin Gordon right guard for 2 yards (tackle by Brooks Reed),0.610,0.610
2,5:34,1,10,SDG 25,10,20,Timeout #1 by Atlanta Falcons,0.610,0.330
2,5:34,2,8,SDG 27,10,20,Philip Rivers sacked by Brooks Reed for -5 yards,0.330,-1.020
2,5:03,3,13,SDG 22,10,20,"Penalty on SDG: Illegal Substitution, 5 yards (no play)",-1.020,-1.930
2,4:41,3,18,SDG 17,10,26,"Philip Rivers sacked by Vic Beasley for -9 yards. Philip Rivers fumbles (forced by Vic Beasley), recovered by Adrian Clayborn at SDG-5 and returned for 5 yards, touchdown",-1.930,-7.000
2,4:31,,,SDG 17,10,27,Matt Bryant kicks extra point good,0.000,0.000
2,4:31,,,ATL 35,10,27,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
2,4:31,1,10,SDG 25,10,27,Melvin Gordon left end for -1 yards (tackle by De'Vondre Campbell),0.610,-0.070
2,3:47,2,11,SDG 24,10,27,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",-0.070,-0.810
2,3:29,2,16,SDG 19,10,27,Philip Rivers pass complete deep left to Tyrell Williams for 38 yards (tackle by Ricardo Allen),-0.810,2.720
2,2:51,1,10,ATL 43,10,27,Melvin Gordon right guard for 3 yards (tackle by De'Vondre Campbell),2.720,2.580
2,2:08,2,7,ATL 40,10,27,Philip Rivers pass incomplete short right intended for Tyrell Williams,2.580,1.880
2,2:03,3,7,ATL 40,10,27,Philip Rivers pass complete short left to Travis Benjamin for 21 yards (tackle by Keanu Neal),1.880,4.310
2,1:55,1,10,ATL 19,10,27,Philip Rivers pass complete short right to Hunter Henry for 16 yards (tackle by Ricardo Allen and Keanu Neal),4.310,6.510
2,1:06,1,3,ATL 3,16,27,"Melvin Gordon left guard for 3 yards, touchdown",6.510,7.000
2,1:06,,,ATL 3,17,27,Josh Lambo kicks extra point good,0.000,0.000
2,1:06,,,SDG 35,17,27,"Josh Lambo kicks off 53 yards, returned by Patrick DiMarco for 14 yards (tackle by Dexter McCoil)",0.000,-0.670
2,0:57,1,10,ATL 26,17,27,Matt Ryan pass complete short left to Devonta Freeman for 12 yards (tackle by Casey Hayward),0.670,1.470
2,0:37,1,10,ATL 38,17,27,Matt Ryan pass incomplete short left intended for Julio Jones,1.470,0.920
2,0:34,2,10,ATL 38,17,27,Matt Ryan sacked by Melvin Ingram for -7 yards,0.920,-0.690
Quarter,Time,Down,ToGo,Location,SDG,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SDG 35,17,27,"Josh Lambo kicks off 65 yards, touchback",0.000,0.610
3,15:00,1,10,ATL 25,17,27,"Matt Ryan pass complete short left to Levine Toilolo for 4 yards (tackle by Denzel Perryman). Penalty on Andy Levitre: Offensive Holding, 10 yards (no play)",0.610,-0.410
3,14:30,1,20,ATL 15,17,27,Matt Ryan pass complete short left to Mohamed Sanu for 5 yards (tackle by Dexter McCoil),-0.410,-0.610
3,13:56,2,15,ATL 20,17,27,Matt Ryan pass complete short right to Julio Jones for 11 yards (tackle by Craig Mager),-0.610,0.170
3,13:26,3,4,ATL 31,17,27,Matt Ryan pass incomplete short right intended for Julio Jones,0.170,-1.310
3,13:23,4,4,ATL 31,17,27,"Matthew Bosher punts 58 yards, fair catch by Dexter McCluster",-1.310,0.370
3,13:14,1,10,SDG 11,17,27,Philip Rivers pass incomplete short middle intended for Hunter Henry (defended by Jonathan Babineaux),-0.370,-0.780
3,13:09,2,10,SDG 11,17,27,Melvin Gordon left end for 7 yards (tackle by De'Vondre Campbell),-0.780,-0.600
3,12:26,3,3,SDG 18,17,27,Philip Rivers pass incomplete short right intended for Dontrelle Inman (defended by Brian Poole),-0.600,-2.240
3,12:21,4,3,SDG 18,17,27,"Drew Kaser punts 48 yards, returned by Eric Weems for 9 yards (tackle by Tourek Williams). Penalty on Justin Hardy: Offensive Holding, 10 yards",-2.240,-0.540
3,12:10,1,10,ATL 24,17,27,"Penalty on Chris Chester: False Start, 5 yards (no play)",0.540,0.130
3,12:10,1,15,ATL 19,17,27,Tevin Coleman right guard for 17 yards (tackle by Dexter McCoil),0.130,1.330
3,11:33,1,10,ATL 36,17,27,Matt Ryan pass complete short right to Patrick DiMarco for 3 yards (tackle by Dwight Lowery),1.330,1.200
3,11:03,2,7,ATL 39,17,27,Devonta Freeman right end for 3 yards (tackle by Denzel Perryman),1.200,0.890
3,10:22,3,4,ATL 42,17,27,Matt Ryan pass complete short left to Devonta Freeman for 6 yards (tackle by Korey Toomer),0.890,2.130
3,9:45,1,10,ATL 48,17,27,Devonta Freeman left end for no gain (tackle by Melvin Ingram),2.130,1.580
3,9:09,2,10,ATL 48,17,27,Matt Ryan pass incomplete deep right intended for Aldrick Robinson,1.580,0.890
3,9:01,3,10,ATL 48,17,27,Matt Ryan sacked by Joey Bosa for -7 yards,0.890,-0.650
3,8:15,4,17,ATL 41,17,27,"Matthew Bosher punts 43 yards. Penalty on Robenson Therezie: Interference with Opportunity to, 15 yards",-0.650,-1.000
3,8:05,1,10,SDG 31,17,27,Philip Rivers pass complete deep right to Dontrelle Inman for 17 yards (tackle by Robert Alford),1.000,2.130
3,7:36,1,10,SDG 48,17,27,Philip Rivers pass complete short right to Melvin Gordon for 12 yards (tackle by Deion Jones and De'Vondre Campbell),2.130,2.920
3,6:53,1,10,ATL 40,17,27,Kenneth Farrow right tackle for 9 yards (tackle by Philip Wheeler),2.920,3.590
3,6:28,2,1,ATL 31,17,27,Kenneth Farrow right guard for 4 yards (tackle by Brooks Reed),3.590,3.780
3,5:47,1,10,ATL 27,17,27,Melvin Gordon right guard for 8 yards (tackle by Philip Wheeler),3.780,4.350
3,5:05,2,2,ATL 19,17,27,Philip Rivers pass incomplete deep right intended for Hunter Henry,4.350,3.640
3,4:58,3,2,ATL 19,17,27,Philip Rivers pass incomplete short right intended for Antonio Gates,3.640,2.310
3,4:54,4,2,ATL 19,20,27,Josh Lambo 37 yard field goal good,2.310,3.000
3,4:54,,,SDG 35,20,27,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,4:50,1,10,ATL 25,20,27,Devonta Freeman for 2 yards (tackle by Jatavis Brown),0.610,0.330
3,4:17,2,8,ATL 27,20,27,Devonta Freeman left end for 8 yards (tackle by Dexter McCoil and Jatavis Brown),0.330,1.270
3,3:38,1,10,ATL 35,20,27,Devonta Freeman left tackle for 2 yards (tackle by Korey Toomer and Melvin Ingram),1.270,0.990
3,3:00,2,8,ATL 37,20,27,Matt Ryan right end for 7 yards (tackle by Joey Bosa),0.990,1.220
3,2:19,3,1,ATL 44,20,27,Matt Ryan right guard for 1 yard (tackle by Joey Bosa),1.220,1.930
3,1:52,1,10,ATL 45,20,27,Matt Ryan pass complete short left to Devonta Freeman for 15 yards (tackle by Kyle Emanuel and Melvin Ingram),1.930,2.920
3,1:23,1,10,SDG 40,20,27,Devonta Freeman left tackle for 14 yards (tackle by Denzel Perryman),2.920,3.840
3,0:48,1,10,SDG 26,20,27,Matt Ryan pass incomplete short right intended for Jacob Tamme,3.840,3.300
3,0:41,2,10,SDG 26,20,27,Devonta Freeman left tackle for 15 yards (tackle by Melvin Ingram),3.300,4.840
Quarter,Time,Down,ToGo,Location,SDG,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 11,20,27,Devonta Freeman right end for 1 yard (tackle by Damion Square),4.840,4.320
4,14:21,2,9,SDG 10,20,27,Matt Ryan sacked by Joey Bosa for -3 yards,4.320,3.080
4,13:35,3,12,SDG 13,20,27,Matt Ryan pass incomplete short left intended for Devonta Freeman (defended by Tourek Williams),3.080,2.570
4,13:28,4,12,SDG 13,20,30,Matt Bryant 31 yard field goal good,2.570,3.000
4,13:28,,,ATL 35,20,30,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
4,13:23,1,10,SDG 25,20,30,Philip Rivers pass incomplete deep right intended for Tyrell Williams (defended by Desmond Trufant),0.610,0.060
4,13:15,2,10,SDG 25,20,30,Philip Rivers pass complete short left to Melvin Gordon for 9 yards (tackle by De'Vondre Campbell),0.060,0.560
4,12:54,3,1,SDG 34,20,30,"Penalty on King Dunlap: False Start, 4 yards (no play)",0.560,0.040
4,12:33,3,5,SDG 30,20,30,Philip Rivers pass complete short left to Travis Benjamin for 13 yards (tackle by Ricardo Allen),0.040,1.800
4,12:06,1,10,SDG 43,20,30,Philip Rivers pass complete short left to Melvin Gordon for 4 yards (tackle by Robert Alford),1.800,1.790
4,11:24,2,6,SDG 47,20,30,Philip Rivers sacked by Adrian Clayborn for -5 yards,1.790,0.430
4,10:38,3,11,SDG 42,20,30,Philip Rivers pass complete short middle to Antonio Gates for 13 yards (tackle by Keanu Neal),0.430,2.590
4,9:55,1,10,ATL 45,20,30,Philip Rivers pass complete short left to Tyrell Williams for 8 yards (tackle by Robert Alford),2.590,3.120
4,9:28,2,2,ATL 37,20,30,Philip Rivers pass complete short right to Griff Whalen for 12 yards (tackle by Brian Poole and Ricardo Allen),3.120,3.910
4,8:48,1,10,ATL 25,20,30,Philip Rivers sacked by Vic Beasley for -6 yards,3.910,2.550
4,8:01,2,16,ATL 31,20,30,Philip Rivers pass complete short left to Melvin Gordon for 14 yards (tackle by Keanu Neal),2.550,3.850
4,7:43,3,2,ATL 17,20,30,Melvin Gordon left guard for 2 yards (tackle by De'Vondre Campbell),3.850,4.580
4,6:58,1,10,ATL 15,20,30,Philip Rivers pass incomplete short middle intended for Travis Benjamin,4.580,3.950
4,6:53,2,10,ATL 15,20,30,Philip Rivers pass incomplete,3.950,3.100
4,6:46,3,10,ATL 15,20,30,Philip Rivers pass complete short left to Tyrell Williams for 10 yards (tackle by Robert Alford),3.100,6.060
4,6:03,1,5,ATL 5,26,30,"Philip Rivers pass complete short left to Melvin Gordon for 5 yards, touchdown",6.060,7.000
4,6:03,,,ATL 5,27,30,Josh Lambo kicks extra point good,0.000,0.000
4,6:03,,,SDG 35,27,30,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
4,5:59,1,10,ATL 25,27,30,Matt Ryan pass incomplete deep right intended for Julio Jones,0.610,0.060
4,5:52,2,10,ATL 25,27,30,Matt Ryan pass complete short middle to Julio Jones for 21 yards (tackle by Dexter McCoil),0.060,1.990
4,5:10,1,10,ATL 46,27,30,Devonta Freeman left tackle for 8 yards (tackle by Denzel Perryman),1.990,2.530
4,4:26,2,2,SDG 46,27,30,Devonta Freeman right tackle for 6 yards (tackle by Brandon Mebane),2.530,2.920
4,3:41,1,10,SDG 40,27,30,"Penalty on Ryan Schraeder: False Start, 5 yards (no play)",2.920,2.590
4,3:41,1,15,SDG 45,27,30,"Penalty on Andy Levitre: False Start, 5 yards (no play)",2.590,2.260
4,3:41,1,20,,27,30,Matt Ryan pass incomplete deep middle intended for Julio Jones is intercepted by Denzel Perryman at SDG-34 and returned for 1 yard,2.260,-1.270
4,3:32,1,10,SDG 35,27,30,Philip Rivers pass complete short left to Tyrell Williams for 9 yards (tackle by Robert Alford and Keanu Neal),1.270,1.940
4,2:52,2,1,SDG 44,27,30,Melvin Gordon left tackle for no gain (tackle by Adrian Clayborn),1.940,1.220
4,2:27,3,1,SDG 44,27,30,Melvin Gordon left guard for -1 yards (tackle by Adrian Clayborn and Dwight Freeney),1.220,-0.520
4,2:00,4,2,SDG 43,27,30,Philip Rivers pass complete short middle to Antonio Gates for 3 yards (tackle by Deion Jones),-0.520,1.990
4,1:33,1,10,SDG 46,27,30,Philip Rivers pass complete deep right to Dontrelle Inman for 17 yards (tackle by Brian Poole),1.990,3.120
4,0:57,1,10,ATL 37,27,30,Philip Rivers pass incomplete short left intended for Dontrelle Inman,3.120,2.570
4,0:52,2,10,ATL 37,27,30,Philip Rivers pass complete short middle to Travis Benjamin for 9 yards (tackle by Deion Jones),2.570,3.070
4,0:46,3,1,ATL 28,27,30,Melvin Gordon right tackle for 13 yards (tackle by Ricardo Allen),3.070,3.070
4,0:36,3,1,ATL 28,27,30,Timeout #1 by Los Angeles Chargers,3.070,4.580
4,0:36,1,10,ATL 15,27,30,Philip Rivers pass incomplete short left intended for Antonio Gates,4.580,3.950
4,0:32,2,10,ATL 15,27,30,Philip Rivers pass incomplete short left intended for Dexter McCluster (defended by Courtney Upshaw),3.950,3.100
4,0:28,3,10,ATL 15,27,30,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Robert Alford),3.100,2.440
4,0:22,4,10,ATL 15,30,30,Josh Lambo 33 yard field goal good,2.440,3.000
4,0:22,,,SDG 35,30,30,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
4,0:18,1,10,ATL 25,30,30,Matt Ryan pass complete deep right to Julio Jones for 25 yards (tackle by Casey Hayward),0.610,0.610
4,0:11,1,10,ATL 25,30,30,Timeout #1 by Atlanta Falcons,0.610,2.260
4,0:11,1,10,,30,30,Matt Ryan pass incomplete short right intended for Julio Jones,2.260,1.710
4,0:06,2,10,,30,30,Matt Ryan pass complete short middle to Julio Jones for 10 yards (tackle by Casey Hayward),1.710,1.710
4,0:01,2,10,,30,30,Timeout #2 by Atlanta Falcons,1.710,1.710
4,0:01,2,10,,30,30,Timeout #2 by Los Angeles Chargers,1.710,2.920
4,0:01,1,10,SDG 40,30,30,Matt Bryant 58 yard field goal no good,2.920,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SDG,ATL,Detail,EPB,EPA
,,,,,,,"Falcons won the coin toss, Falcons to receive the overtime kickoff.",,
OT,15:00,,,SDG 35,30,30,"Josh Lambo kicks off 65 yards, touchback",0.000,0.610
OT,15:00,1,10,ATL 25,30,30,Matt Ryan pass complete short right to Devonta Freeman for 7 yards (tackle by Kyle Emanuel),0.610,1.010
OT,14:23,2,3,ATL 32,30,30,Matt Ryan pass incomplete deep left intended for Julio Jones (defended by Casey Hayward),1.010,0.300
OT,14:16,3,3,ATL 32,30,30,Matt Ryan pass complete short left to Justin Hardy for 4 yards (tackle by Tourek Williams),0.300,1.330
OT,13:45,1,10,ATL 36,30,30,Devonta Freeman left end for -2 yards (tackle by Tenny Palepoi and Melvin Ingram),1.330,0.520
OT,13:08,2,12,ATL 34,30,30,Matt Ryan pass complete short right to Mohamed Sanu for 11 yards (tackle by Tenny Palepoi),0.520,1.290
OT,12:42,3,1,ATL 45,30,30,Matt Ryan right guard for no gain (tackle by Melvin Ingram),1.290,1.290
OT,12:16,3,1,ATL 45,30,30,Timeout #1 by Atlanta Falcons,1.290,1.290
OT,12:16,3,1,ATL 45,30,30,Timeout #1 by Los Angeles Chargers,1.290,-0.390
OT,12:16,4,1,ATL 45,30,30,Devonta Freeman left end for -1 yards (tackle by Denzel Perryman),-0.390,-2.720
OT,12:12,1,10,ATL 43,30,30,Melvin Gordon right guard for -2 yards (tackle by Philip Wheeler),2.720,2.720
OT,11:39,1,10,ATL 43,30,30,Timeout #2 by Atlanta Falcons,2.720,1.910
OT,11:39,2,12,ATL 45,30,30,Philip Rivers pass complete short middle to Antonio Gates for 11 yards (tackle by Keanu Neal),1.910,2.680
OT,10:59,3,1,ATL 34,30,30,Melvin Gordon right guard for 2 yards (tackle by Keanu Neal),2.680,3.450
OT,10:19,1,10,ATL 32,30,30,"Melvin Gordon right tackle for 5 yards (tackle by Deion Jones). Penalty on Tyson Jackson: Defensive Holding, 5 yards",3.450,4.110
OT,9:51,1,10,ATL 22,30,30,Philip Rivers kneels for -2 yards,4.110,3.290
OT,9:06,2,12,ATL 24,33,30,Josh Lambo 42 yard field goal good,3.290,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
