Unnamed: 0,SDG,ATL
First Downs,26,21
Rush-Yds-TDs,26-78-2,26-130-1
Cmp-Att-Yd-TD-INT,27-45-371-1-1,22-34-273-1-1
Sacked-Yards,4-23,3-17
Net Pass Yards,348,256
Total Yards,426,386
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,3-14,9-70
Third Down Conv.,9-16,6-12
Fourth Down Conv.,1-1,0-1
Time of Possession,35:29,30:30
