Unnamed: 0,CAR,TEN
First Downs,24,11
Rush-Yds-TDs,34-119-2,21-64-1
Cmp-Att-Yd-TD-INT,21-25-217-1-0,16-24-185-0-1
Sacked-Yards,5-33,1-7
Net Pass Yards,184,178
Total Yards,303,242
Fumbles-Lost,0-0,3-1
Turnovers,0,2
Penalties-Yards,5-45,4-30
Third Down Conv.,7-13,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,35:55,24:05
