Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 69 yards, returned by Dexter McCluster for 20 yards (tackle by David Mayo)",0.000,0.140
1,14:55,1,10,TEN 16,0,0,Marcus Mariota pass incomplete short left intended for Delanie Walker,-0.140,-0.660
1,14:51,2,10,TEN 16,0,0,"Marcus Mariota for no gain. Marcus Mariota fumbles, recovered by Dexter McCluster at TEN-18",-0.660,-1.070
1,14:08,3,8,TEN 18,0,0,Marcus Mariota pass incomplete short right intended for Anthony Fasano,-1.070,-2.240
1,13:59,4,8,TEN 18,0,0,"Brett Kern punts 45 yards, out of bounds",-2.240,-1.400
1,13:51,1,10,CAR 37,0,0,Jonathan Stewart left tackle for 8 yards (tackle by Al Woods),1.400,1.940
1,13:18,2,2,CAR 45,0,0,Mike Tolbert middle for 3 yards (tackle by Blidi Wreh-Wilson),1.940,2.130
1,12:41,1,10,CAR 48,0,0,Cam Newton pass complete deep middle to Greg Olsen for 20 yards (tackle by Avery Williamson),2.130,3.450
1,12:07,1,10,TEN 32,0,0,Cam Newton pass complete short middle to Greg Olsen for 8 yards (tackle by Da'Norris Searcy),3.450,3.980
1,11:23,2,2,TEN 24,0,0,Jonathan Stewart middle for no gain (tackle by Wesley Woodyard),3.980,3.270
1,10:42,3,2,TEN 24,0,0,"Mike Tolbert left guard for 1 yard (tackle by Jurrell Casey). Penalty on Mike Remmers: Illegal Formation, 5 yards (no play)",3.270,2.610
1,10:10,3,7,TEN 29,0,0,Cam Newton pass complete short right to Greg Olsen for 10 yards (tackle by Derrick Morgan),2.610,4.310
1,9:28,1,10,TEN 19,0,0,Jonathan Stewart middle for 3 yards (tackle by Wesley Woodyard and Avery Williamson),4.310,4.180
1,8:43,2,7,TEN 16,6,0,"Jonathan Stewart left guard for 16 yards, touchdown",4.180,7.000
1,8:43,,,TEN 16,7,0,Graham Gano kicks extra point good,0.000,0.000
1,8:43,,,CAR 35,7,0,"Graham Gano kicks off 65 yards, returned by Dexter McCluster for 18 yards (tackle by Fozzy Whittaker)",0.000,-0.040
1,8:30,1,10,TEN 18,7,0,Antonio Andrews right guard for -1 yards (tackle by Luke Kuechly),0.040,-0.650
1,7:50,2,11,TEN 17,7,0,Dexter McCluster left end for -1 yards (tackle by Shaq Thompson),-0.650,-1.500
1,7:06,3,12,TEN 16,7,0,Marcus Mariota pass complete short left to Delanie Walker for 21 yards (tackle by Roman Harper),-1.500,1.400
1,6:23,1,10,TEN 37,7,0,Marcus Mariota pass incomplete short left intended for Anthony Fasano (defended by Josh Norman),1.400,0.860
1,6:17,2,10,TEN 37,7,0,Marcus Mariota left end for 5 yards (tackle by Josh Norman),0.860,0.830
1,6:17,3,5,TEN 42,7,0,Marcus Mariota left tackle for 9 yards (tackle by Bene Benwikere),0.830,2.320
1,5:44,1,10,CAR 49,7,0,Antonio Andrews right tackle for 6 yards (tackle by Bene Benwikere),2.320,2.590
1,5:08,2,4,CAR 43,7,0,Antonio Andrews left guard for -1 yards (tackle by A.J. Klein),2.590,1.750
1,4:24,3,5,CAR 44,7,0,Marcus Mariota pass complete short right to Anthony Fasano for 19 yards (tackle by Kurt Coleman and Bene Benwikere),1.750,3.910
1,3:47,1,10,CAR 25,7,6,"Dexter McCluster right tackle for 25 yards, touchdown",3.910,7.000
1,3:47,,,CAR 25,7,7,Ryan Succop kicks extra point good,0.000,0.000
1,3:47,,,TEN 35,7,7,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
1,3:38,1,10,CAR 20,7,7,Cam Newton pass complete short middle to Greg Olsen for 14 yards (tackle by Wesley Woodyard and Avery Williamson),0.280,1.200
1,2:59,1,10,CAR 34,7,7,Cam Newton pass complete short right to Corey Brown for 8 yards (tackle by Blidi Wreh-Wilson),1.200,1.740
1,2:15,2,2,CAR 42,7,7,Cam Newton right end for 4 yards (tackle by Al Woods),1.740,1.990
1,1:43,1,10,CAR 46,7,7,Cam Newton pass complete deep middle to Devin Funchess for 27 yards (tackle by Da'Norris Searcy),1.990,3.780
1,1:03,1,10,TEN 27,7,7,"Cam Newton pass incomplete short right intended for Jonathan Stewart. Penalty on Trai Turner: Ineligible Downfield Pass, 5 yards (no play)",3.780,3.450
1,0:58,1,15,TEN 32,7,7,Jonathan Stewart right end for -1 yards (tackle by Avery Williamson),3.450,2.420
1,0:13,2,16,TEN 33,7,7,Cam Newton pass complete deep middle to Ted Ginn for 19 yards (tackle by Coty Sensabaugh),2.420,4.650
Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TEN 14,7,7,Cam Newton pass complete short right to Ed Dickson for 3 yards (tackle by Da'Norris Searcy),4.650,4.520
2,14:28,2,7,TEN 11,7,7,"Penalty on Al Woods: Encroachment, 5 yards (no play)",4.520,5.470
2,14:08,2,2,TEN 6,7,7,Cam Newton pass complete short left to Greg Olsen for 5 yards (tackle by Michael Griffin),5.470,6.970
2,13:17,1,1,TEN 1,13,7,"Cam Newton pass complete short left to Ed Dickson for 1 yard, touchdown",6.970,7.000
2,13:17,,,TEN 1,14,7,Graham Gano kicks extra point good,0.000,0.000
2,13:17,,,CAR 35,14,7,"Graham Gano kicks off 63 yards, returned by Dexter McCluster for 17 yards (tackle by A.J. Klein)",0.000,-0.150
2,13:08,1,10,TEN 19,14,7,Antonio Andrews left guard for 1 yard (tackle by Luke Kuechly),0.150,-0.200
2,12:34,2,9,TEN 20,14,7,Marcus Mariota pass complete short right to Dexter McCluster for 5 yards (tackle by Luke Kuechly),-0.200,-0.290
2,11:49,3,4,TEN 25,14,7,Marcus Mariota pass complete short left to Dexter McCluster for 14 yards (tackle by Luke Kuechly and Bene Benwikere),-0.290,1.530
2,11:12,1,10,TEN 39,14,7,Marcus Mariota pass complete short right to Jalston Fowler for 14 yards (tackle by Tre Boston),1.530,2.460
2,10:29,1,10,CAR 47,14,7,Marcus Mariota pass complete short right to Delanie Walker for 15 yards (tackle by Charles Tillman),2.460,3.450
2,9:49,1,10,CAR 32,14,7,Antonio Andrews left tackle for -1 yards (tackle by Luke Kuechly),3.450,2.770
2,9:12,2,11,CAR 33,14,7,"Penalty on Byron Bell: False Start, 5 yards (no play)",2.770,2.090
2,8:53,2,16,CAR 38,14,7,Bishop Sankey middle for 5 yards (tackle by Kurt Coleman and Luke Kuechly),2.090,2.080
2,8:09,3,11,CAR 33,14,7,Marcus Mariota pass complete short right to Harry Douglas for 6 yards (tackle by Kurt Coleman),2.080,1.720
2,7:51,4,5,CAR 27,14,10,Ryan Succop 45 yard field goal good,1.720,3.000
2,7:51,,,TEN 35,14,10,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.280
2,7:45,1,10,CAR 20,14,10,Jonathan Stewart left guard for 5 yards (tackle by Zach Brown),0.280,0.410
2,7:10,2,5,CAR 25,14,10,Cam Newton left end for 4 yards (tackle by Brian Orakpo),0.410,0.230
2,6:52,3,1,CAR 29,14,10,Cam Newton middle for 2 yards (tackle by Al Woods and Avery Williamson),0.230,1.000
2,6:16,1,10,CAR 31,14,10,Cam Newton pass complete deep left to Ed Dickson for 17 yards (tackle by Da'Norris Searcy),1.000,2.130
2,5:43,1,10,CAR 48,14,10,Cam Newton pass incomplete deep middle intended for Ted Ginn,2.130,1.580
2,5:37,2,10,CAR 48,14,10,Jonathan Stewart right tackle for 2 yards (tackle by Zach Brown),1.580,1.580
2,4:53,2,10,CAR 48,14,10,Timeout #1 by Carolina Panthers,1.580,1.160
2,4:53,3,8,,14,10,Cam Newton sacked by Daimion Stafford for -10 yards,1.160,-0.720
2,4:12,4,18,CAR 40,14,10,"Brad Nortman punts 48 yards, fair catch by Dexter McCluster",-0.720,0.350
2,4:04,1,10,TEN 12,14,10,Marcus Mariota pass complete short right to Delanie Walker for 16 yards (tackle by Roman Harper and Charles Tillman),-0.350,0.810
2,3:21,1,10,TEN 28,14,10,Antonio Andrews left guard for -2 yards (tackle by Kawann Short),0.810,-0.010
2,2:42,2,12,TEN 26,14,10,Marcus Mariota middle for 10 yards (tackle by Kurt Coleman),-0.010,0.630
2,2:00,3,2,TEN 36,14,10,Dexter McCluster right guard for 1 yard (tackle by Roman Harper),0.630,-0.910
2,1:17,4,1,TEN 37,14,10,"Brett Kern punts 50 yards, returned by Ted Ginn for 87 yards. Penalty on Joe Webb: Illegal Block Above the Waist, 10 yards",-0.910,0.280
2,0:59,1,10,CAR 14,14,10,Jonathan Stewart middle for 3 yards (tackle by Avery Williamson),-0.280,-0.370
2,0:27,2,7,CAR 17,14,10,Jonathan Stewart left guard for -5 yards (tackle by DaQuan Jones),-0.370,-0.370
2,0:27,2,7,CAR 17,14,10,Timeout #2 by Carolina Panthers,-0.370,-1.650
2,0:21,3,12,CAR 12,14,10,Cam Newton pass complete short right to Greg Olsen for -6 yards (tackle by Daimion Stafford and Brian Orakpo),-1.650,-1.650
2,0:12,3,12,CAR 12,14,10,Timeout #1 by Tennessee Titans,-1.650,-2.490
