Quarter,Time,Tm,Detail,WAS,DET
1.0,8:12,Redskins,Shaun Suisham 25 yard field goal,3,0
,0:13,Lions,Rudi Johnson 11 yard rush (Jason Hanson kick),3,7
2.0,10:28,Lions,Jason Hanson 43 yard field goal,3,10
,0:00,Redskins,Shaun Suisham 47 yard field goal,6,10
3.0,11:02,Redskins,Shaun Suisham 45 yard field goal,9,10
,4:42,Redskins,Santana Moss 50 yard pass from Jason Campbell (Shaun Suisham kick),16,10
4.0,11:29,Redskins,Santana Moss 80 yard punt return (run failed),22,10
,6:39,Lions,Calvin Johnson 17 yard pass from Dan Orlovsky (Jason Hanson kick),22,17
,1:56,Redskins,Shaun Suisham 42 yard field goal,25,17
