Quarter,Time,Down,ToGo,Location,WAS,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss, Redskins to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 78 yards, touchback",0.000,0.280
1,15:00,1,10,WAS 20,0,0,Jason Campbell pass complete deep right to Santana Moss for 20 yards (tackle by Brian Kelly),0.280,1.600
1,14:23,1,10,WAS 40,0,0,Jason Campbell pass complete short left to Santana Moss for 4 yards (tackle by Brian Kelly),1.600,1.590
1,13:51,2,6,WAS 44,0,0,Clinton Portis middle for 17 yards (tackle by Kalvin Pearson),1.590,2.980
1,13:12,1,10,DET 39,0,0,Jason Campbell pass complete short right to Antwaan Randle El for 6 yards (tackle by Ramzee Robinson),2.980,3.250
1,12:38,2,4,DET 33,0,0,Clinton Portis right end for 17 yards (tackle by Leigh Bodden),3.250,4.510
1,11:55,1,10,DET 16,0,0,Jason Campbell for 1 yard (tackle by Paris Lenon),4.510,4.050
1,11:22,2,9,DET 15,0,0,Jason Campbell pass complete short left to Santana Moss for 14 yards (tackle by Brian Kelly),4.050,6.970
1,10:45,1,1,DET 1,0,0,Jason Campbell left end for -2 yards (tackle by Ernie Sims),6.970,5.530
1,10:04,2,3,DET 3,0,0,Clinton Portis left end for -5 yards (tackle by Cliff Avril and Daniel Bullocks),5.530,3.580
1,9:19,2,3,DET 3,0,0,Timeout #1 by Detroit Lions,5.530,3.580
1,9:19,3,8,DET 8,0,0,Jason Campbell pass complete short middle to Clinton Portis for 6 yards (tackle by Cory Redding),3.580,3.250
1,8:36,4,2,DET 2,0,0,"Penalty on Jon Jansen: False Start, 5 yards (no play)",3.250,2.970
1,8:16,4,7,DET 7,3,0,Shaun Suisham 25 yard field goal good,2.970,3.000
1,8:16,,,WAS 30,3,0,"Shaun Suisham kicks off 59 yards, returned by Brandon Middleton for 21 yards (tackle by H.B. Blades)",0.000,1.070
1,8:07,1,10,DET 32,3,0,Dan Orlovsky for 7 yards (tackle by Carlos Rogers),1.070,1.470
1,7:43,2,3,DET 39,3,0,"Calvin Johnson left end for 7 yards (tackle by LaRon Landry). Calvin Johnson fumbles (forced by LaRon Landry), recovered by Calvin Johnson at DET-46",1.470,1.990
1,6:55,1,10,DET 46,3,0,Rudi Johnson right end for 4 yards (tackle by Michael Green),1.990,1.990
1,6:19,2,6,,3,0,Rudi Johnson left end for -1 yards (tackle by Michael Green),1.990,1.160
1,5:40,3,7,DET 49,3,0,Dan Orlovsky sacked by Demetric Evans for -6 yards,1.160,-0.520
1,5:10,4,13,DET 43,3,0,"Nick Harris punts 40 yards, returned by Antwaan Randle El for 3 yards (tackle by Alex Lewis)",-0.520,-0.280
1,4:59,1,10,WAS 20,3,0,Jason Campbell pass complete short left to Santana Moss for 4 yards (tackle by Brian Kelly),0.280,0.270
1,4:21,2,6,WAS 24,3,0,Jason Campbell pass complete short right to Devin Thomas for 9 yards (tackle by Leigh Bodden and Jared DeVries),0.270,1.140
1,3:50,1,10,WAS 33,3,0,Clinton Portis left end for 2 yards (tackle by Cory Redding),1.140,0.860
1,3:16,2,8,WAS 35,3,0,Jason Campbell pass complete short left to Todd Yoder for 14 yards (tackle by Leigh Bodden),0.860,2.190
1,2:34,1,10,WAS 49,3,0,Shaun Alexander left end for 4 yards (tackle by Paris Lenon),2.190,2.190
