Unnamed: 0,WAS,DET
First Downs,22,13
Rush-Yds-TDs,33-135-0,15-57-1
Cmp-Att-Yd-TD-INT,23-28-328-1-0,21-35-223-1-0
Sacked-Yards,3-24,1-6
Net Pass Yards,304,217
Total Yards,439,274
Fumbles-Lost,2-1,2-0
Turnovers,1,0
Penalties-Yards,8-67,7-51
Third Down Conv.,5-11,2-12
Fourth Down Conv.,0-0,2-3
Time of Possession,35:45,24:15
