Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Aaron Jones,GNB,19,82,1,4,41,2.2,41,2.2,2,9.5
AJ Dillon,GNB,6,18,0,1,10,1.7,8,1.3,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Trey Sermon,SFO,10,31,1,3,15,1.5,16,1.6,1,10.0
Kyle Juszczyk,SFO,5,14,0,2,6,1.2,8,1.6,0,
Deebo Samuel,SFO,2,0,0,0,0,0.0,0,0.0,0,
Brandon Aiyuk,SFO,1,8,0,0,5,5.0,3,3.0,0,
Jimmy Garoppolo,SFO,1,4,0,0,4,4.0,0,0.0,0,
George Kittle,SFO,1,9,0,0,5,5.0,4,4.0,0,
Trey Lance,SFO,1,1,1,1,0,0.0,1,1.0,0,
