Unnamed: 0,GNB,SFO
First Downs,21,26
Rush-Yds-TDs,25-100-1,21-67-2
Cmp-Att-Yd-TD-INT,23-33-261-2-0,25-40-257-2-1
Sacked-Yards,1-8,4-26
Net Pass Yards,253,231
Total Yards,353,298
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,7-87,4-86
Third Down Conv.,5-11,7-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:08,29:52
