Quarter,Time,Tm,Detail,GNB,SFO
1.0,10:06,Packers,Mason Crosby 54 yard field goal,3,0
,3:19,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),10,0
2.0,1:02,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),17,0
,0:00,49ers,Trey Lance 1 yard rush (Robbie Gould kick),17,7
3.0,7:41,49ers,Brandon Aiyuk 8 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,14
4.0,13:27,Packers,Marquez Valdes-Scantling 12 yard pass from Aaron Rodgers (Mason Crosby kick),24,14
,7:48,49ers,Trey Sermon 1 yard rush (Robbie Gould kick),24,21
,2:39,Packers,Mason Crosby 38 yard field goal,27,21
,0:37,49ers,Kyle Juszczyk 12 yard pass from Jimmy Garoppolo (Robbie Gould kick),27,28
,0:00,Packers,Mason Crosby 51 yard field goal,30,28
