Quarter,Time,Tm,Detail,CAR,CHI
1.0,8:59,Bears,Eddie Jackson 75 yard fumble return (Connor Barth kick),0,7
2.0,12:28,Bears,Eddie Jackson 76 yard interception return (Connor Barth kick),0,14
,3:18,Panthers,Graham Gano 36 yard field goal,3,14
,1:10,Bears,Connor Barth 19 yard field goal,3,17
