Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,CAR 25,0,0,Christian McCaffrey left guard for 2 yards (tackle by Akiem Hicks),0.610,0.330
1,14:22,2,8,CAR 27,0,0,Cam Newton sacked by Danny Trevathan for -7 yards,0.330,-1.290
1,13:35,3,15,CAR 20,0,0,Cam Newton pass complete deep middle to Kelvin Benjamin for 17 yards (tackle by Prince Amukamara),-1.290,1.400
1,12:52,1,10,CAR 37,0,0,Christian McCaffrey left guard for 1 yard (tackle by Christian Jones),1.400,0.990
1,12:09,2,9,CAR 38,0,0,Cam Newton pass complete short right to Kelvin Benjamin for 11 yards (tackle by Christian Jones),0.990,2.190
1,11:37,1,10,CAR 49,0,0,Jonathan Stewart left tackle for 2 yards (tackle by Jonathan Bullard and Sam Acho),2.190,1.920
1,10:49,2,8,CHI 49,0,0,Cam Newton left guard for 14 yards (tackle by Eddie Jackson),1.920,3.250
1,9:59,1,10,CHI 35,0,0,Cam Newton pass complete short left to Chris Manhertz for 11 yards (tackle by Eddie Jackson),3.250,3.970
1,9:15,1,10,CHI 24,0,6,"Cam Newton for no gain. Cam Newton fumbles, recovered by Eddie Jackson at CHI-25 and returned for 75 yards, touchdown",3.970,-7.000
1,,,,CAR 15,0,7,Connor Barth kicks extra point good,,
1,8:59,,,CHI 35,0,7,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
1,8:59,1,10,CAR 25,0,7,Cam Newton sacked by Leonard Floyd for -6 yards,0.610,0.000
1,8:10,,,,,,Timeout #1 by Carolina Panthers,0.000,0.810
1,8:10,2,16,CAR 19,0,7,Cam Newton pass incomplete deep right intended for Devin Funchess,-0.810,-1.510
1,8:05,3,16,CAR 19,0,7,Cam Newton pass incomplete short right intended for Devin Funchess (defended by Kyle Fuller),-1.510,-2.140
1,7:58,4,16,CAR 19,0,7,"Michael Palardy punts 58 yards, returned by Tarik Cohen for 6 yards (tackle by Colin Jones)",-2.140,-0.870
1,7:46,1,10,CHI 29,0,7,Jordan Howard left tackle for 2 yards (tackle by Mario Addison),0.870,0.600
1,7:09,2,8,CHI 31,0,7,Jordan Howard right end for 5 yards (tackle by Mike Adams),0.600,0.560
1,6:22,3,3,CHI 36,0,7,Mitch Trubisky pass incomplete deep left intended for Tarik Cohen,0.560,-0.980
1,6:14,4,3,CHI 36,0,7,"Pat O'Donnell punts 43 yards, fair catch by Christian McCaffrey",-0.980,-0.340
1,6:08,1,10,CAR 21,0,7,Jonathan Stewart right tackle for -1 yards (tackle by Leonard Floyd and Christian Jones),0.340,-0.340
1,5:26,2,11,CAR 20,0,7,Jonathan Stewart right guard for 1 yard (tackle by Akiem Hicks),-0.340,-0.890
1,4:40,3,10,CAR 21,0,7,Cam Newton sacked by Akiem Hicks for -6 yards,-0.890,-2.440
1,4:01,4,16,CAR 15,0,7,"Michael Palardy punts 59 yards, returned by Tarik Cohen for 6 yards (tackle by David Mayo)",-2.440,-1.070
1,3:48,1,10,CHI 32,0,7,Mitch Trubisky pass incomplete short left intended for Tarik Cohen,1.070,0.530
1,3:44,2,10,CHI 32,0,7,Jordan Howard left end for 1 yard (tackle by Shaq Thompson),0.530,-0.030
1,3:24,3,9,CHI 33,0,7,Mitch Trubisky pass complete deep middle to Zach Miller for 24 yards (tackle by Shaq Thompson and Daryl Worley),-0.030,2.720
1,2:45,1,10,CAR 43,0,7,Jordan Howard right guard for 6 yards (tackle by Mario Addison),2.720,2.990
1,2:09,2,4,CAR 37,0,7,Jordan Howard right tackle for 9 yards (tackle by James Bradberry),2.990,3.710
1,1:28,1,10,CAR 28,0,7,Jordan Howard left end for 3 yards (tackle by Mario Addison and Kawann Short),3.710,3.570
1,0:48,2,7,CAR 25,0,7,Jordan Howard left tackle for no gain (tackle by Star Lotulelei),3.570,2.870
1,0:04,3,7,CAR 25,0,7,Mitch Trubisky sacked by Captain Munnerlyn for -9 yards,2.870,1.060
Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,16,CAR 34,0,7,"Connor Barth 52 yard field goal no good, blocked by Kawann Short",1.060,-1.730
2,14:55,1,10,CAR 42,0,7,Cam Newton pass complete short right to Christian McCaffrey for 8 yards (tackle by Mitch Unrein),1.730,2.270
2,14:15,2,2,,0,7,Christian McCaffrey right guard for 4 yards (tackle by Akiem Hicks and Danny Trevathan),2.270,2.520
2,13:44,1,10,CHI 46,0,7,Jonathan Stewart right guard for 13 yards (tackle by Sam Acho),2.520,3.380
2,13:26,1,10,CHI 33,0,7,Jonathan Stewart right guard for no gain (tackle by Eddie Goldman),3.380,2.840
2,12:47,2,10,CHI 33,0,7,Cam Newton pass incomplete short right intended for Kelvin Benjamin,2.840,2.150
2,12:42,3,10,CHI 33,0,13,"Cam Newton pass incomplete short left intended for Kelvin Benjamin is intercepted by Eddie Jackson at CHI-24 and returned for 76 yards, touchdown",2.150,-7.000
2,,,,CAR 15,0,14,Connor Barth kicks extra point good,,
2,12:28,,,CHI 35,0,14,"Connor Barth kicks off 64 yards, returned by Curtis Samuel for 25 yards (tackle by DeAndre Houston-Carson)",0.000,-0.670
2,12:21,1,10,CAR 26,0,14,Jonathan Stewart right tackle for 10 yards (tackle by Kyle Fuller),0.670,1.330
2,11:47,1,10,CAR 36,0,14,Jonathan Stewart right guard for 5 yards (tackle by Eddie Goldman),1.330,1.470
2,11:18,2,5,CAR 41,0,14,Cam Newton right end for no gain (tackle by Kyle Fuller),1.470,0.760
2,10:34,3,5,CAR 41,0,14,Cam Newton pass complete short middle to Devin Funchess for 7 yards (tackle by Christian Jones),0.760,2.130
2,9:52,1,10,CAR 48,0,14,Cam Newton sacked by Eddie Goldman and Mitch Unrein for -1 yards,2.130,1.450
2,9:12,2,11,CAR 47,0,14,Jonathan Stewart right tackle for 1 yard (tackle by Kyle Fuller),1.450,0.890
2,8:27,3,10,CAR 48,0,14,Cam Newton pass complete short middle to Ed Dickson for 11 yards (tackle by Danny Trevathan),0.890,2.850
2,7:46,1,10,CHI 41,0,14,Jonathan Stewart right guard for 5 yards (tackle by Kyle Fuller),2.850,2.980
2,7:04,2,5,CHI 36,0,14,Jonathan Stewart right end for 1 yard (tackle by Adrian Amos),2.980,2.410
2,6:16,3,4,CHI 35,0,14,Cam Newton right end for 6 yards (tackle by Christian Jones),2.410,3.640
2,5:42,1,10,CHI 29,0,14,Jonathan Stewart right tackle for 3 yards (tackle by Eddie Goldman),3.640,3.510
2,5:06,2,7,CHI 26,0,14,Cam Newton pass complete short left to Devin Funchess for 8 yards (tackle by Prince Amukamara),3.510,4.370
2,4:19,1,10,CHI 18,0,14,Cam Newton pass incomplete short middle intended for Ed Dickson (defended by Danny Trevathan),4.370,3.800
2,4:15,2,10,CHI 18,0,14,Jonathan Stewart right guard for no gain (tackle by Eddie Goldman),3.800,3.050
2,3:28,3,10,CHI 18,0,14,Cam Newton pass incomplete deep right intended for Devin Funchess,3.050,2.250
2,3:23,4,10,CHI 18,3,14,Graham Gano 36 yard field goal good,2.250,3.000
2,3:18,,,CAR 35,3,14,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
2,3:18,1,10,CHI 25,3,14,Mitch Trubisky pass complete deep middle to Tarik Cohen for 70 yards (tackle by Kevon Seymour),0.610,6.060
2,2:43,1,5,CAR 5,3,14,Jordan Howard left guard for 4 yards (tackle by Colin Jones),6.060,5.910
2,2:00,2,1,CAR 1,3,14,Jordan Howard left tackle for -1 yards (tackle by Julius Peppers),5.910,4.950
2,1:18,3,2,CAR 2,3,14,Mitch Trubisky left end for 1 yard (tackle by Julius Peppers),4.950,0.000
2,1:14,,,,,,Timeout #2 by Carolina Panthers,0.000,-3.550
2,1:14,4,1,CAR 1,3,17,Connor Barth 19 yard field goal good,3.550,3.000
2,1:10,,,CHI 35,3,17,"Connor Barth kicks off 66 yards, returned by Curtis Samuel for 18 yards (tackle by DeAndre Houston-Carson)",0.000,0.060
2,1:06,1,10,CAR 17,3,17,Cam Newton pass complete short left to Devin Funchess for 20 yards (tackle by Christian Jones),-0.060,1.400
2,0:58,1,10,CAR 37,3,17,Cam Newton pass incomplete short right intended for Devin Funchess,1.400,0.860
2,0:54,2,10,CAR 37,3,17,Cam Newton pass complete short left to Christian McCaffrey for 8 yards (tackle by Christian Jones),0.860,1.220
2,0:28,3,2,CAR 45,3,17,Cam Newton pass complete short right to Ed Dickson for 3 yards (tackle by Adrian Amos),1.220,0.000
2,0:19,,,,,,Timeout #3 by Carolina Panthers,0.000,-2.130
2,0:19,1,10,CAR 48,3,17,Cam Newton pass complete deep left to Kelvin Benjamin for 37 yards (tackle by Prince Amukamara),2.130,4.580
2,0:00,1,10,CHI 15,3,17,"Penalty on Russell Shepard: False Start, 5 yards (no play)",4.580,3.950
Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,3,17,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CHI 25,3,17,Jordan Howard left tackle for -6 yards (tackle by Shaq Thompson),0.610,-0.810
3,14:21,2,16,CHI 19,3,17,Mitch Trubisky pass incomplete deep right intended for Zach Miller,-0.810,-1.510
3,14:15,3,16,CHI 19,3,17,Mitch Trubisky left end for 7 yards (tackle by Shaq Thompson). Penalty on Kyle Long: Offensive Holding (Declined),-1.510,-1.630
3,13:51,4,9,CHI 26,3,17,"Pat O'Donnell punts 60 yards, returned by Christian McCaffrey for 10 yards (tackle by Jonathan Anderson)",-1.630,-0.540
3,13:38,1,10,CAR 24,3,17,Jonathan Stewart left tackle for 6 yards (tackle by Adrian Amos),0.540,0.810
3,12:51,2,4,CAR 30,3,17,Cam Newton right tackle for 8 yards (tackle by Adrian Amos),0.810,1.470
3,12:09,1,10,CAR 38,3,17,Cam Newton pass complete short right to Russell Shepard for 2 yards (tackle by Leonard Floyd),1.470,1.190
3,11:28,2,8,CAR 40,3,17,Cam Newton pass complete short right to Christian McCaffrey for -5 yards (tackle by Adrian Amos),1.190,-0.160
3,10:40,3,13,CAR 35,3,17,Cam Newton pass complete short right to Christian McCaffrey for 20 yards (tackle by Adrian Amos),-0.160,2.590
3,9:47,1,10,CHI 45,3,17,Cam Newton pass incomplete short right intended for Chris Manhertz,2.590,2.040
3,9:43,2,10,CHI 45,3,17,Cam Newton right guard for 12 yards (tackle by Sam Acho),2.040,3.380
3,9:03,1,10,CHI 33,3,17,Christian McCaffrey right tackle for 2 yards (tackle by Mitch Unrein),3.380,3.110
3,8:23,2,8,CHI 31,3,17,Cam Newton pass complete short right to Christian McCaffrey for 3 yards (tackle by Christian Jones),3.110,2.810
3,7:33,3,5,CHI 28,3,17,Cam Newton pass complete short right to Christian McCaffrey for 3 yards (tackle by Christian Jones and Kyle Fuller),2.810,1.930
3,6:53,4,2,CHI 25,3,17,Cam Newton right tackle for 1 yard (tackle by Eddie Goldman),1.930,-0.540
3,6:48,1,10,CHI 24,3,17,Jordan Howard left guard for 3 yards (tackle by Colin Jones),0.540,0.400
3,6:08,2,7,CHI 27,3,17,Mitch Trubisky sacked by Kyle Love for -6 yards,0.400,-1.090
3,5:39,3,13,CHI 21,3,17,Mitch Trubisky pass complete short right to Tanner Gentry for 8 yards (tackle by James Bradberry),-1.090,-1.440
3,5:10,4,5,CHI 29,3,17,"Pat O'Donnell punts 41 yards, returned by Christian McCaffrey for 18 yards. Penalty on James Bradberry: Offensive Holding, 10 yards",-1.440,-0.280
3,4:58,1,10,CAR 20,3,17,Cam Newton pass complete short middle to Christian McCaffrey for -1 yards (tackle by Christian Jones),0.280,-0.460
3,4:15,2,11,CAR 19,3,17,Cam Newton pass complete deep left to Russell Shepard for 18 yards (tackle by Bryce Callahan),-0.460,1.400
3,3:48,1,10,CAR 37,3,17,Jonathan Stewart right tackle for 2 yards (tackle by Jonathan Bullard),1.400,1.130
3,3:05,2,8,CAR 39,3,17,"Cam Newton pass complete deep right to Kelvin Benjamin for 16 yards (tackle by Kyle Fuller). Penalty on Kelvin Benjamin: Offensive Pass Interference, 10 yards (no play)",1.130,-0.220
3,2:38,2,18,CAR 29,3,17,"Cam Newton sacked by Akiem Hicks for -13 yards. Penalty on Akiem Hicks: Face Mask (15 Yards), 15 yards (no play)",-0.220,1.860
3,2:09,1,10,CAR 44,3,17,Christian McCaffrey right guard for 1 yard (tackle by Bryce Callahan),1.860,1.450
