Quarter,Time,Tm,Detail,MIA,BAL
1.0,11:00,Dolphins,Cedrick Wilson Jr. 8 yard pass from Tua Tagovailoa (Jason Sanders kick),7,0
,6:39,Ravens,Justice Hill 20 yard pass from Lamar Jackson (Justin Tucker kick),7,7
,3:39,Dolphins,Jason Sanders 27 yard field goal,10,7
2.0,6:56,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),10,14
,3:10,Dolphins,Jason Sanders 38 yard field goal,13,14
,2:58,Ravens,Zay Flowers 75 yard pass from Lamar Jackson (Justin Tucker kick),13,21
,1:24,Ravens,Isaiah Likely 35 yard pass from Lamar Jackson (Justin Tucker kick),13,28
3.0,13:29,Ravens,Isaiah Likely 7 yard pass from Lamar Jackson (Justin Tucker kick),13,35
4.0,13:57,Dolphins,De'Von Achane 1 yard pass from Tua Tagovailoa (pass failed),19,35
,9:38,Ravens,Patrick Ricard 4 yard pass from Lamar Jackson (Justin Tucker kick),19,42
,4:11,Ravens,Melvin Gordon 7 yard rush (Justin Tucker kick),19,49
,2:28,Ravens,Charlie Kolar 19 yard pass from Tyler Huntley (Justin Tucker kick),19,56
