Unnamed: 0,MIA,BAL
First Downs,20,24
Rush-Yds-TDs,25-154-0,32-160-2
Cmp-Att-Yd-TD-INT,22-38-237-2-2,19-22-340-6-0
Sacked-Yards,3-16,1-9
Net Pass Yards,221,331
Total Yards,375,491
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,5-37,7-45
Third Down Conv.,6-15,4-7
Fourth Down Conv.,2-4,1-1
Time of Possession,29:37,30:23
