Unnamed: 0,NYJ,CLE
First Downs,21,22
Rush-Yds-TDs,35-171-3,18-68-1
Cmp-Att-Yd-TD-INT,16-34-228-1-0,27-51-345-2-2
Sacked-Yards,2-6,1-6
Net Pass Yards,222,339
Total Yards,393,407
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,5-37,2-10
Third Down Conv.,7-15,8-16
Fourth Down Conv.,1-1,0-0
Time of Possession,33:41,26:19
