Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,CAR,13,54,0,4,32,2.5,22,1.7,0,
Will Grier,CAR,4,17,0,2,17,4.3,0,0.0,0,
Reggie Bonnafon,CAR,2,12,0,,6,3.0,6,3.0,0,
Curtis Samuel,CAR,2,4,0,0,1,0.5,3,1.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Marlon Mack,IND,16,95,1,5,37,2.3,58,3.6,0,
Jordan Wilkins,IND,9,84,1,5,47,5.2,37,4.1,1,9.0
Jacoby Brissett,IND,3,37,1,3,37,12.3,0,0.0,0,
Brian Hoyer,IND,3,-2,0,,-2,-0.7,0,0.0,0,
Nyheim Hines,IND,1,4,0,1,1,1.0,3,3.0,0,
