Quarter,Time,Tm,Detail,CAR,IND
1.0,9:28,Colts,Jacoby Brissett 1 yard rush (Chase McLaughlin kick),0,7
,7:41,Colts,Nyheim Hines 84 yard punt return (Chase McLaughlin kick),0,14
2.0,10:18,Panthers,Joey Slye 27 yard field goal,3,14
,5:14,Colts,Marlon Mack 2 yard rush (Chase McLaughlin kick),3,21
3.0,10:59,Colts,Chase McLaughlin 35 yard field goal,3,24
,4:16,Panthers,Joey Slye 50 yard field goal,6,24
4.0,7:16,Colts,Nyheim Hines 71 yard punt return (Chase McLaughlin kick),6,31
,3:10,Colts,Jordan Wilkins 1 yard rush (Chase McLaughlin kick),6,38
