Unnamed: 0,CAR,IND
First Downs,19,25
Rush-Yds-TDs,21-87-0,32-218-3
Cmp-Att-Yd-TD-INT,28-45-236-0-3,14-27-119-0-0
Sacked-Yards,5-37,3-13
Net Pass Yards,199,106
Total Yards,286,324
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,6-46,0-0
Third Down Conv.,4-14,4-11
Fourth Down Conv.,2-4,1-2
Time of Possession,32:21,27:39
