Quarter,Time,Down,ToGo,Location,CAR,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CAR 25,0,0,Will Grier pass incomplete short middle intended for Jarius Wright,0.610,0.060
1,14:57,2,10,CAR 25,0,0,Will Grier pass incomplete deep right intended for Curtis Samuel (defended by Pierre Desir),0.060,-0.620
1,14:51,3,10,CAR 25,0,0,Will Grier pass complete short middle to D.J. Moore for 1 yard (tackle by Rock Ya-Sin),-0.620,-1.630
1,14:01,4,9,CAR 26,0,0,"Michael Palardy punts 50 yards, returned by Nyheim Hines for 40 yards (tackle by Brian Burns)",-1.630,-3.180
1,13:47,1,10,CAR 36,0,0,Marlon Mack up the middle for 3 yards (tackle by Bruce Irvin and Vernon Butler),3.180,3.040
1,13:20,2,7,CAR 33,0,0,Jacoby Brissett pass complete short middle to Jack Doyle for 11 yards (tackle by Luke Kuechly),3.040,4.110
1,12:52,1,10,CAR 22,0,0,Marlon Mack left end for 2 yards (tackle by Ross Cockrell),4.110,3.830
1,12:22,2,8,CAR 20,0,0,Marlon Mack right guard for 7 yards (tackle by Gerald McCoy),3.830,4.390
1,11:49,3,1,CAR 13,0,0,"Marlon Mack left end for -5 yards (tackle by Javien Elliott). Penalty on Eric Reid: Defensive Offside, 5 yards (no play)",4.390,5.370
1,11:23,1,8,CAR 8,0,0,Jordan Wilkins left end for 3 yards (tackle by Eric Reid),5.370,5.150
1,10:37,2,5,CAR 5,0,0,Jacoby Brissett pass complete short middle to Jacoby Brissett for 2 yards (tackle by Luke Kuechly),5.150,4.720
1,9:50,3,3,CAR 3,0,0,Jacoby Brissett pass complete short left to Marcus Johnson for 2 yards (tackle by Ross Cockrell),4.720,3.550
1,9:30,4,1,CAR 1,0,6,"Jacoby Brissett up the middle for 1 yard, touchdown",3.550,7.000
1,9:28,,,CAR 15,0,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,9:28,,,IND 35,0,7,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,9:28,1,10,CAR 25,0,7,Christian McCaffrey left end for 2 yards (tackle by Jabaal Sheard),0.610,0.330
1,8:51,2,8,CAR 27,0,7,Curtis Samuel right end for 1 yard (tackle by Bobby Okereke),0.330,-0.230
1,8:14,3,7,CAR 28,0,7,Will Grier pass incomplete short left intended for D.J. Moore (defended by Rock Ya-Sin),-0.230,-1.500
1,8:10,4,7,CAR 28,0,7,"Michael Palardy punts 49 yards, returned by Nyheim Hines for 14 yards (tackle by Andre Smith). Penalty on Donte Jackson: Illegal Formation (Offsetting) Penalty on IND: Offensive Holding (Offsetting) (no play)",-1.500,-1.500
1,7:58,4,7,CAR 28,0,13,"Michael Palardy punts 56 yards, returned by Nyheim Hines for 84 yards, touchdown",-1.500,-7.000
1,7:41,,,CAR 15,0,14,Chase McLaughlin kicks extra point good,0.000,0.000
1,7:41,,,IND 35,0,14,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,7:41,1,10,CAR 25,0,14,Christian McCaffrey left end for 2 yards (tackle by Anthony Walker),0.610,0.330
1,7:20,2,8,CAR 27,0,14,Will Grier pass complete deep left to Greg Olsen for 28 yards (tackle by Rock Ya-Sin),0.330,2.590
1,6:53,1,10,IND 45,0,14,"Penalty on Daryl Williams: False Start, 5 yards (no play)",2.590,2.260
1,6:36,1,15,CAR 50,0,14,Will Grier pass complete short right to Curtis Samuel for 5 yards (tackle by Trevon Coley),2.260,2.040
1,6:01,2,10,IND 45,0,14,Will Grier pass complete short right to Christian McCaffrey for 7 yards (tackle by Clayton Geathers and Darius Leonard),2.040,2.280
1,5:20,3,3,IND 38,0,14,Will Grier up the middle for 5 yards (tackle by Khari Willis),2.280,3.380
1,4:36,1,10,IND 33,0,14,Will Grier pass complete short right to Christian McCaffrey for 11 yards (tackle by Jabaal Sheard and Darius Leonard),3.380,4.110
1,3:56,1,10,IND 22,0,14,Christian McCaffrey up the middle for 8 yards (tackle by Bobby Okereke and Khari Willis),4.110,4.850
1,3:14,2,2,IND 14,0,14,Christian McCaffrey right guard for 4 yards (tackle by Clayton Geathers),4.850,4.910
1,2:36,1,10,IND 10,0,14,Will Grier pass incomplete short right intended for Jarius Wright,4.910,4.190
1,2:30,2,10,IND 10,0,14,Will Grier pass incomplete short right,4.190,3.130
1,2:20,3,10,IND 10,0,14,Will Grier pass complete short middle to Greg Olsen for 5 yards (tackle by Rock Ya-Sin),3.130,3.010
1,1:39,4,5,IND 5,0,14,Will Grier sacked by Justin Houston for -9 yards,3.010,0.280
1,1:35,1,10,IND 14,0,14,Jacoby Brissett pass incomplete short left,-0.280,-0.750
1,1:29,2,10,IND 14,0,14,Jacoby Brissett pass incomplete deep right intended for Marcus Johnson,-0.750,-1.400
1,1:24,3,10,IND 14,0,14,Jacoby Brissett pass complete short middle to T.Y. Hilton for 11 yards (tackle by Ross Cockrell),-1.400,0.610
1,0:54,1,10,IND 25,0,14,Jacoby Brissett pass incomplete short left intended for Jack Doyle,0.610,0.060
1,0:50,2,10,IND 25,0,14,Jacoby Brissett pass incomplete short left intended for Marcus Johnson,0.060,-0.620
1,0:45,3,10,IND 25,0,14,Jacoby Brissett pass incomplete short middle intended for Zach Pascal,-0.620,-1.700
1,0:41,4,10,IND 25,0,14,"Rigoberto Sanchez punts 53 yards, returned by Chris Hogan for 8 yards (tackle by Bobby Okereke)",-1.700,-0.940
1,0:30,1,10,CAR 30,0,14,Christian McCaffrey left end for 1 yard (tackle by Al-Quadin Muhammad and Rock Ya-Sin),0.940,0.530
