Unnamed: 0,JAX,IND
First Downs,11,24
Rush-Yds-TDs,23-80-0,35-175-1
Cmp-Att-Yd-TD-INT,15-27-146-0-1,21-32-253-1-0
Sacked-Yards,4-32,5-39
Net Pass Yards,114,214
Total Yards,194,389
Fumbles-Lost,2-1,6-3
Turnovers,2,3
Penalties-Yards,6-43,6-54
Third Down Conv.,3-12,9-17
Fourth Down Conv.,0-1,0-0
Time of Possession,25:55,34:05
