Unnamed: 0,ARI,WAS
First Downs,19,14
Rush-Yds-TDs,34-141-0,20-31-0
Cmp-Att-Yd-TD-INT,16-41-189-0-1,18-26-196-2-0
Sacked-Yards,5-44,1-9
Net Pass Yards,145,187
Total Yards,286,218
Fumbles-Lost,3-1,1-1
Turnovers,2,1
Penalties-Yards,8-71,7-82
Third Down Conv.,4-19,1-9
Fourth Down Conv.,2-3,0-0
Time of Possession,36:16,23:44
