Quarter,Time,Down,ToGo,Location,ARI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ARI 25,0,0,Kerwynn Williams left guard for 3 yards (tackle by Martrell Spaight),0.610,0.470
1,14:24,2,7,ARI 28,0,0,Blaine Gabbert pass incomplete short right intended for Ricky Seals-Jones (defended by Kendall Fuller),0.470,-0.230
1,14:21,3,7,ARI 28,0,0,"Blaine Gabbert sacked by Anthony Lanier for -10 yards. Blaine Gabbert fumbles (forced by Anthony Lanier), recovered by Preston Smith at ARI-18 and returned for 12 yards (tackle by Will Holden)",-0.230,-5.830
1,14:13,1,6,ARI 6,0,0,Samaje Perine right guard for 1 yard (tackle by Deone Bucannon),5.830,5.150
1,13:36,2,5,ARI 5,0,6,"Kirk Cousins pass complete short right to Jamison Crowder for 5 yards, touchdown",5.150,7.000
1,13:30,,,ARI 15,0,7,"Dustin Hopkins kicks extra point good. Penalty on ARI: Illegal Formation, 5 yards",0.000,0.000
1,13:30,,,WAS 40,0,7,"Dustin Hopkins kicks off 56 yards, muffed catch by D.J. Foster, recovered by D.J. Foster at ARI-11, and returned for 6 yards",0.000,0.060
1,13:25,1,10,ARI 17,0,7,Blaine Gabbert pass incomplete short left intended for Larry Fitzgerald,-0.060,-0.580
1,13:20,2,10,ARI 17,0,7,Kerwynn Williams right tackle for 12 yards (tackle by Zach Vigil and Josh Norman),-0.580,0.870
1,12:34,1,10,ARI 29,0,7,Kerwynn Williams right tackle for 1 yard (tackle by Martrell Spaight and A.J. Francis),0.870,0.460
1,11:53,2,9,ARI 30,0,7,Blaine Gabbert pass complete short right to Larry Fitzgerald for 11 yards (tackle by Josh Norman),0.460,1.660
1,11:10,1,10,ARI 41,0,7,Elijhaa Penny right guard for 5 yards (tackle by Zach Vigil),1.660,1.800
1,10:28,2,5,ARI 46,0,7,Elijhaa Penny left guard for 3 yards (tackle by Ryan Anderson and Evander Hood),1.800,1.490
1,9:47,3,2,ARI 49,0,7,Blaine Gabbert pass complete short left to D.J. Foster for 8 yards (tackle by Josh Harvey-Clemons),1.490,2.720
1,9:17,1,10,WAS 43,0,7,Blaine Gabbert pass complete short right to Larry Fitzgerald for no gain,2.720,2.180
1,8:37,2,10,WAS 43,0,7,Blaine Gabbert pass complete short middle to Larry Fitzgerald for 14 yards (tackle by Kendall Fuller),2.180,3.640
1,7:59,1,10,WAS 29,0,7,Kerwynn Williams right end for 1 yard (tackle by Deshazor Everett and Josh Norman),3.640,3.240
1,7:16,2,9,WAS 28,0,7,Blaine Gabbert pass complete short right to Ricky Seals-Jones for 4 yards (tackle by Preston Smith),3.240,3.070
1,6:42,3,5,WAS 24,0,7,Blaine Gabbert right guard for 7 yards (tackle by Kendall Fuller),3.070,4.440
1,6:00,1,10,WAS 17,0,7,Kerwynn Williams left tackle for 5 yards (tackle by Bashaud Breeland),4.440,4.690
1,5:19,2,5,WAS 12,0,7,Blaine Gabbert sacked by Junior Galette for -7 yards,4.690,0.000
1,4:31,,,,,,Timeout #1 by Arizona Cardinals,0.000,-2.910
1,4:31,3,12,WAS 19,0,7,Blaine Gabbert sacked by Anthony Lanier for -4 yards,2.910,1.930
1,3:52,4,16,WAS 23,3,7,Phil Dawson 40 yard field goal good,1.930,3.000
