Quarter,Time,Tm,Detail,ARI,WAS
1.0,13:30,Redskins,Jamison Crowder 5 yard pass from Kirk Cousins (Dustin Hopkins kick),0,7
,3:47,Cardinals,Phil Dawson 40 yard field goal,3,7
2.0,13:27,Redskins,Kapri Bibbs 36 yard pass from Kirk Cousins (Dustin Hopkins kick),3,14
,7:35,Cardinals,Phil Dawson 35 yard field goal,6,14
,0:00,Cardinals,Phil Dawson 19 yard field goal,9,14
3.0,13:37,Cardinals,Phil Dawson 34 yard field goal,12,14
,4:23,Redskins,Dustin Hopkins 24 yard field goal,12,17
4.0,11:13,Cardinals,Phil Dawson 32 yard field goal,15,17
,4:30,Redskins,Dustin Hopkins 32 yard field goal,15,20
