Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Matt Bryant kicks off 50 yards, returned by Dameane Douglas for 13 yards (tackle by Byron Frisch)",0.000,1.140
1,14:53,1,10,PHI 33,0,0,Duce Staley right guard for -3 yards (tackle by Michael Strahan and Cornelius Griffin),1.140,0.190
1,14:15,2,13,PHI 30,0,0,"Penalty on John Welbourn: False Start, 5 yards (no play)",0.190,-0.490
1,14:06,2,18,PHI 25,0,0,A.J. Feeley pass complete to Jeff Thomason for 20 yards (tackle by Michael Strahan),-0.490,1.930
1,13:13,1,10,PHI 45,0,0,A.J. Feeley pass complete to Duce Staley for 35 yards (tackle by Will Allen),1.930,4.240
1,12:46,1,10,NYG 20,6,0,"James Thrash left end for 20 yards, touchdown",4.240,7.000
1,12:46,,,NYG 20,7,0,David Akers kicks extra point good,0.000,0.000
1,12:46,,,PHI 30,7,0,"David Akers kicks off 55 yards, returned by Delvin Joyce for 15 yards (tackle by Tyreo Harrison). Penalty on Keith Adams: Offensive Offside, 5 yards (no play)",0.000,0.000
1,12:46,,,PHI 25,7,0,"David Akers kicks off 62 yards, returned by Delvin Joyce for 35 yards (tackle by Justin Ena)",0.000,2.130
1,12:26,1,10,NYG 48,7,0,Kerry Collins pass complete to Jeremy Shockey for 22 yards (tackle by Shawn Barber),2.130,3.580
1,11:50,1,10,PHI 30,7,0,Kerry Collins pass incomplete intended for Tiki Barber,3.580,3.030
1,11:44,2,10,PHI 30,7,0,Tiki Barber right end for 22 yards (tackle by Brian Dawkins),3.030,5.370
1,11:08,1,8,PHI 8,7,0,Tiki Barber right tackle for 2 yards (tackle by Corey Simon and Carlos Emmons),5.370,4.950
1,10:32,2,6,PHI 6,7,0,Kerry Collins pass incomplete intended for Jeremy Shockey is intercepted by Michael Lewis at PHI--6,4.950,-0.280
1,10:24,1,10,PHI 20,7,0,Duce Staley right end for 4 yards (tackle by Will Allen and Dhani Jones),0.280,0.270
1,9:44,2,6,PHI 24,7,0,A.J. Feeley pass incomplete intended for Freddie Mitchell (defended by Will Allen),0.270,-0.430
1,9:40,3,6,PHI 24,7,0,A.J. Feeley pass incomplete intended for James Thrash,-0.430,-1.770
1,9:35,4,6,PHI 24,7,0,"Lee Johnson punts 40 yards, returned by Delvin Joyce for 2 yards (tackle by Mike Bartrum)",-1.770,-1.470
1,9:23,1,10,NYG 38,7,0,Kerry Collins pass complete to Tiki Barber for 4 yards (tackle by Shawn Barber),1.470,1.460
1,8:47,2,6,NYG 42,7,0,Tiki Barber right end for 4 yards (tackle by Carlos Emmons and Shawn Barber),1.460,1.290
1,8:12,3,2,NYG 46,7,0,Kerry Collins pass incomplete intended for Tiki Barber,1.290,-0.320
1,8:12,4,2,NYG 46,7,0,"Matt Allen punts 54 yards, touchback",-0.320,-0.280
1,7:52,1,10,PHI 20,7,0,A.J. Feeley pass complete to Chad Lewis for 16 yards (tackle by Omar Stoutmire),0.280,1.330
1,7:16,1,10,PHI 36,7,0,Duce Staley middle for no gain (tackle by Kenny Holmes and Omar Stoutmire),1.330,0.790
1,6:35,2,10,PHI 36,7,0,A.J. Feeley pass incomplete intended for Antonio Freeman,0.790,0.100
1,6:30,3,10,PHI 36,7,0,Dorsey Levens right end for 7 yards (tackle by Omar Stoutmire and Brandon Short),0.100,-0.520
1,5:52,4,3,PHI 43,7,0,"Lee Johnson punts 44 yards, returned by Delvin Joyce for 18 yards. Penalty on Charles Stackhouse: Illegal Block Above the Waist, 10 yards",-0.520,0.220
1,5:36,1,10,NYG 15,7,0,Tiki Barber right tackle for 3 yards (tackle by Hugh Douglas),-0.220,-0.280
1,4:57,2,7,NYG 18,7,0,Kerry Collins pass complete to Amani Toomer for 33 yards (tackle by Brian Dawkins and Bobby Taylor),-0.280,2.320
1,4:29,1,10,PHI 49,7,0,Tiki Barber left end for -1 yards (tackle by Hugh Douglas),2.320,1.650
1,3:52,2,11,,7,0,Kerry Collins right end for 1 yard (tackle by Carlos Emmons),1.650,1.090
1,3:19,3,10,PHI 49,7,0,"Kerry Collins for no gain. Kerry Collins fumbles, recovered by Kerry Collins at NYG-47",1.090,-0.260
1,2:47,4,14,NYG 47,7,0,Matt Allen punts 38 yards,-0.260,0.220
1,2:40,1,10,PHI 15,7,0,A.J. Feeley pass complete to Duce Staley for 4 yards (tackle by Dhani Jones),-0.220,-0.110
1,2:00,2,6,PHI 19,7,0,Dorsey Levens right tackle for 1 yard (tackle by Michael Strahan and Cornelius Griffin),-0.110,-0.760
1,1:21,3,5,PHI 20,7,0,A.J. Feeley pass incomplete intended for James Thrash (defended by Will Allen),-0.760,-2.030
1,1:16,4,5,PHI 20,7,0,"Lee Johnson punts 51 yards, returned by Delvin Joyce for 2 yards (tackle by Sheldon Brown)",-2.030,-1.000
1,1:03,1,10,NYG 31,7,0,Tiki Barber right tackle for 3 yards (tackle by Hugh Douglas),1.000,0.870
1,0:29,2,7,NYG 34,7,0,Kerry Collins pass complete to Charles Stackhouse for 4 yards (tackle by Carlos Emmons),0.870,0.700
Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,NYG 38,7,0,Kerry Collins pass complete to Tiki Barber for 10 yards (tackle by N.D. Kalu and Brian Dawkins),0.700,2.130
2,14:24,1,10,NYG 48,7,0,Tiki Barber right end for 6 yards (tackle by Michael Lewis),2.130,2.390
