Unnamed: 0,PHI,NYG
First Downs,9,23
Rush-Yds-TDs,23-65-1,39-213-0
Cmp-Att-Yd-TD-INT,13-25-150-0-1,25-35-256-1-1
Sacked-Yards,1-6,1-8
Net Pass Yards,144,248
Total Yards,209,461
Fumbles-Lost,1-0,7-3
Turnovers,1,4
Penalties-Yards,8-55,7-64
Third Down Conv.,3-13,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,26:04,39:06
