Quarter,Time,Tm,Detail,TAM,NYG
1.0,3:27,Giants,Plaxico Burress 7 yard pass from Eli Manning (Jay Feely kick),0,7
2.0,8:50,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),0,14
,0:58,Buccaneers,Matt Bryant 43 yard field goal,3,14
4.0,3:43,Giants,Jay Feely 31 yard field goal,3,17
