Unnamed: 0,TAM,NYG
First Downs,10,16
Rush-Yds-TDs,13-40-0,35-108-1
Cmp-Att-Yd-TD-INT,20-48-139-0-0,16-31-154-1-0
Sacked-Yards,2-5,2-11
Net Pass Yards,134,143
Total Yards,174,251
Fumbles-Lost,6-1,1-0
Turnovers,1,0
Penalties-Yards,3-30,4-40
Third Down Conv.,2-16,3-14
Fourth Down Conv.,0-3,0-1
Time of Possession,24:22,35:38
