Quarter,Time,Tm,Detail,TAM,DET
1.0,10:43,Buccaneers,Martin Gramatica 20 yard field goal,3,0
2.0,14:17,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),10,0
,11:24,Lions,Bill Schroeder 18 yard pass from Mike McMahon (Jason Hanson kick),10,7
,5:35,Lions,Jason Hanson 37 yard field goal,10,10
,0:17,Buccaneers,Martin Gramatica 28 yard field goal,13,10
3.0,12:02,Lions,Jason Hanson 25 yard field goal,13,13
4.0,10:08,Buccaneers,Michael Pittman 4 yard rush (Martin Gramatica kick),20,13
,9:44,Lions,Mike McMahon 2 yard rush (Jason Hanson kick),20,20
,3:04,Buccaneers,Martin Gramatica 38 yard field goal,23,20
