Unnamed: 0,TAM,DET
First Downs,22,15
Rush-Yds-TDs,28-123-2,26-144-1
Cmp-Att-Yd-TD-INT,24-41-253-0-0,10-22-158-1-1
Sacked-Yards,0-0,1-10
Net Pass Yards,253,148
Total Yards,376,292
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,9-67,6-36
Third Down Conv.,6-14,3-10
Fourth Down Conv.,0-0,0-0
Time of Possession,37:06,22:54
