Quarter,Time,Tm,Detail,LVR,PIT
1.0,6:38,Raiders,Hunter Renfrow 14 yard pass from Derek Carr (Daniel Carlson kick),7,0
2.0,1:49,Steelers,Chris Boswell 44 yard field goal,7,3
,0:05,Raiders,Daniel Carlson 40 yard field goal,10,3
4.0,9:47,Steelers,Chris Boswell 40 yard field goal,10,6
,0:46,Steelers,George Pickens 14 yard pass from Kenny Pickett (Chris Boswell kick),10,13
