Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
2,14:26,2,10,LVR 44,7,0,Kenny Pickett pass complete short left to Diontae Johnson for 13 yards (tackle by Nate Hobbs),2.110,3.510
2,13:52,1,10,LVR 31,7,0,Kenny Pickett scrambles right end for 6 yards (tackle by Luke Masterson and Roderic Teamer),3.510,3.780
2,13:07,2,4,LVR 25,7,0,Jaylen Warren up the middle for 2 yards (tackle by Luke Masterson and Maxx Crosby),3.780,3.340
2,12:29,3,2,LVR 23,7,0,Jaylen Warren left end for -2 yards (tackle by Tyler Hall),3.340,1.880
2,11:52,4,4,LVR 25,7,0,Chris Boswell 43 yard field goal no good,1.880,-1.140
2,11:48,1,10,LVR 33,7,0,Derek Carr pass complete short right to Davante Adams for 12 yards (tackle by Damontae Kazee),1.140,1.930
2,11:10,1,10,LVR 45,7,0,Josh Jacobs left tackle for -4 yards (tackle by Cameron Heyward and Robert Spillane),1.930,0.840
2,10:31,2,14,LVR 41,7,0,Derek Carr pass incomplete short left intended for Keelan Cole,0.840,0.170
2,10:27,3,14,LVR 41,7,0,Derek Carr scrambles up the middle for 4 yards (tackle by Robert Spillane),0.170,-0.390
2,9:46,4,9,LVR 45,7,0,"AJ Cole punts 43 yards, fair catch by Steven Sims at PIT-12",-0.390,0.350
2,9:39,1,10,PIT 12,7,0,Kenny Pickett pass complete short right to Pat Freiermuth for 8 yards (tackle by Trevon Moehrig and Denzel Perryman),-0.350,0.290
2,9:01,2,2,PIT 20,7,0,Najee Harris right tackle for 8 yards (tackle by Denzel Perryman),0.290,0.810
2,8:25,1,10,PIT 28,7,0,Najee Harris right guard for 1 yard (tackle by Andrew Billings and Maxx Crosby),0.810,0.400
2,7:49,2,9,PIT 29,7,0,Najee Harris left tackle for 7 yards (tackle by Jerry Tillery and Tyler Hall),0.400,0.630
2,7:12,3,2,PIT 36,7,0,Kenny Pickett pass complete short middle to George Pickens for 8 yards (tackle by Tyler Hall),0.630,1.860
2,6:34,1,10,PIT 44,7,0,Najee Harris right guard for 4 yards (tackle by Darien Butler and Chandler Jones),1.860,1.860
2,5:50,2,6,PIT 48,7,0,Jaylen Warren left tackle for 13 yards (tackle by Tyler Hall and Trevon Moehrig),1.860,2.980
2,5:03,1,10,LVR 39,7,0,Jaylen Warren right end for 4 yards (tackle by Maxx Crosby),2.980,2.980
2,4:24,2,6,LVR 35,7,0,Jaylen Warren left end for 5 yards (tackle by Trevon Moehrig),2.980,2.940
2,3:42,3,1,LVR 30,7,0,Derek Watt up the middle for no gain (tackle by Maxx Crosby),2.940,1.520
2,3:00,4,1,LVR 30,7,0,Kenny Pickett up the middle for 2 yards (tackle by Bilal Nichols and Neil Farrell),1.520,3.710
2,2:23,1,10,LVR 28,7,0,Kenny Pickett pass incomplete short right intended for Connor Heyward,3.710,3.170
2,2:20,2,10,LVR 28,7,0,Kenny Pickett pass complete short left to Pat Freiermuth for 2 yards (tackle by Chandler Jones),3.170,2.740
2,2:00,3,8,LVR 26,7,0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth,2.740,1.740
2,1:53,4,8,LVR 26,7,3,Chris Boswell 44 yard field goal good,1.740,3.000
2,1:49,,,PIT 35,7,3,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
2,1:49,1,10,LVR 25,7,3,Derek Carr pass complete short right to Foster Moreau for 9 yards (tackle by Robert Spillane),0.610,1.280
2,1:22,2,1,LVR 34,7,3,Josh Jacobs left tackle for 10 yards (tackle by Robert Spillane and Cameron Sutton),1.280,1.860
2,0:42,1,10,LVR 44,7,3,Derek Carr pass incomplete short left intended for Hunter Renfrow,1.860,1.320
2,0:36,2,10,LVR 44,7,3,Derek Carr pass incomplete deep left intended for Davante Adams,1.320,0.630
2,0:32,3,10,LVR 44,7,3,Derek Carr pass complete deep left to Darren Waller for 34 yards (tackle by Minkah Fitzpatrick),0.630,4.110
2,0:24,,,,,,Timeout #2 by Las Vegas Raiders,,
2,0:24,1,10,PIT 22,7,3,Derek Carr pass incomplete short left intended for Davante Adams (defended by Cameron Sutton),4.110,3.560
2,0:18,2,10,PIT 22,7,3,Derek Carr pass incomplete short left intended for Davante Adams,3.560,2.870
2,0:14,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,0:14,3,10,PIT 22,7,3,Derek Carr pass incomplete deep middle intended for Darren Waller,2.870,1.990
2,0:09,4,10,PIT 22,10,3,Daniel Carlson 40 yard field goal good,1.990,3.000
2,0:05,,,LVR 35,10,3,"Daniel Carlson kicks off 40 yards, returned by Benny Snell for 15 yards (tackle by Brandon Bolden and Malcolm Koonce)",0.000,1.270
Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,10,3,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,PIT 25,10,3,Kenny Pickett pass complete short left to Pat Freiermuth for 10 yards (tackle by Luke Masterson),0.610,1.330
3,14:21,1,10,PIT 36,10,3,"Kenny Pickett pass complete short right to Jaylen Warren for no gain. Penalty on Pat Freiermuth: Offensive Pass Interference, 10 yards (accepted) (no play)",1.330,0.610
3,13:52,1,20,PIT 25,10,3,Kenny Pickett pass incomplete short middle intended for Diontae Johnson,0.610,-0.630
3,13:47,2,20,PIT 25,10,3,Kenny Pickett pass complete short left to Pat Freiermuth for 15 yards (tackle by Duron Harmon and Nate Hobbs),-0.630,0.700
3,13:05,3,5,PIT 40,10,3,Kenny Pickett pass complete deep left to George Pickens for 25 yards (tackle by Nate Hobbs),0.700,3.250
3,12:40,1,10,LVR 35,10,3,Najee Harris right tackle for -1 yards (tackle by Denzel Perryman),3.250,2.570
3,11:57,2,11,LVR 36,10,3,Kenny Pickett pass short left intended for Connor Heyward is intercepted by Denzel Perryman at LV-29 and returned for 24 yards (tackle by Najee Harris and Chukwuma Okorafor),2.570,-2.460
3,11:48,1,10,PIT 47,10,3,Derek Carr pass deep middle intended for Foster Moreau is intercepted by Arthur Maulet at PIT-32 and returned for 12 yards (tackle by Josh Jacobs),2.460,-1.860
3,11:39,1,10,PIT 44,10,3,Kenny Pickett pass complete short left to Najee Harris for -6 yards (tackle by Clelin Ferrell),1.860,0.510
3,10:58,2,16,PIT 38,10,3,Kenny Pickett pass complete short left to George Pickens for 8 yards (tackle by Nate Hobbs and Luke Masterson),0.510,0.890
3,10:18,3,8,PIT 46,10,3,Kenny Pickett pass complete short left to Diontae Johnson for 14 yards (tackle by Sam Webb),0.890,2.920
3,9:33,1,10,LVR 40,10,3,Najee Harris up the middle for 7 yards (tackle by Nate Hobbs),2.920,3.320
3,8:47,,,,,,Timeout #1 by Pittsburgh Steelers,,
3,8:47,2,3,LVR 33,10,3,Najee Harris right guard for -2 yards (tackle by Andrew Billings),3.320,2.340
3,8:08,3,5,LVR 35,10,3,Kenny Pickett pass complete short left to Najee Harris for 1 yard (tackle by Tyler Hall and Amik Robertson),2.340,1.080
3,7:22,4,4,LVR 34,10,3,Chris Boswell 52 yard field goal no good,1.080,-1.730
3,7:17,1,10,LVR 42,10,3,Derek Carr pass incomplete short right intended for Davante Adams (defended by T.J. Watt),1.730,1.190
3,7:14,2,10,LVR 42,10,3,Derek Carr pass complete short left to Hunter Renfrow for 8 yards (tackle by Cameron Sutton),1.190,1.550
3,6:31,3,2,PIT 50,10,3,Derek Carr pass complete short middle to Hunter Renfrow for 9 yards (tackle by T.J. Watt),1.550,2.850
3,5:46,1,10,PIT 41,10,3,"Penalty on Darren Waller: False Start, 5 yards (accepted) (no play)",2.850,2.520
3,5:24,1,15,PIT 46,10,3,Josh Jacobs right guard for 3 yards (tackle by Elijah Riley and Tyson Alualu),2.520,2.040
3,4:44,2,12,PIT 43,10,3,Derek Carr pass short middle intended for Hunter Renfrow is intercepted by Minkah Fitzpatrick at PIT-29 and returned for no gain (tackle by Hunter Renfrow),2.040,-0.870
3,4:40,1,10,PIT 29,10,3,Kenny Pickett pass incomplete short middle intended for Diontae Johnson,0.870,0.330
3,4:35,2,10,PIT 29,10,3,Kenny Pickett pass incomplete short right,0.330,-0.360
3,4:28,3,10,PIT 29,10,3,Kenny Pickett pass incomplete short middle intended for Connor Heyward (defended by Clelin Ferrell),-0.360,-1.440
3,4:23,4,10,PIT 29,10,3,"Pressley Harvin punts 55 yards, returned by Hunter Renfrow for 13 yards (tackle by Christian Kuntz)",-1.440,-0.870
3,4:13,1,10,LVR 29,10,3,Josh Jacobs right guard for -3 yards (tackle by T.J. Watt),0.870,-0.080
3,3:34,2,13,LVR 26,10,3,Josh Jacobs left tackle for 4 yards (tackle by Malik Reed and Robert Spillane),-0.080,-0.230
3,2:54,3,9,LVR 30,10,3,Derek Carr pass complete short middle to Hunter Renfrow for 11 yards (tackle by Levi Wallace),-0.230,1.660
3,2:18,1,10,LVR 41,10,3,"Josh Jacobs left end for no gain. Penalty on Foster Moreau: Personal Foul / Offense, 15 yards (accepted) (no play)",1.660,0.670
3,1:59,1,25,LVR 26,10,3,Derek Carr pass complete short right to Darren Waller for 4 yards (tackle by Devin Bush),0.670,-0.370
3,1:22,2,21,LVR 30,10,3,Derek Carr pass complete short middle to Darren Waller for 9 yards (tackle by Devin Bush and Levi Wallace),-0.370,0.170
3,0:38,3,12,LVR 39,10,3,Derek Carr sacked by Alex Highsmith for -13 yards,0.170,-1.630
Quarter,Time,Down,ToGo,Location,LVR,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,26,LVR 26,10,3,AJ Cole punts 29 yards out of bounds,-1.630,-1.930
4,14:54,1,10,PIT 45,10,3,Najee Harris up the middle for 1 yard (tackle by Duron Harmon),1.930,1.520
4,14:17,2,9,PIT 46,10,3,Kenny Pickett pass complete short right to Najee Harris for 17 yards (tackle by Duron Harmon),1.520,3.120
4,13:41,1,10,LVR 37,10,3,"Najee Harris left guard for no gain. Penalty on Kevin Dotson: Offensive Holding, 10 yards (accepted) (no play)",3.120,2.460
4,13:14,1,20,LVR 47,10,3,Kenny Pickett pass complete short left to Diontae Johnson for 11 yards (tackle by Amik Robertson),2.460,2.710
4,12:41,2,9,LVR 36,10,3,Najee Harris up the middle for 4 yards (tackle by Bilal Nichols),2.710,2.540
4,11:59,3,5,LVR 32,10,3,Kenny Pickett pass complete short left to Jaylen Warren for 7 yards (tackle by Luke Masterson),2.540,3.910
4,11:14,1,10,LVR 25,10,3,Jaylen Warren left tackle for 1 yard (tackle by Andrew Billings),3.910,3.430
4,10:34,2,10,LVR 24,10,3,Kenny Pickett pass incomplete short right intended for Jaylen Warren,3.430,2.740
4,10:31,3,10,LVR 24,10,3,Kenny Pickett pass complete short left to George Pickens for 2 yards (tackle by Luke Masterson),2.740,1.990
4,9:52,4,7,LVR 22,10,6,Chris Boswell 40 yard field goal good,1.990,3.000
4,9:47,,,PIT 35,10,6,"Chris Boswell kicks off 59 yards, returned by Ameer Abdullah for 23 yards (tackle by Elijah Riley and Marcus Allen)",0.000,0.870
4,9:42,1,10,LVR 29,10,6,Josh Jacobs left end for 4 yards (tackle by Larry Ogunjobi and Cameron Heyward),0.870,0.870
4,8:59,2,6,LVR 33,10,6,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Robert Spillane),0.870,1.600
4,8:18,1,10,LVR 40,10,6,Josh Jacobs up the middle for 2 yards (tackle by Montravius Adams and Robert Spillane),1.600,1.320
4,7:39,2,8,LVR 42,10,6,Derek Carr sacked by Cameron Heyward for -10 yards,1.320,-0.690
4,6:53,3,18,LVR 32,10,6,Derek Carr pass complete short right to Ameer Abdullah for 10 yards (tackle by Minkah Fitzpatrick and Elijah Riley),-0.690,-0.590
4,6:06,4,8,LVR 42,10,6,"AJ Cole punts 46 yards, returned by Steven Sims for 9 yards (tackle by Isaiah Pola-Mao)",-0.590,-0.340
4,5:56,1,10,PIT 21,10,6,Najee Harris left guard for 4 yards (tackle by Bilal Nichols and Trevon Moehrig),0.340,0.340
4,5:23,2,6,PIT 25,10,6,Najee Harris left tackle for 5 yards (tackle by Bilal Nichols and Luke Masterson),0.340,0.170
4,4:47,3,2,PIT 29,10,6,Kenny Pickett pass incomplete short right intended for Najee Harris (defended by Tyler Hall),0.170,-1.370
4,4:40,4,2,PIT 30,10,6,Pressley Harvin punts 46 yards out of bounds,-1.370,-0.540
4,4:32,1,10,LVR 24,10,6,Josh Jacobs left tackle for 5 yards (tackle by Larry Ogunjobi and Cameron Heyward),0.540,0.670
4,3:48,2,5,LVR 29,10,6,Josh Jacobs left guard for no gain (tackle by Cameron Heyward),0.670,-0.030
4,3:07,3,5,LVR 29,10,6,Derek Carr pass incomplete short left intended for Davante Adams,-0.030,-1.440
4,3:02,4,5,LVR 29,10,6,"AJ Cole punts 47 yards, fair catch by Steven Sims at PIT-24",-1.440,-0.540
4,2:55,1,10,PIT 24,10,6,Kenny Pickett pass complete short middle to Najee Harris for 6 yards (tackle by Trevon Moehrig),0.540,0.810
4,2:18,2,4,PIT 30,10,6,Kenny Pickett pass complete short middle to Pat Freiermuth for 17 yards (tackle by Luke Masterson),0.810,2.060
4,2:00,1,10,PIT 47,10,6,"Kenny Pickett pass complete short right to Pat Freiermuth for 10 yards (tackle by Trevon Moehrig) Replay Assistant challenged the pass completion ruling, and the play was upheld.",2.060,2.720
4,1:43,1,10,LVR 43,10,6,Kenny Pickett pass incomplete short left intended for Najee Harris,2.720,2.180
4,1:38,2,10,LVR 43,10,6,Kenny Pickett pass complete short middle to Najee Harris for 19 yards (tackle by Sam Webb),2.180,3.970
4,1:12,1,10,LVR 24,10,6,Kenny Pickett pass complete short right to Najee Harris for 5 yards (tackle by Sam Webb),3.970,4.120
4,1:05,2,5,LVR 19,10,6,"Kenny Pickett pass complete to Najee Harris for -2 yards Replay Assistant challenged the pass completion ruling, and the original play was overturned. Kenny Pickett pass incomplete short left intended for Najee Harris",4.120,3.410
4,1:01,3,5,LVR 19,10,6,Kenny Pickett pass complete short right to Pat Freiermuth for 4 yards (tackle by Sam Webb),3.410,2.590
4,0:55,,,,,,Timeout #2 by Pittsburgh Steelers,,
4,0:55,4,1,LVR 15,10,6,Kenny Pickett up the middle for 1 yard (tackle by Tyler Hall and Bilal Nichols),2.590,4.650
4,0:50,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,0:50,1,10,LVR 14,10,12,"Kenny Pickett pass complete short middle to George Pickens for 14 yards, touchdown",4.650,7.000
4,0:46,,,LVR 15,10,13,Chris Boswell kicks extra point good,0.000,0.000
4,0:46,,,PIT 35,10,13,"Chris Boswell kicks off 51 yards, returned by Ameer Abdullah for 15 yards (tackle by Marcus Allen)",0.000,0.870
4,0:43,1,10,LVR 29,10,13,Derek Carr pass incomplete short right intended for Davante Adams (defended by Levi Wallace),0.870,0.330
4,0:36,2,10,LVR 29,10,13,Derek Carr pass short middle intended for Hunter Renfrow is intercepted by Cameron Sutton at PIT-34 and returned for no gain (tackle by Hunter Renfrow),0.330,-0.150
4,0:29,1,10,PIT 19,10,13,Najee Harris up the middle for no gain (tackle by Bilal Nichols and Duron Harmon),0.150,-0.390
4,0:25,,,,,,Timeout #1 by Las Vegas Raiders,,
4,0:25,2,10,PIT 19,10,13,Connor Heyward left end for 21 yards (tackle by Roderic Teamer),-0.390,1.600
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
