Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hunter Renfrow,LVR,7,4,42,1,3,21,5.3,21,5.3,12.3,1,4.0,1,14.3,2,74.7
Darren Waller,LVR,5,4,58,0,2,54,13.5,4,1.0,15.2,0,,0,0.0,0,115.0
Ameer Abdullah,LVR,2,2,27,0,1,4,2.0,23,11.5,2.0,0,,0,0.0,0,118.7
Davante Adams,LVR,9,2,15,0,1,-4,-2.0,19,9.5,8.6,0,,0,0.0,0,39.6
Foster Moreau,LVR,3,2,19,0,1,8,4.0,11,5.5,7.7,0,,1,33.3,1,44.4
Mack Hollins,LVR,2,1,7,0,1,5,5.0,2,2.0,1.5,0,,0,0.0,0,58.3
Josh Jacobs,LVR,1,1,6,0,0,4,4.0,2,2.0,4.0,0,,0,0.0,0,91.7
Keelan Cole,LVR,1,0,0,0,,0,,0,,9.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Pat Freiermuth,PIT,8,7,66,0,3,23,3.3,43,6.1,4.5,0,,1,12.5,0,101.0
Najee Harris,PIT,9,6,42,0,2,9,1.5,33,5.5,2.0,1,6.0,1,11.1,0,77.1
Diontae Johnson,PIT,7,5,64,0,4,49,9.8,15,3.0,10.6,0,,1,14.3,0,99.7
George Pickens,PIT,5,5,57,1,3,48,9.6,9,1.8,9.6,0,,0,0.0,0,153.7
Zach Gentry,PIT,1,1,1,0,,1,1.0,0,0.0,1.0,0,,0,0.0,0,79.2
Steven Sims,PIT,1,1,7,0,,3,3.0,4,4.0,3.0,0,,0,0.0,0,95.8
Jaylen Warren,PIT,2,1,7,0,1,5,5.0,2,2.0,-0.5,0,,0,0.0,0,58.3
Connor Heyward,PIT,3,0,0,0,0,0,,0,,-0.3,0,,0,0.0,1,0.0
