Unnamed: 0,NOR,CHI
First Downs,28,13
Rush-Yds-TDs,20-105-0,27-96-0
Cmp-Att-Yd-TD-INT,35-60-320-3-2,13-28-199-3-1
Sacked-Yards,3-12,2-20
Net Pass Yards,308,179
Total Yards,413,275
Fumbles-Lost,2-1,4-2
Turnovers,3,3
Penalties-Yards,8-72,5-34
Third Down Conv.,3-14,6-14
Fourth Down Conv.,1-4,0-1
Time of Possession,35:08,24:52
