Quarter,Time,Tm,Detail,MIN,NOR
1,9:35,Vikings,Adrian Peterson 19 yard rush (Ryan Longwell kick),7,0
,6:30,Saints,Pierre Thomas 38 yard pass from Drew Brees (Garrett Hartley kick),7,7
,2:11,Vikings,Sidney Rice 5 yard pass from Brett Favre (Ryan Longwell kick),14,7
2,10:30,Saints,Devery Henderson 9 yard pass from Drew Brees (Garrett Hartley kick),14,14
3,12:56,Saints,Pierre Thomas 9 yard rush (Garrett Hartley kick),14,21
,7:35,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),21,21
4,12:39,Saints,Reggie Bush 5 yard pass from Drew Brees (Garrett Hartley kick),21,28
,4:58,Vikings,Adrian Peterson 2 yard rush (Ryan Longwell kick),28,28
OT,10:15,Saints,Garrett Hartley 40 yard field goal,28,31
