Unnamed: 0,MIN,NOR
First Downs,31,15
Rush-Yds-TDs,36-165-3,23-68-1
Cmp-Att-Yd-TD-INT,28-46-310-1-2,17-31-197-3-0
Sacked-Yards,0-0,1-8
Net Pass Yards,310,189
Total Yards,475,257
Fumbles-Lost,6-3,3-1
Turnovers,5,1
Penalties-Yards,5-32,9-88
Third Down Conv.,7-12,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,36:49,27:56
