Unnamed: 0,ARI,ATL
First Downs,14,19
Rush-Yds-TDs,24-26-0,40-262-1
Cmp-Att-Yd-TD-INT,17-29-182-0-2,13-22-153-0-1
Sacked-Yards,4-21,2-10
Net Pass Yards,161,143
Total Yards,187,405
Fumbles-Lost,3-2,0-0
Turnovers,4,1
Penalties-Yards,4-19,5-40
Third Down Conv.,4-12,4-14
Fourth Down Conv.,1-1,1-1
Time of Possession,28:33,31:27
