Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,WAS 20,0,0,"Alfred Morris left tackle for 4 yards (tackle by Brandon Bair). Penalty on Ryan Grant: Illegal Formation, 5 yards (no play)",0.280,-0.310
1,14:40,1,15,WAS 15,0,0,Alfred Morris left end for 7 yards (tackle by Walter Thurmond),-0.310,0.000
1,14:03,2,8,WAS 22,0,0,"Alfred Morris left end for 5 yards (tackle by Fletcher Cox and Mychal Kendricks). Penalty on Morgan Moses: Clipping, 11 yards (no play)",0.000,-1.440
1,13:36,2,19,WAS 11,0,0,Kirk Cousins pass incomplete short middle intended for Jamison Crowder,-1.440,-2.470
1,13:30,3,19,WAS 11,0,0,Chris Thompson left guard for 42 yards (tackle by Byron Maxwell),-2.470,2.460
1,12:42,1,10,PHI 47,0,0,Alfred Morris right end for 2 yards (tackle by Brandon Bair and Connor Barwin),2.460,2.180
1,12:04,2,8,PHI 45,0,0,Kirk Cousins pass incomplete short left intended for Jamison Crowder (defended by Beau Allen),2.180,1.490
1,12:04,3,8,PHI 45,0,0,"Penalty on Fletcher Cox: Neutral Zone Infraction, 5 yards (no play)",1.490,2.150
1,11:59,3,3,PHI 40,0,0,Kirk Cousins pass complete short left to Chris Thompson for 19 yards (tackle by Nolan Carroll),2.150,4.170
1,11:29,1,10,PHI 21,0,0,Alfred Morris left end for 2 yards (tackle by Bennie Logan),4.170,3.900
1,10:53,2,8,PHI 19,0,0,Kirk Cousins pass complete short right to Alfred Morris for 1 yard (tackle by E.J. Biggers),3.900,3.310
1,10:17,3,7,PHI 18,0,0,Kirk Cousins pass complete short middle to Pierre Garcon for 11 yards (tackle by Nolan Carroll),3.310,5.600
1,9:37,1,7,PHI 7,0,0,Alfred Morris left end for no gain (tackle by Bennie Logan and Brandon Graham),5.600,4.760
1,8:53,2,7,PHI 7,0,0,Kirk Cousins pass complete short left to Chris Thompson for 5 yards (tackle by Jordan Hicks),4.760,4.950
1,8:12,3,2,PHI 2,0,0,Matt Jones right tackle for no gain (tackle by Malcolm Jenkins),4.950,3.250
1,7:28,4,2,PHI 2,0,3,Dustin Hopkins 20 yard field goal good,3.250,3.000
1,7:28,,,WAS 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
1,7:22,1,10,PHI 20,0,3,Sam Bradford pass incomplete short right intended for Darren Sproles,0.280,-0.270
1,7:14,2,10,PHI 20,0,3,Ryan Mathews left end for no gain (tackle by Trent Murphy and Terrance Knighton),-0.270,-0.960
1,6:46,3,10,PHI 20,0,3,Sam Bradford sacked by Chris Baker for -8 yards,-0.960,-2.490
1,6:17,4,18,PHI 12,0,3,"Donnie Jones punts 41 yards, returned by Jamison Crowder for -6 yards (tackle by Jerome Couplin)",-2.490,-1.660
1,6:02,1,10,WAS 41,0,3,Alfred Morris left end for 2 yards (tackle by Fletcher Cox and DeMeco Ryans),1.660,1.390
1,5:28,2,8,WAS 43,0,3,Kirk Cousins pass complete short right to Jordan Reed for 8 yards (tackle by Malcolm Jenkins),1.390,2.320
1,4:55,1,10,PHI 49,0,3,Kirk Cousins pass complete short left to Jordan Reed for 15 yards (tackle by Brandon Graham),2.320,3.310
1,4:25,1,10,PHI 34,0,3,Alfred Morris left end for 1 yard (tackle by Brandon Graham and Bennie Logan),3.310,2.910
1,3:48,2,9,PHI 33,0,3,Chris Thompson right end for 5 yards (tackle by E.J. Biggers and Bennie Logan),2.910,2.870
1,3:10,3,4,PHI 28,0,3,Kirk Cousins pass complete short left to Jordan Reed for 5 yards (tackle by Walter Thurmond),2.870,4.040
1,2:22,1,10,PHI 23,0,3,Alfred Morris right tackle for 1 yard (tackle by Bennie Logan and Beau Allen),4.040,3.630
1,1:42,2,9,PHI 22,0,3,Matt Jones right guard for 2 yards (tackle by Bennie Logan and Jordan Hicks),3.630,3.200
1,1:03,3,7,PHI 20,0,3,Kirk Cousins pass incomplete deep left intended for Jamison Crowder,3.200,2.120
1,0:56,4,7,PHI 20,0,6,Dustin Hopkins 38 yard field goal good,2.120,3.000
1,0:56,,,WAS 35,0,6,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
1,0:51,1,10,PHI 20,0,6,DeMarco Murray middle for 30 yards (tackle by Bashaud Breeland and Keenan Robinson),0.280,2.260
1,0:18,1,10,,0,6,Sam Bradford pass incomplete short right intended for Brent Celek,2.260,1.710
1,0:09,2,10,,0,6,DeMarco Murray left end for 3 yards (tackle by Ryan Kerrigan),1.710,1.420
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,WAS 47,0,6,Sam Bradford pass incomplete short left intended for Riley Cooper,1.420,0.130
2,14:53,4,7,WAS 47,0,6,Donnie Jones punts 45 yards,0.130,0.380
2,14:43,1,10,WAS 2,0,6,Alfred Morris right guard for 2 yards (tackle by Brandon Graham),-0.380,-0.630
2,14:05,2,8,WAS 4,0,6,Kirk Cousins pass incomplete short right intended for Jordan Reed. Penalty on Jordan Reed: Illegal Touch Pass (Declined),-0.630,-1.190
2,13:57,3,8,WAS 4,0,6,Kirk Cousins pass complete short middle to Pierre Garcon for 3 yards (tackle by Walter Thurmond),-1.190,-2.490
2,13:19,4,5,WAS 7,0,6,Tress Way punts 63 yards,-2.490,-0.940
2,13:06,1,10,PHI 30,0,6,DeMarco Murray right end for -5 yards (tackle by Ryan Kerrigan),0.940,-0.280
2,12:44,2,15,PHI 25,0,6,"Sam Bradford sacked by Ricky Jean-Francois for 0 yards. Penalty on Dashon Goldson: Illegal Contact, 5 yards (no play)",-0.280,0.940
2,12:31,1,10,PHI 30,0,6,Sam Bradford pass complete short left to DeMarco Murray for 4 yards (tackle by Keenan Robinson),0.940,0.930
2,12:12,2,6,PHI 34,0,6,Sam Bradford sacked by Chris Baker for -7 yards,0.930,-0.690
2,11:30,3,13,PHI 27,0,6,Sam Bradford pass complete short left to DeMarco Murray for 8 yards (tackle by Bashaud Breeland),-0.690,-1.040
2,11:00,4,5,PHI 35,0,6,"Donnie Jones punts 38 yards, fair catch by Jamison Crowder. Penalty on Josh Huff: Illegal Shift, 5 yards",-1.040,-1.070
2,10:53,1,10,WAS 32,0,6,Kirk Cousins pass complete short left to Ryan Grant for 11 yards (tackle by Eric Rowe),1.070,1.800
2,10:19,1,10,WAS 43,0,6,Matt Jones left end for 1 yard (tackle by Fletcher Cox),1.800,1.390
2,9:38,2,9,WAS 44,0,6,Kirk Cousins pass complete short right to Ryan Grant for 4 yards (tackle by Eric Rowe and DeMeco Ryans),1.390,1.220
2,8:54,3,5,WAS 48,0,6,Kirk Cousins pass complete short middle to Jamison Crowder for 9 yards (tackle by Eric Rowe and Jordan Hicks),1.220,2.720
2,8:12,1,10,PHI 43,0,6,Matt Jones left guard for 7 yards (tackle by Fletcher Cox),2.720,3.120
2,7:35,2,3,PHI 36,0,6,Kirk Cousins pass complete short left to Ryan Grant for 16 yards (tackle by Nolan Carroll),3.120,4.240
2,7:01,1,10,PHI 20,0,6,Kirk Cousins pass incomplete deep left intended for Jordan Reed,4.240,3.690
2,6:56,2,10,PHI 20,0,6,Matt Jones right end for 2 yards (tackle by Bennie Logan),3.690,3.220
2,6:12,3,8,PHI 18,0,6,"Kirk Cousins pass incomplete deep left intended for Ryan Grant (defended by Eric Rowe). Penalty on Eric Rowe: Defensive Pass Interference, 17 yards (no play)",3.220,6.970
2,6:06,1,1,PHI 1,0,6,Matt Jones left guard for no gain (tackle by Walter Thurmond),6.970,5.910
2,5:27,2,1,PHI 1,0,12,"Kirk Cousins for no gain. Kirk Cousins fumbles, recovered by Kirk Cousins at PHI-2, touchdown",5.910,7.000
2,5:27,,,PHI 1,0,13,Dustin Hopkins kicks extra point good,0.000,0.000
2,5:27,,,WAS 35,0,13,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
2,5:18,1,10,PHI 20,0,13,Ryan Mathews middle for 5 yards (tackle by Preston Smith),0.280,0.410
2,4:49,2,5,PHI 25,0,13,Sam Bradford pass complete deep middle to Nelson Agholor for 45 yards (tackle by Chris Culliver),0.410,3.580
2,4:09,1,10,WAS 30,0,13,"Ryan Mathews for no gain. Ryan Mathews fumbles, recovered by Keenan Robinson at WAS-33 (tackle by Nelson Agholor)",3.580,-1.140
2,4:03,1,10,WAS 33,0,13,Kirk Cousins pass complete short right to Alfred Morris for 2 yards (tackle by Malcolm Jenkins),1.140,0.860
2,3:22,2,8,WAS 35,0,13,Chris Thompson left end for -1 yards (tackle by Walter Thurmond),0.860,0.040
2,2:40,3,9,WAS 34,0,13,Kirk Cousins sacked by Brandon Graham for 0 yards. Penalty on Morgan Moses: Offensive Holding (Declined),0.040,0.040
2,2:31,3,9,WAS 34,0,13,Timeout #1 by Philadelphia Eagles,0.040,-1.110
2,2:30,4,9,WAS 34,0,13,"Tress Way punts 41 yards, returned by Darren Sproles for 45 yards (tackle by Jackson Jeffcoat)",-1.110,-3.580
2,2:17,1,10,WAS 30,0,13,Sam Bradford pass complete short middle to Jordan Matthews for 8 yards (tackle by William Compton),3.580,4.110
2,2:00,2,2,WAS 22,0,13,Sam Bradford pass incomplete deep middle intended for Jordan Matthews,4.110,3.400
2,1:54,3,2,WAS 22,0,13,Darren Sproles middle for 11 yards (tackle by Dashon Goldson),3.400,4.840
2,1:30,1,10,WAS 11,0,13,"Sam Bradford pass complete short right to Zach Ertz for 11 yards. Penalty on Nelson Agholor: Illegal Formation, 5 yards (no play)",4.840,4.340
2,1:25,1,15,WAS 16,0,13,Sam Bradford pass incomplete short right intended for Darren Sproles (defended by Preston Smith),4.340,3.440
2,1:17,2,15,WAS 16,0,13,Sam Bradford sacked by Preston Smith for -9 yards,3.440,1.750
2,0:36,3,24,WAS 25,0,13,Sam Bradford pass complete short left to Riley Cooper for 10 yards (tackle by Kyshoen Jarrett and Dashon Goldson),1.750,1.750
2,0:03,3,24,WAS 25,0,13,Timeout #2 by Philadelphia Eagles,1.750,2.440
2,0:02,4,14,WAS 15,0,13,Caleb Sturgis 33 yard field goal no good,2.440,0.410
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,0,13,"Dustin Hopkins kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,PHI 20,0,13,DeMarco Murray left tackle for 3 yards (tackle by Ryan Kerrigan),0.280,0.140
3,14:35,2,7,PHI 23,0,13,Sam Bradford pass incomplete short left intended for Jordan Matthews (defended by Chris Culliver),0.140,-0.560
3,14:32,3,7,PHI 23,0,13,Sam Bradford right end for 14 yards (tackle by Will Blackmon),-0.560,1.400
3,14:08,1,10,PHI 37,0,13,DeMarco Murray left end for no gain (tackle by Kyshoen Jarrett and William Compton),1.400,0.860
3,13:32,2,10,PHI 37,0,13,Darren Sproles right end for 2 yards (tackle by Bashaud Breeland and Ricky Jean-Francois),0.860,0.430
3,12:50,3,8,PHI 39,0,13,Sam Bradford pass complete short right to Nelson Agholor for 9 yards (tackle by Bashaud Breeland),0.430,2.130
3,12:24,1,10,PHI 48,0,13,Sam Bradford pass incomplete deep right intended for Jordan Matthews,2.130,1.580
3,12:16,2,10,PHI 48,0,13,"DeMarco Murray right end for 4 yards (tackle by Jason Hatcher). Penalty on Jason Kelce: Offensive Holding, 10 yards (no play)",1.580,0.230
3,12:03,2,20,PHI 38,6,13,"Sam Bradford pass complete deep middle to Riley Cooper for 62 yards, touchdown",0.230,7.000
3,12:03,,,WAS 38,6,13,Caleb Sturgis kicks extra point no good,0.000,-1.000
3,12:03,,,PHI 35,6,13,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,11:54,1,10,WAS 20,6,13,Chris Thompson middle for 5 yards (tackle by DeMeco Ryans),0.280,0.410
3,11:19,2,5,WAS 25,6,13,Alfred Morris right end for 4 yards (tackle by Brandon Graham),0.410,0.230
3,10:42,3,1,WAS 29,6,13,Darrel Young left tackle for no gain (tackle by Walter Thurmond and Beau Allen),0.230,-1.440
3,10:01,4,1,WAS 29,6,13,"Tress Way punts 42 yards, fair catch by Darren Sproles. Penalty on Quinton Dunbar: Unnecessary Roughness, 15 yards",-1.440,-1.860
3,9:50,1,10,PHI 44,6,13,DeMarco Murray left guard for -1 yards (tackle by Stephen Paea and Trent Robinson),1.860,1.180
3,9:16,2,11,PHI 43,6,13,"Sam Bradford pass complete deep middle to Jordan Matthews for 30 yards (tackle by Trent Robinson). Penalty on Trent Robinson: Unnecessary Roughness, 14 yards",1.180,4.710
3,9:07,1,10,WAS 13,6,13,Sam Bradford pass incomplete short right intended for Zach Ertz,4.710,4.050
3,9:02,2,10,WAS 13,6,13,DeMarco Murray right tackle for 3 yards (tackle by Stephen Paea and Bashaud Breeland),4.050,3.650
3,8:25,3,7,WAS 10,12,13,"Sam Bradford pass complete short right to Brent Celek for 10 yards, touchdown",3.650,7.000
3,8:25,,,WAS 10,13,13,Caleb Sturgis kicks extra point good,0.000,0.000
3,8:25,,,PHI 35,13,13,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,8:17,1,10,WAS 20,13,13,Kirk Cousins pass complete deep left to Rashad Ross for 43 yards (tackle by Malcolm Jenkins),0.280,3.120
3,7:46,1,10,PHI 37,13,13,Kirk Cousins pass complete short middle to Ryan Grant for 6 yards (tackle by Jordan Hicks and Nolan Carroll),3.120,3.380
3,7:10,2,4,PHI 31,13,13,Alfred Morris left end for 1 yard (tackle by Bennie Logan and Vinny Curry),3.380,2.810
3,6:33,3,3,PHI 30,13,13,"Kirk Cousins pass complete short middle to Pierre Garcon for 5 yards (tackle by Nolan Carroll). Penalty on Pierre Garcon: Face Mask (15 Yards), 15 yards",2.810,1.490
3,6:00,3,13,PHI 40,13,13,Kirk Cousins pass complete deep left to Jamison Crowder for 22 yards (tackle by Nolan Carroll and E.J. Biggers),1.490,4.370
3,5:16,1,10,PHI 18,13,13,Kirk Cousins pass complete short left to Derek Carrier for 3 yards (tackle by Nolan Carroll and Jordan Hicks),4.370,4.250
3,4:39,2,7,PHI 15,13,13,Alfred Morris middle for no gain (tackle by Malcolm Jenkins and Beau Allen),4.250,3.460
3,3:59,3,7,PHI 15,13,13,Kirk Cousins pass incomplete short right intended for Jamison Crowder,3.460,2.440
3,3:54,4,7,PHI 15,13,16,Dustin Hopkins 33 yard field goal good,2.440,3.000
3,3:54,,,WAS 35,13,16,"Dustin Hopkins kicks off 65 yards, touchback",0.000,-0.280
3,3:49,1,10,PHI 20,13,16,Sam Bradford pass complete short middle to Nelson Agholor for 6 yards (tackle by Kyshoen Jarrett),0.280,0.540
3,3:21,2,4,PHI 26,13,16,Sam Bradford pass incomplete deep left intended for Miles Austin,0.540,-0.160
3,3:15,3,4,PHI 26,13,16,Sam Bradford pass incomplete short middle intended for Jordan Matthews. Penalty on Jordan Matthews: Offensive Pass Interference (Declined),-0.160,-1.630
3,3:09,4,4,PHI 26,13,16,"Donnie Jones punts 46 yards, returned by Jamison Crowder for 8 yards (tackle by Trey Burton)",-1.630,-1.330
3,2:59,1,10,WAS 36,13,16,"Kirk Cousins pass complete deep left to Pierre Garcon for 19 yards (tackle by Nolan Carroll). Penalty on Trent Williams: Ineligible Downfield Pass, 5 yards (no play)",1.330,1.000
3,2:36,1,15,WAS 31,13,16,Matt Jones right end for -1 yards (tackle by Malcolm Jenkins and Bennie Logan),1.000,-0.020
3,1:58,2,16,WAS 30,13,16,Kirk Cousins pass complete short right to Derek Carrier for 15 yards (tackle by Jordan Hicks),-0.020,1.290
3,1:17,3,1,WAS 45,13,16,Kirk Cousins pass complete short left to Jamison Crowder for 6 yards (tackle by Nolan Carroll),1.290,2.320
3,0:49,1,10,PHI 49,13,16,Alfred Morris left tackle for no gain (tackle by Fletcher Cox),2.320,1.780
3,0:10,2,10,PHI 49,13,16,"Kirk Cousins pass complete short left to Jordan Reed for 7 yards (tackle by Brandon Graham). Jordan Reed fumbles (forced by Brandon Graham), recovered by Jordan Hicks at PHI-42 (tackle by Brandon Scherff)",1.780,-1.730
3,0:01,1,10,PHI 42,13,16,Sam Bradford pass incomplete deep right intended for Nelson Agholor (defended by Bashaud Breeland),1.730,1.190
Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,10,PHI 42,13,16,"Sam Bradford pass complete short left to Zach Ertz for 4 yards (tackle by William Compton and Trent Robinson). Penalty on Trent Robinson: Unnecessary Roughness, 15 yards",1.190,2.980
4,14:49,1,10,WAS 39,19,16,"Sam Bradford pass complete deep middle to Miles Austin for 39 yards, touchdown",2.980,7.000
4,14:49,,,WAS 39,20,16,Caleb Sturgis kicks extra point good,0.000,0.000
4,14:49,,,PHI 35,20,16,"Caleb Sturgis kicks off 68 yards, returned by Rashad Ross for 22 yards (tackle by Trey Burton)",0.000,-0.150
4,14:35,1,10,WAS 19,20,16,Alfred Morris right end for 2 yards (tackle by DeMeco Ryans),0.150,-0.060
4,13:54,2,8,WAS 21,20,16,Kirk Cousins pass complete short middle to Jamison Crowder for 12 yards (tackle by Eric Rowe),-0.060,1.140
4,13:30,1,10,WAS 33,20,16,Kirk Cousins pass incomplete deep left intended for Rashad Ross,1.140,0.590
4,13:24,2,10,WAS 33,20,16,Kirk Cousins pass complete short right to Jamison Crowder for 12 yards (tackle by Eric Rowe),0.590,1.930
4,12:50,1,10,WAS 45,20,16,"Kirk Cousins pass complete short right to Pierre Garcon for 6 yards (tackle by Eric Rowe). Penalty on Eric Rowe: Unnecessary Roughness, 15 yards",1.930,3.310
4,12:23,1,10,PHI 34,20,16,Chris Thompson middle for -1 yards (tackle by Beau Allen and Fletcher Cox),3.310,2.640
4,11:50,2,11,PHI 35,20,16,Kirk Cousins pass incomplete deep left intended for Pierre Garcon,2.640,1.950
4,11:44,3,11,PHI 35,20,16,Kirk Cousins pass incomplete short left intended for Chris Thompson,1.950,0.970
4,11:39,4,11,PHI 35,20,16,"Tress Way punts 35 yards, touchback",0.970,-0.280
4,11:31,1,10,PHI 20,20,16,"Sam Bradford pass incomplete short left intended for Zach Ertz (defended by Chris Culliver). Penalty on Ricky Jean-Francois: Roughing the Passer, 15 yards (no play)",0.280,1.270
4,11:25,1,10,PHI 35,20,16,Ryan Mathews right tackle for 9 yards (tackle by Dashon Goldson),1.270,1.940
