Quarter,Time,Tm,Detail,PHI,WAS
1.0,7:22,Redskins,Dustin Hopkins 20 yard field goal,0,3
,0:51,Redskins,Dustin Hopkins 38 yard field goal,0,6
2.0,5:18,Redskins,Kirk Cousins 1 yard rush (Dustin Hopkins kick),0,13
3.0,11:54,Eagles,Riley Cooper 62 yard pass from Sam Bradford (Caleb Sturgis kick failed),6,13
,8:17,Eagles,Brent Celek 10 yard pass from Sam Bradford (Caleb Sturgis kick),13,13
,3:49,Redskins,Dustin Hopkins 33 yard field goal,13,16
4.0,14:40,Eagles,Miles Austin 39 yard pass from Sam Bradford (Caleb Sturgis kick),20,16
,0:26,Redskins,Pierre Garcon 4 yard pass from Kirk Cousins (Dustin Hopkins kick),20,23
