Unnamed: 0,PHI,WAS
First Downs,14,25
Rush-Yds-TDs,18-87-0,32-127-1
Cmp-Att-Yd-TD-INT,15-28-270-3-0,31-46-290-1-0
Sacked-Yards,5-37,1-0
Net Pass Yards,233,290
Total Yards,320,417
Fumbles-Lost,2-2,2-1
Turnovers,2,1
Penalties-Yards,8-72,10-110
Third Down Conv.,4-12,9-17
Fourth Down Conv.,0-1,0-0
Time of Possession,18:52,41:08
