Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,PHI 25,0,0,Wendell Smallwood left end for -2 yards (tackle by Shawn Williams),0.610,-0.210
1,14:23,2,12,PHI 23,0,0,Carson Wentz pass incomplete short middle intended for Zach Ertz (defended by Carlos Dunlap),-0.210,-0.890
1,14:19,3,12,PHI 23,0,0,Carson Wentz pass incomplete short middle intended for Dorial Green-Beckham (defended by Vincent Rey),-0.890,-1.830
1,14:14,4,12,PHI 23,0,0,Donnie Jones punts 30 yards,-1.830,-2.060
1,14:05,1,10,CIN 47,0,0,Jeremy Hill left guard for 2 yards (tackle by Fletcher Cox and Malcolm Jenkins),2.060,1.790
1,13:28,2,8,CIN 49,0,0,Andy Dalton pass complete short right to Brandon LaFell for 12 yards (tackle by Leodis McKelvin),1.790,2.980
1,12:49,1,10,PHI 39,0,0,"Penalty on Bennie Logan: Neutral Zone Infraction, 5 yards (no play)",2.980,3.710
1,12:35,1,5,PHI 34,0,0,Jeremy Hill left guard for 4 yards (tackle by Fletcher Cox and Nigel Bradham),3.710,3.660
1,11:55,2,1,PHI 30,0,0,Andy Dalton pass complete short right to James Wright for 15 yards (tackle by Leodis McKelvin and Malcolm Jenkins),3.660,4.580
1,11:15,1,10,PHI 15,0,0,Jeremy Hill left guard for 1 yard (tackle by Jaylen Watkins),4.580,4.110
1,10:38,2,9,PHI 14,0,0,Andy Dalton pass incomplete,4.110,3.240
1,10:31,3,9,PHI 14,0,0,Andy Dalton pass incomplete short middle intended for Rex Burkhead,3.240,2.510
1,10:26,4,9,PHI 14,0,3,Mike Nugent 32 yard field goal good,2.510,3.000
1,10:22,,,CIN 35,0,3,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,10:22,1,10,PHI 25,0,3,Wendell Smallwood left guard for 2 yards (tackle by Carlos Dunlap and Karlos Dansby),0.610,0.330
1,9:44,2,8,PHI 27,0,3,Wendell Smallwood left end for 9 yards (tackle by Karlos Dansby),0.330,1.330
1,9:06,1,10,PHI 36,0,3,Carson Wentz pass incomplete short middle intended for Kenjon Barner (defended by Carlos Dunlap),1.330,0.790
1,9:00,2,10,PHI 36,0,3,Carson Wentz pass complete short left to Nelson Agholor for 2 yards (tackle by Vontaze Burfict),0.790,0.370
1,8:24,3,8,PHI 38,0,3,Carson Wentz for 10 yards (tackle by Vontaze Burfict and Josh Shaw),0.370,2.130
1,7:52,1,10,PHI 48,0,3,"Penalty on Isaac Seumalo: False Start, 5 yards (no play)",2.130,1.800
1,7:30,1,15,PHI 43,0,3,Carson Wentz pass complete short left to Dorial Green-Beckham for 8 yards (tackle by Adam Jones),1.800,1.990
1,6:48,2,7,CIN 49,0,3,Darren Sproles right end for -2 yards (tackle by Domata Peko and Pat Sims),1.990,1.020
1,6:03,3,9,PHI 49,0,3,Carson Wentz pass incomplete deep right intended for Dorial Green-Beckham,1.020,-0.130
1,5:57,4,9,PHI 49,0,3,"Donnie Jones punts 40 yards, returned by Alex Erickson for 8 yards (tackle by Nigel Bradham)",-0.130,-0.150
1,5:44,1,10,CIN 19,0,3,Jeremy Hill right tackle for -4 yards (tackle by Brandon Graham and Bennie Logan),0.150,-1.000
1,5:04,2,14,CIN 15,0,3,Andy Dalton pass complete short right to James Wright for 5 yards (tackle by Jordan Hicks),-1.000,-0.940
1,4:34,3,9,CIN 20,0,3,Andy Dalton pass complete deep middle to Brandon LaFell for 23 yards (tackle by Nolan Carroll and Rodney McLeod),-0.940,1.800
1,3:57,1,10,CIN 43,0,3,Andy Dalton pass complete short right to Jeremy Hill for 4 yards (tackle by Jaylen Watkins),1.800,1.790
1,3:22,2,6,CIN 47,0,3,Rex Burkhead left end for -2 yards (tackle by Nigel Bradham),1.790,0.830
1,2:40,3,8,CIN 45,0,3,Andy Dalton pass complete deep left to Cody Core for 50 yards (tackle by Rodney McLeod),0.830,6.060
1,2:13,1,5,PHI 5,0,3,Jeremy Hill middle for 3 yards (tackle by Leodis McKelvin),6.060,5.720
1,1:35,2,2,PHI 2,0,9,"Jeremy Hill right guard for 2 yards, touchdown",5.720,7.000
1,1:32,,,PHI 15,0,10,Mike Nugent kicks extra point good,0.000,0.000
1,1:32,,,CIN 35,0,10,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,1:32,1,10,PHI 25,0,10,Wendell Smallwood middle for 2 yards (tackle by Michael Johnson),0.610,0.330
1,0:49,2,8,PHI 27,0,10,Carson Wentz middle for 7 yards (tackle by Vincent Rey),0.330,0.560
1,0:05,3,1,PHI 34,0,10,Wendell Smallwood left end for 2 yards (tackle by Adam Jones),0.560,1.330
Quarter,Time,Down,ToGo,Location,PHI,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 36,0,10,Carson Wentz pass incomplete short middle intended for Wendell Smallwood,1.330,0.790
2,14:55,2,10,PHI 36,0,10,Darren Sproles right end for 3 yards (tackle by Dre Kirkpatrick),0.790,0.500
2,14:10,3,7,PHI 39,0,10,Carson Wentz pass complete short middle to Dorial Green-Beckham for 12 yards (tackle by Shawn Williams),0.500,2.320
2,13:30,1,10,CIN 49,0,10,Carson Wentz pass complete short right to Nelson Agholor for 5 yards (tackle by Dre Kirkpatrick),2.320,2.460
2,12:44,2,5,CIN 44,0,10,"Penalty on Zach Ertz: False Start, 5 yards (no play)",2.460,1.780
2,12:18,2,10,CIN 49,0,10,"Penalty on Allen Barbre: False Start, 5 yards (no play)",1.780,1.110
