Unnamed: 0,PHI,CIN
First Downs,22,21
Rush-Yds-TDs,19-53-1,33-80-1
Cmp-Att-Yd-TD-INT,36-60-308-1-3,23-31-332-2-0
Sacked-Yards,1-2,0-0
Net Pass Yards,306,332
Total Yards,359,412
Fumbles-Lost,0-0,2-2
Turnovers,3,2
Penalties-Yards,10-88,3-23
Third Down Conv.,8-17,7-14
Fourth Down Conv.,3-5,0-0
Time of Possession,31:58,28:02
