Unnamed: 0,NOR,CAR
First Downs,22,20
Rush-Yds-TDs,23-63-1,29-167-1
Cmp-Att-Yd-TD-INT,28-38-349-1-0,19-29-169-2-0
Sacked-Yards,1-5,1-12
Net Pass Yards,344,157
Total Yards,407,324
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,5-38,7-48
Third Down Conv.,4-11,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:39,30:21
