Unnamed: 0,PHI,CHI
First Downs,21,17
Rush-Yds-TDs,23-42-0,18-65-0
Cmp-Att-Yd-TD-INT,25-40-266-2-2,26-43-303-1-0
Sacked-Yards,1-8,2-12
Net Pass Yards,258,291
Total Yards,300,356
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,3-25,3-52
Third Down Conv.,6-13,5-16
Fourth Down Conv.,1-1,0-0
Time of Possession,30:48,29:12
