Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Wendell Smallwood right guard for 2 yards (tackle by Roquan Smith),0.610,0.330
1,14:23,2,8,PHI 27,0,0,Nick Foles pass complete short right to Wendell Smallwood for 22 yards (tackle by Kyle Fuller),0.330,2.190
1,13:43,1,10,PHI 49,0,0,Nick Foles pass complete short middle to Zach Ertz for 17 yards (tackle by Kyle Fuller),2.190,3.310
1,13:12,1,10,CHI 34,0,0,Nick Foles pass incomplete short right intended for Nelson Agholor,3.310,2.770
1,13:08,2,10,CHI 34,0,0,Josh Adams right guard for 2 yards (tackle by Khalil Mack),2.770,2.350
1,12:24,3,8,CHI 32,0,0,Nick Foles pass complete short middle to Alshon Jeffery for 12 yards (tackle by Kyle Fuller),2.350,4.240
1,11:46,1,10,CHI 20,0,0,Darren Sproles left guard for -3 yards (tackle by Khalil Mack),4.240,3.290
1,11:01,2,13,CHI 23,0,0,Nick Foles pass complete short middle to Zach Ertz for 6 yards (tackle by Roquan Smith),3.290,3.360
1,10:17,3,7,CHI 17,0,0,Nick Foles sacked by Leonard Floyd for -8 yards,3.360,1.800
1,9:37,4,15,CHI 25,3,0,Jake Elliott 43 yard field goal good,1.800,3.000
1,9:32,,,PHI 35,3,0,"Jake Elliott kicks off 60 yards, returned by Josh Bellamy for no gain (tackle by Kamu Grugier-Hill and Deiondre' Hall)",0.000,0.340
1,9:24,1,10,CHI 21,3,0,Jordan Howard right guard for 6 yards (tackle by Nigel Bradham),0.340,0.610
1,8:49,2,4,CHI 27,3,0,Mitchell Trubisky pass complete short middle to Taylor Gabriel for 5 yards (tackle by Rasul Douglas),0.610,1.070
1,8:09,1,10,CHI 32,3,0,Mitchell Trubisky pass complete short middle to Ben Braunecker for 6 yards (tackle by Corey Graham),1.070,1.340
1,7:32,2,4,CHI 38,3,0,Taquan Mizzell right tackle for -1 yards (tackle by Michael Bennett),1.340,0.500
1,6:54,3,5,CHI 37,3,0,Mitchell Trubisky pass complete short right to Allen Robinson for 8 yards (tackle by Avonte Maddox),0.500,1.930
1,6:13,1,10,CHI 45,3,0,Jordan Howard right tackle for no gain (tackle by Nigel Bradham),1.930,1.380
1,5:32,2,10,CHI 45,3,0,Mitchell Trubisky pass incomplete deep left intended for Tarik Cohen,1.380,0.700
1,5:26,3,10,CHI 45,3,0,Mitchell Trubisky pass incomplete short right intended for Jordan Howard (defended by Avonte Maddox),0.700,-0.390
1,5:19,4,10,CHI 45,3,0,"Pat O'Donnell punts 55 yards, touchback.. Penalty on LaRoy Reynolds: Defensive Offside, 5 yards (no play)",-0.390,-0.060
1,5:10,4,5,CHI 50,3,0,Pat O'Donnell punts 49 yards out of bounds,-0.060,0.380
1,5:01,1,10,PHI 1,3,0,Wendell Smallwood left tackle for 4 yards (tackle by Deon Bush),-0.380,-0.490
1,4:20,2,6,PHI 5,3,0,Nick Foles pass incomplete short middle intended for Zach Ertz,-0.490,-0.950
1,4:16,3,6,PHI 5,3,0,Nick Foles pass complete short right to Wendell Smallwood for -2 yards (tackle by Danny Trevathan),-0.950,-2.490
1,3:37,4,8,PHI 3,3,0,"Cameron Johnston punts 45 yards, fair catch by Tarik Cohen at PHI-48",-2.490,-2.390
1,3:29,1,10,PHI 48,3,0,Mitchell Trubisky pass incomplete short middle intended for Taquan Mizzell (defended by Nigel Bradham),2.390,1.850
1,3:25,2,10,PHI 48,3,0,Jordan Howard left guard for 6 yards (tackle by Nigel Bradham),1.850,1.950
1,2:46,3,4,PHI 42,3,0,Mitchell Trubisky pass incomplete short middle intended for Taylor Gabriel (defended by Nigel Bradham),1.950,0.460
