Quarter,Time,Tm,Detail,MIN,SEA
1.0,8:48,Vikings,Dalvin Cook 8 yard rush (Dan Bailey kick),7,0
2.0,8:33,Vikings,Dan Bailey 52 yard field goal,10,0
,0:10,Vikings,Dan Bailey 46 yard field goal,13,0
3.0,9:55,Seahawks,Will Dissly 19 yard pass from Russell Wilson (Jason Myers kick),13,7
,8:19,Seahawks,D.K. Metcalf 13 yard pass from Russell Wilson (Jason Myers kick),13,14
,8:02,Seahawks,Chris Carson 29 yard rush (Jason Myers kick),13,21
,3:39,Vikings,Adam Thielen 3 yard pass from Kirk Cousins (run failed),19,21
4.0,7:08,Vikings,Adam Thielen 6 yard pass from Kirk Cousins (Dan Bailey kick),26,21
,0:15,Seahawks,D.K. Metcalf 6 yard pass from Russell Wilson (pass failed),26,27
