Quarter,Time,Tm,Detail,MIA,NWE
1.0,5:29,Dolphins,Tua Tagovailoa 3 yard rush (Jason Sanders kick),7,0
2.0,10:17,Patriots,Nick Folk 27 yard field goal,7,3
,2:30,Patriots,Nelson Agholor 7 yard pass from Mac Jones (Nick Folk kick),7,10
,0:00,Dolphins,Jason Sanders 48 yard field goal,10,10
3.0,10:51,Dolphins,Jaylen Waddle 3 yard pass from Tua Tagovailoa (Jason Sanders kick),17,10
,2:50,Patriots,Nick Folk 42 yard field goal,17,13
4.0,10:36,Patriots,Nick Folk 33 yard field goal,17,16
