Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Commanders to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Chad Ryland kicks off 66 yards, returned by Antonio Gibson for 37 yards (tackle by Jabrill Peppers)",0.000,1.330
1,14:54,1,10,WAS 36,0,0,Sam Howell pass complete short middle to Brian Robinson for 4 yards (tackle by Ja'Whaun Bentley),1.330,1.330
1,14:21,2,6,WAS 40,0,0,Brian Robinson right guard for 4 yards (tackle by Davon Godchaux and Deatrich Wise),1.330,1.160
1,13:36,3,2,WAS 44,0,0,Sam Howell pass incomplete short middle intended for Jahan Dotson,1.160,-0.460
1,13:31,4,2,WAS 44,0,0,"Tress Way punts 40 yards, fair catch by Demario Douglas at NE-16",-0.460,0.140
1,13:23,1,10,NWE 16,0,0,Mac Jones pass complete short middle to Demario Douglas for 11 yards (tackle by Benjamin St-Juste),-0.140,0.740
1,12:52,1,10,NWE 27,0,0,Rhamondre Stevenson up the middle for 1 yard (tackle by James Smith-Williams),0.740,0.330
1,12:15,2,9,NWE 28,0,0,Mac Jones pass incomplete short right intended for Rhamondre Stevenson,0.330,-0.360
1,12:10,3,9,NWE 28,0,0,Mac Jones pass complete short middle to Rhamondre Stevenson for 13 yards (tackle by Jamin Davis),-0.360,1.660
1,11:46,1,10,NWE 41,0,0,Rhamondre Stevenson up the middle for 2 yards (tackle by John Ridgeway),1.660,1.390
1,11:15,2,8,NWE 43,0,0,Rhamondre Stevenson left guard for 5 yards (tackle by Khaleke Hudson),1.390,1.360
1,10:40,3,3,NWE 48,0,0,Mac Jones pass complete short middle to Hunter Henry for 6 yards (tackle by Kamren Curl and Jamin Davis),1.360,2.520
1,10:04,1,10,WAS 46,0,0,Mac Jones pass incomplete short middle intended for Demario Douglas (defended by Benjamin St-Juste),2.520,1.980
1,9:59,2,10,WAS 46,0,0,Ezekiel Elliott left guard for no gain (tackle by Jonathan Allen),1.980,1.290
1,9:22,3,10,WAS 46,0,0,Mac Jones pass complete short right to Tyquan Thornton for 7 yards (tackle by Kamren Curl),1.290,0.660
1,8:40,4,3,WAS 39,0,0,Mac Jones pass incomplete deep left intended for Tyquan Thornton,0.660,-1.530
1,8:34,1,10,WAS 39,0,0,Brian Robinson right guard for 5 yards (tackle by Jahlani Tavai and Lawrence Guy),1.530,1.660
1,7:54,2,5,WAS 44,0,0,Sam Howell pass complete short middle to Dyami Brown for 19 yards (tackle by Kyle Dugger and Shaun Wade),1.660,3.120
1,7:15,1,10,NWE 37,0,0,Sam Howell pass complete short right to Antonio Gibson for 7 yards (tackle by Jalen Mills),3.120,3.520
1,6:37,2,3,NWE 30,0,0,Sam Howell pass complete short right to Terry McLaurin for 2 yards (tackle by Ja'Whaun Bentley),3.520,3.070
1,6:01,3,1,NWE 28,0,0,Brian Robinson left guard for 2 yards (tackle by Davon Godchaux and Jahlani Tavai),3.070,3.840
1,5:19,1,10,NWE 26,0,0,Sam Howell pass complete short left to Terry McLaurin for 2 yards (tackle by Ja'Whaun Bentley and Anfernee Jennings),3.840,3.570
1,4:38,2,8,NWE 24,0,0,Sam Howell pass complete short right to Jamison Crowder for 7 yards (tackle by Myles Bryant),3.570,3.950
1,4:01,3,1,NWE 17,0,0,Sam Howell left guard for -2 yards (tackle by Anfernee Jennings and Deatrich Wise),3.950,2.280
1,3:18,4,3,NWE 19,3,0,Joey Slye 37 yard field goal good,2.280,3.000
1,3:14,,,WAS 35,3,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,3:14,1,10,NWE 25,3,0,Mac Jones pass incomplete short right,0.610,0.060
1,3:10,2,10,NWE 25,3,0,Mac Jones pass complete short left to Ezekiel Elliott for 5 yards (tackle by Jamin Davis),0.060,0.040
1,2:34,3,5,NWE 30,3,0,Mac Jones pass incomplete short left intended for Tyquan Thornton,0.040,-1.370
1,2:31,4,5,NWE 30,3,0,"Bryce Baringer punts 56 yards, returned by Jamison Crowder for 6 yards (tackle by Brenden Schooler)",-1.370,-0.280
1,2:21,1,10,WAS 20,3,0,Antonio Gibson left tackle for 3 yards (tackle by Davon Godchaux and Adrian Phillips),0.280,0.140
1,1:40,2,7,WAS 23,3,0,Sam Howell pass incomplete deep right intended for Jahan Dotson (defended by Jonathan Jones),0.140,-0.560
1,1:33,3,7,WAS 23,3,0,Sam Howell pass complete short left to Byron Pringle for 26 yards (tackle by Jonathan Jones),-0.560,2.190
1,0:47,1,10,WAS 49,3,0,Sam Howell pass complete short left to Antonio Gibson for 10 yards (tackle by Kyle Dugger),2.190,2.850
1,0:08,1,10,NWE 41,3,0,Sam Howell pass incomplete deep left intended for Terry McLaurin (defended by Jabrill Peppers),2.850,2.310
1,0:01,2,10,NWE 41,3,0,Sam Howell pass complete short right to Jahan Dotson for 9 yards (tackle by Marte Mapu),2.310,2.810
Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NWE 32,3,0,Antonio Gibson left end for 9 yards (tackle by Myles Bryant and Lawrence Guy),2.810,4.040
2,14:18,1,10,NWE 23,3,0,Sam Howell left guard for 5 yards (tackle by Ja'Whaun Bentley),4.040,4.210
2,13:37,2,5,NWE 18,3,0,Brian Robinson left guard for 6 yards (tackle by Kyle Dugger),4.210,4.780
2,12:51,1,10,NWE 12,3,0,Sam Howell pass complete short right to Jahan Dotson for 3 yards (tackle by Myles Bryant),4.780,4.640
2,12:10,2,7,NWE 9,9,0,"Brian Robinson right end for 9 yards, touchdown",4.640,7.000
2,12:05,,,NWE 15,10,0,Joey Slye kicks extra point good,0.000,0.000
2,12:05,,,WAS 35,10,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
2,12:05,1,10,NWE 25,10,0,Mac Jones pass incomplete deep right intended for Hunter Henry,0.610,0.060
2,12:00,2,10,NWE 25,10,0,Mac Jones pass complete short left to Demario Douglas for 6 yards (tackle by David Mayo),0.060,0.170
2,11:29,3,4,NWE 31,10,0,Mac Jones pass incomplete short middle intended for Tyquan Thornton (defended by Emmanuel Forbes),0.170,-1.310
2,11:24,4,4,NWE 31,10,0,"Bryce Baringer punts 52 yards, returned by Jamison Crowder for -3 yards (tackle by Marte Mapu)",-1.310,0.280
2,11:12,1,10,WAS 14,10,0,Brian Robinson left guard for 2 yards (tackle by Jabrill Peppers),-0.280,-0.510
2,10:33,2,8,WAS 16,10,0,"Brian Robinson left guard for 7 yards. Brian Robinson fumbles (forced by Jahlani Tavai), recovered by Davon Godchaux at WAS-25",-0.510,-3.910
2,10:25,1,10,WAS 25,10,0,Ezekiel Elliott left end for 8 yards (tackle by Kamren Curl),3.910,4.550
2,10:03,2,2,WAS 17,10,0,Ezekiel Elliott right guard for 3 yards (tackle by Daron Payne and Khaleke Hudson),4.550,4.650
2,9:31,1,10,WAS 14,10,6,"Mac Jones pass complete short right to Hunter Henry for 14 yards, touchdown",4.650,7.000
2,9:26,,,WAS 15,10,7,Chad Ryland kicks extra point good,0.000,0.000
2,9:26,,,NWE 35,10,7,"Chad Ryland kicks off 66 yards, returned by Antonio Gibson for 18 yards (tackle by Chris Board)",0.000,-0.060
2,9:22,1,10,WAS 17,10,7,Brian Robinson up the middle for 3 yards (tackle by Ja'Whaun Bentley),-0.060,-0.060
2,8:46,2,7,WAS 20,10,7,Sam Howell pass complete deep left to Jahan Dotson for 24 yards (tackle by Jonathan Jones),-0.060,1.860
2,8:10,1,10,WAS 44,10,7,Sam Howell pass complete short right to Logan Thomas for 3 yards (tackle by Kyle Dugger),1.860,1.720
2,7:34,2,7,WAS 47,10,7,Antonio Gibson left guard for 2 yards (tackle by Jeremiah Pharms and Deatrich Wise),1.720,1.290
2,6:54,3,5,WAS 49,10,7,Sam Howell pass incomplete short right intended for Jamison Crowder,1.290,-0.130
2,6:48,4,5,WAS 49,10,7,"Tress Way punts 35 yards, fair catch by Demario Douglas at NE-16",-0.130,0.140
2,6:41,1,10,NWE 16,10,7,Mac Jones pass complete short left to JuJu Smith-Schuster for 20 yards (tackle by Benjamin St-Juste),-0.140,1.330
2,6:16,1,10,NWE 36,10,13,"Rhamondre Stevenson right guard for 64 yards, touchdown",1.330,7.000
2,6:06,,,WAS 15,10,14,Chad Ryland kicks extra point good,0.000,0.000
2,6:06,,,NWE 40,10,14,"Chad Ryland kicks off 57 yards, returned by Antonio Gibson for 17 yards (tackle by Ty Montgomery)",0.000,0.280
2,6:01,1,10,WAS 20,10,14,Sam Howell pass complete short left to Jamison Crowder for 5 yards (tackle by Jack Jones),0.280,0.410
2,5:25,2,5,WAS 25,10,14,Sam Howell pass complete short left to John Bates for -5 yards (tackle by Lawrence Guy and Davon Godchaux),0.410,-0.960
2,4:41,3,10,WAS 20,10,14,Sam Howell pass complete short right to Byron Pringle for 13 yards (tackle by Ja'Whaun Bentley),-0.960,1.140
2,3:59,1,10,WAS 33,10,14,Antonio Gibson left guard for 4 yards (tackle by Kyle Dugger),1.140,1.130
2,3:20,2,6,WAS 37,10,14,Sam Howell pass complete short left to Antonio Gibson for 6 yards (tackle by Marte Mapu),1.130,1.800
2,2:39,1,10,WAS 43,10,14,Sam Howell pass incomplete deep left intended for Byron Pringle,1.800,1.250
2,2:30,2,10,WAS 43,10,14,Sam Howell pass complete short right to Dyami Brown for 14 yards (tackle by Myles Bryant),1.250,2.720
2,2:00,1,10,NWE 43,10,14,"Sam Howell pass incomplete deep right intended for Jahan Dotson. Penalty on Anfernee Jennings: Defensive Offside, 5 yards (accepted) (no play)",2.720,3.450
2,1:53,1,5,NWE 38,10,14,"Penalty on Charles Leno: False Start, 5 yards (accepted) (no play)",3.450,2.720
2,1:53,1,10,NWE 43,10,14,Sam Howell pass incomplete short left intended for Terry McLaurin (defended by Christian Barmore),2.720,2.180
2,1:52,2,10,NWE 43,10,14,Sam Howell sacked by Deatrich Wise for -13 yards,2.180,-0.230
2,1:46,,,,,,Timeout #1 by New England Patriots,,
2,1:46,3,23,WAS 44,10,14,Sam Howell left end for 24 yards (tackle by Jack Jones),-0.230,3.450
2,1:34,1,10,NWE 32,10,14,Sam Howell pass complete short middle to Logan Thomas for 11 yards (tackle by Jalen Mills and Ja'Whaun Bentley),3.450,4.170
2,1:00,1,10,NWE 21,10,14,Sam Howell pass incomplete deep right intended for Dyami Brown,4.170,3.630
2,0:55,2,10,NWE 21,10,14,Sam Howell pass incomplete deep middle intended for John Bates,3.630,2.940
2,0:50,3,10,NWE 21,10,14,Sam Howell pass complete deep left to Byron Pringle for 16 yards (tackle by J.C. Jackson),2.940,6.060
2,0:23,1,5,NWE 5,10,14,Sam Howell pass short right intended for Jahan Dotson is intercepted by Kyle Dugger in end zone and returned for 20 yards (tackle by Byron Pringle),6.060,0.280
2,0:09,1,10,NWE 14,10,14,Mac Jones kneels for -2 yards,-0.280,-0.930
Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,10,14,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,NWE 25,10,14,Mac Jones pass complete short left to Jalen Reagor for 11 yards (tackle by Khaleke Hudson),0.610,1.330
3,14:29,1,10,NWE 36,10,14,Mac Jones pass complete short middle to Demario Douglas for 9 yards (tackle by Benjamin St-Juste),1.330,2.010
3,14:04,2,1,NWE 45,10,14,Rhamondre Stevenson left guard for 5 yards (tackle by Khaleke Hudson),2.010,2.260
3,13:34,1,10,NWE 50,10,14,Mac Jones scrambles right end for 3 yards (tackle by David Mayo),2.260,2.120
3,12:53,2,7,WAS 47,10,14,Ezekiel Elliott right tackle for 3 yards (tackle by Jamin Davis and Casey Toohill),2.120,1.820
3,12:23,3,4,WAS 44,10,14,Mac Jones pass complete short right to Ezekiel Elliott for 6 yards (tackle by Kamren Curl and Jamin Davis),1.820,3.050
3,11:57,1,10,WAS 38,10,14,Demario Douglas right end for no gain (tackle by Emmanuel Forbes),3.050,2.510
3,11:23,2,10,WAS 38,10,14,Mac Jones pass incomplete short right intended for Jalen Reagor (defended by Andre Jones),2.510,1.820
3,11:18,3,10,WAS 38,10,14,"Mac Jones sacked by K.J. Henry for no gain. Penalty on K.J. Henry: Roughing the Passer, 15 yards (accepted) (no play)",1.820,4.040
3,11:00,1,10,WAS 23,10,14,Rhamondre Stevenson left end for -1 yards (tackle by Percy Butler and David Mayo),4.040,3.360
3,10:30,2,11,WAS 24,10,14,Mac Jones pass incomplete deep left intended for Jalen Reagor (defended by Emmanuel Forbes),3.360,2.680
3,10:21,3,11,WAS 24,10,14,Mac Jones pass incomplete short middle intended for Mike Gesicki (defended by Benjamin St-Juste),2.680,1.870
3,10:17,4,11,WAS 24,10,17,Chad Ryland 43 yard field goal good,1.870,3.000
3,10:14,,,NWE 35,10,17,"Chad Ryland kicks off 65 yards, touchback.",0.000,0.610
3,10:14,1,10,WAS 25,10,17,Sam Howell pass complete short middle to Logan Thomas for 7 yards (tackle by Myles Bryant and Jahlani Tavai),0.610,1.010
3,9:40,2,3,WAS 32,10,17,Sam Howell pass complete short right to Antonio Gibson for 12 yards (tackle by Kyle Dugger),1.010,1.860
3,8:58,1,10,WAS 44,10,17,Brian Robinson up the middle for 7 yards (tackle by Lawrence Guy and Ja'Whaun Bentley),1.860,2.260
3,8:17,2,3,NWE 49,10,17,Antonio Gibson up the middle for 4 yards (tackle by Davon Godchaux),2.260,2.590
3,7:40,1,10,NWE 45,10,17,Antonio Gibson right end for 12 yards (tackle by Jack Jones),2.590,3.380
3,7:04,1,10,NWE 33,10,17,Sam Howell pass incomplete short left intended for Brian Robinson,3.380,2.840
3,6:58,2,10,NWE 33,16,17,"Sam Howell pass complete deep middle to Jahan Dotson for 33 yards, touchdown",2.840,7.000
3,6:51,,,NWE 15,17,17,Joey Slye kicks extra point good,0.000,0.000
3,6:51,,,WAS 35,17,17,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,6:51,1,10,NWE 25,17,17,Ezekiel Elliott right guard for no gain (tackle by Jamin Davis),0.610,0.060
3,6:23,2,10,NWE 25,17,17,Mac Jones pass complete short right to Hunter Henry for 11 yards (tackle by Percy Butler),0.060,1.330
3,5:57,1,10,NWE 36,17,17,Mac Jones pass complete short left to JuJu Smith-Schuster for 1 yard (tackle by Kendall Fuller),1.330,0.930
3,5:32,2,9,NWE 37,17,17,Mac Jones pass incomplete short left intended for Jalen Reagor (defended by Emmanuel Forbes),0.930,0.230
3,5:28,3,9,NWE 37,17,17,Mac Jones pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by Kendall Fuller and Efe Obada),0.230,-0.650
3,4:50,4,5,NWE 41,17,17,"Bryce Baringer punts 49 yards, returned by Jamison Crowder for 14 yards (tackle by Ty Montgomery and Brenden Schooler)",-0.650,-0.540
3,4:39,1,10,WAS 24,17,17,Sam Howell pass incomplete short right intended for Jahan Dotson,0.540,0.000
3,4:35,2,10,WAS 24,17,17,Brian Robinson left end for 2 yards (tackle by Jabrill Peppers),0.000,-0.430
3,3:55,3,8,WAS 26,17,17,Sam Howell pass complete deep left to Terry McLaurin for 26 yards,-0.430,2.390
3,3:26,1,10,NWE 48,17,17,Sam Howell pass complete short middle to Terry McLaurin for 36 yards (tackle by Jonathan Jones),2.390,4.780
3,2:48,1,10,NWE 12,17,17,Brian Robinson up the middle for 1 yard (tackle by Ja'Whaun Bentley and Anfernee Jennings),4.780,4.270
3,2:01,2,9,NWE 11,17,17,Sam Howell pass incomplete short left intended for Logan Thomas,4.270,3.290
3,1:57,3,9,NWE 11,17,17,Sam Howell pass incomplete short left intended for Jamison Crowder,3.290,2.700
3,1:52,4,9,NWE 11,20,17,Joey Slye 30 yard field goal good,2.700,3.000
3,1:49,,,WAS 35,20,17,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,1:49,1,10,NWE 25,20,17,Mac Jones pass complete short right to Rhamondre Stevenson for 8 yards (tackle by Andre Jones),0.610,1.140
3,1:23,2,2,NWE 33,20,17,Rhamondre Stevenson up the middle for 7 yards (tackle by Percy Butler and Jamin Davis),1.140,1.600
3,0:47,1,10,NWE 40,20,17,Mac Jones pass incomplete deep right intended for Jalen Reagor,1.600,1.050
3,0:39,2,10,NWE 40,20,17,Mac Jones pass complete short left to JuJu Smith-Schuster for 7 yards (tackle by Kendall Fuller),1.050,1.290
Quarter,Time,Down,ToGo,Location,WAS,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,NWE 47,20,17,"Mac Jones pass incomplete short left intended for Ezekiel Elliott. Penalty on Hunter Henry: Offensive Pass Interference, 10 yards (declined)",1.290,-0.260
4,14:57,4,3,NWE 47,20,17,"Bryce Baringer punts 53 yards, touchback.",-0.260,-0.280
4,14:48,1,10,WAS 20,20,17,Brian Robinson right guard for 4 yards (tackle by Lawrence Guy and Deatrich Wise),0.280,0.270
4,14:10,2,6,WAS 24,20,17,Sam Howell pass complete short left to Jamison Crowder for 5 yards (tackle by Jahlani Tavai),0.270,0.230
4,13:30,3,1,WAS 29,20,17,Brian Robinson up the middle for 2 yards (tackle by Anfernee Jennings),0.230,1.000
4,12:51,1,10,WAS 31,20,17,Sam Howell pass incomplete short right,1.000,0.460
4,12:43,2,10,WAS 31,20,17,Sam Howell sacked by Ja'Whaun Bentley for -1 yards,0.460,-0.360
4,11:59,,,,,,Timeout #1 by Washington Commanders,,
4,11:59,3,11,WAS 30,20,17,Sam Howell pass complete short right to Logan Thomas for 10 yards (tackle by Ja'Whaun Bentley),-0.360,-0.720
4,11:20,4,1,WAS 40,20,17,"Tress Way punts 53 yards, returned by Demario Douglas for -2 yards (tackle by Chris Rodriguez)",-0.720,0.380
4,11:10,1,10,NWE 5,20,17,Rhamondre Stevenson up the middle for no gain (tackle by John Ridgeway),-0.380,-0.780
4,10:44,2,10,NWE 5,20,17,Mac Jones pass complete short right to Demario Douglas for 11 yards (tackle by Kendall Fuller),-0.780,-0.140
4,10:18,1,10,NWE 16,20,17,Rhamondre Stevenson left guard for 4 yards (tackle by James Smith-Williams and Jamin Davis),-0.140,0.010
4,9:42,2,6,NWE 20,20,17,"Mac Jones pass complete deep right to Demario Douglas for 22 yards (tackle by Benjamin St-Juste) WAS challenged the pass completion ruling, and the original play was overturned. Mac Jones pass incomplete deep right intended for Demario Douglas (defended by Benjamin St-Juste)",0.010,-0.820
4,9:38,3,6,NWE 20,20,17,Mac Jones pass incomplete deep right intended for Rhamondre Stevenson (defended by Jamin Davis),-0.820,-2.030
4,9:33,4,6,NWE 20,20,17,"Bryce Baringer punts 60 yards, returned by Jamison Crowder for 14 yards (tackle by Brenden Schooler)",-2.030,-1.200
4,9:20,1,10,WAS 34,20,17,Sam Howell scrambles up the middle for 1 yard (tackle by Deatrich Wise),1.200,0.790
4,8:39,2,9,WAS 35,20,17,Brian Robinson up the middle for 3 yards (tackle by Deatrich Wise),0.790,0.500
4,7:56,3,6,WAS 38,20,17,Sam Howell sacked by Ja'Whaun Bentley for -3 yards,0.500,-1.040
4,7:21,4,9,WAS 35,20,17,"Tress Way punts 47 yards, returned by Demario Douglas for no gain (tackle by Alex Armah). Penalty on Brenden Schooler: Face Mask (15 Yards), 9 yards (accepted)",-1.040,0.380
4,7:10,1,10,NWE 9,20,17,Mac Jones pass complete short right to Ezekiel Elliott for 4 yards (tackle by Kamren Curl and Daron Payne),-0.380,-0.480
4,6:33,2,6,NWE 13,20,17,Mac Jones pass complete short right to Demario Douglas for 18 yards (tackle by Jamin Davis),-0.480,1.000
4,5:53,1,10,NWE 31,20,17,Ezekiel Elliott up the middle for 3 yards (tackle by John Ridgeway),1.000,0.870
4,5:26,2,7,NWE 34,20,17,Mac Jones pass incomplete short right intended for Ezekiel Elliott,0.870,0.170
4,5:21,3,7,NWE 34,20,17,Mac Jones pass incomplete deep right intended for Jalen Reagor,0.170,-1.110
4,5:14,4,7,NWE 34,20,17,"Bryce Baringer punts 56 yards, returned by Jamison Crowder for no gain (tackle by Pharaoh Brown and Marte Mapu). Penalty on Christian Holmes: Offensive Holding, 5 yards (accepted)",-1.110,0.380
4,5:04,1,10,WAS 5,20,17,Brian Robinson up the middle for no gain (tackle by Davon Godchaux and Deatrich Wise),-0.380,-0.780
