Unnamed: 0,WAS,NWE
First Downs,23,18
Rush-Yds-TDs,29-124-1,19-107-1
Cmp-Att-Yd-TD-INT,29-45-325-1-1,24-44-220-1-1
Sacked-Yards,3-17,0-0
Net Pass Yards,308,220
Total Yards,432,327
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,4-30,4-30
Third Down Conv.,9-17,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,37:10,22:50
