Unnamed: 0,IND,PIT
First Downs,11,24
Rush-Yds-TDs,18-54-0,32-158-0
Cmp-Att-Yd-TD-INT,20-34-220-1-2,24-39-364-4-0
Sacked-Yards,5-34,0-0
Net Pass Yards,186,364
Total Yards,240,522
Fumbles-Lost,1-1,4-2
Turnovers,3,2
Penalties-Yards,5-30,4-48
Third Down Conv.,3-14,8-13
Fourth Down Conv.,1-3,0-0
Time of Possession,27:10,32:50
