Quarter,Time,Tm,Detail,IND,PIT
1.0,10:19,Colts,Adam Vinatieri 35 yard field goal,3,0
,5:27,Steelers,Chris Boswell 29 yard field goal,3,3
,3:15,Steelers,Chris Boswell 51 yard field goal,3,6
2.0,8:26,Colts,Frank Gore 9 yard pass from Matt Hasselbeck (Adam Vinatieri kick),10,6
,4:04,Steelers,Antonio Brown 7 yard pass from Ben Roethlisberger (Will Johnson pass from Ben Roethlisberger),10,14
,0:10,Steelers,Markus Wheaton 5 yard pass from Ben Roethlisberger (Chris Boswell kick),10,21
3.0,12:35,Steelers,Martavis Bryant 68 yard pass from Ben Roethlisberger (Chris Boswell kick),10,28
4.0,14:11,Steelers,Antonio Brown 5 yard pass from Ben Roethlisberger (Chris Boswell kick),10,35
,6:29,Steelers,Chris Boswell 42 yard field goal,10,38
,4:01,Steelers,Antonio Brown 71 yard punt return (Chris Boswell kick),10,45
