Unnamed: 0,KAN,TAM
First Downs,27,27
Rush-Yds-TDs,37-189-2,6-3-1
Cmp-Att-Yd-TD-INT,23-37-249-3-1,39-52-385-3-0
Sacked-Yards,3-21,1-12
Net Pass Yards,228,373
Total Yards,417,376
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,4-32,5-40
Third Down Conv.,12-17,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,38:38,21:22
