Quarter,Time,Tm,Detail,KAN,TAM
1.0,14:14,Chiefs,Travis Kelce 16 yard pass from Patrick Mahomes (Matthew Wright kick),7,0
,10:12,Buccaneers,Ryan Succop 45 yard field goal,7,3
,4:01,Chiefs,Clyde Edwards-Helaire 3 yard rush (Matthew Wright kick),14,3
2.0,11:26,Chiefs,Clyde Edwards-Helaire 2 yard pass from Patrick Mahomes (Matthew Wright kick),21,3
,8:50,Buccaneers,Mike Evans 13 yard pass from Tom Brady (Ryan Succop kick),21,10
,2:11,Chiefs,Noah Gray 1 yard rush (Matthew Wright kick),28,10
,0:10,Buccaneers,Mike Evans 1 yard pass from Tom Brady (Ryan Succop kick),28,17
3.0,11:26,Chiefs,Matthew Wright 44 yard field goal,31,17
,5:42,Chiefs,Jody Fortson 10 yard pass from Patrick Mahomes (Matthew Wright kick),38,17
,0:44,Buccaneers,Rachaad White 1 yard rush (Ryan Succop kick),38,24
4.0,10:47,Chiefs,Matthew Wright 32 yard field goal,41,24
,3:30,Buccaneers,Leonard Fournette 5 yard pass from Tom Brady (Ryan Succop kick),41,31
