Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
1,4:48,1,10,TAM 12,7,3,Patrick Mahomes left end for 9 yards (tackle by Logan Ryan),4.780,5.790
1,4:07,2,1,TAM 3,13,3,"Clyde Edwards-Helaire up the middle for 3 yards, touchdown",5.790,7.000
1,4:01,,,TAM 15,14,3,Matthew Wright kicks extra point good,0.000,0.000
1,4:01,,,KAN 35,14,3,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
1,4:01,1,10,TAM 25,14,3,Leonard Fournette right end for -2 yards (tackle by Nick Bolton),0.610,-0.210
1,3:21,2,12,TAM 23,14,3,Tom Brady pass incomplete short middle intended for Cameron Brate,-0.210,-0.890
1,3:14,3,12,TAM 23,14,3,Tom Brady pass complete short left to Russell Gage for 10 yards (tackle by Rashad Fenton),-0.890,-1.180
1,2:29,4,2,TAM 33,14,3,"Jake Camarda punts 49 yards, fair catch by Skyy Moore at KC-18",-1.180,-0.040
1,2:18,1,10,KAN 18,14,3,Clyde Edwards-Helaire right tackle for 3 yards (tackle by William Gholston) (no play),0.040,-0.450
1,2:03,1,15,KAN 13,14,3,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 13 yards (tackle by Keanu Neal),-0.450,0.680
1,1:27,2,2,KAN 26,14,3,Patrick Mahomes pass complete short left to Travis Kelce for 7 yards (tackle by William Gholston),0.680,1.140
1,0:48,1,10,KAN 33,14,3,Patrick Mahomes pass incomplete short middle intended for Skyy Moore (defended by Lavonte David),1.140,0.590
1,0:43,2,10,KAN 33,14,3,Isiah Pacheco left end for 8 yards (tackle by Lavonte David),0.590,0.960
Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,KAN 41,14,3,Patrick Mahomes scrambles up the middle for 7 yards (tackle by Devin White),0.960,2.130
2,14:25,1,10,KAN 48,14,3,Patrick Mahomes pass complete deep middle to Marquez Valdes-Scantling for 36 yards (tackle by Lavonte David),2.130,4.510
2,13:41,1,10,TAM 16,14,3,Isiah Pacheco left tackle for 8 yards (tackle by Devin White and Mike Edwards),4.510,5.350
2,13:02,2,2,TAM 8,14,3,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling (defended by Jamel Dean),5.350,4.620
2,12:56,3,2,TAM 8,14,3,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Lavonte David),4.620,6.740
2,12:15,1,2,TAM 2,14,3,"Patrick Mahomes pass incomplete short right intended for Jerick McKinnon. Penalty on Jamel Dean: Defensive Holding, 1 yard (accepted) (no play)",6.740,6.970
2,12:15,1,1,TAM 1,14,3,Jerick McKinnon left tackle for -1 yards (tackle by Devin White and Lavonte David),6.970,5.720
2,11:35,2,2,TAM 2,20,3,"Patrick Mahomes pass complete short right to Clyde Edwards-Helaire for 2 yards, touchdown",5.720,7.000
2,11:26,,,TAM 15,21,3,Matthew Wright kicks extra point good,0.000,0.000
2,11:26,,,KAN 35,21,3,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
2,11:26,1,10,TAM 25,21,3,Tom Brady pass complete short right to Rachaad White for 11 yards (tackle by L'Jarius Sneed),0.610,1.330
2,10:52,1,10,TAM 36,21,3,Tom Brady pass complete deep middle to Mike Evans for 30 yards (tackle by Justin Reid),1.330,3.310
2,10:15,1,10,KAN 34,21,3,Tom Brady pass complete short middle to Cameron Brate for 11 yards (tackle by Nick Bolton),3.310,4.040
2,9:36,1,10,KAN 23,21,3,Tom Brady pass incomplete short middle intended for Cameron Brate,4.040,3.500
2,9:31,2,10,KAN 23,21,3,Tom Brady pass complete short right to Rachaad White for 10 yards (tackle by Nick Bolton),3.500,4.710
2,8:55,1,10,KAN 13,21,9,"Tom Brady pass complete short middle to Mike Evans for 13 yards, touchdown",4.710,7.000
2,8:50,,,KAN 15,21,10,Ryan Succop kicks extra point good,0.000,0.000
2,8:50,,,TAM 35,21,10,"Jake Camarda kicks off 65 yards, returned by Isiah Pacheco for 26 yards (tackle by Sean Murphy-Bunting and Anthony Nelson)",0.000,0.670
2,8:44,1,10,KAN 26,21,10,Clyde Edwards-Helaire up the middle for 7 yards (tackle by Keanu Neal and Mike Edwards),0.670,1.070
2,8:13,2,3,KAN 33,21,10,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,1.070,0.370
2,8:04,3,3,KAN 33,21,10,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Shaquil Barrett and Mike Edwards),0.370,1.530
2,6:48,1,10,KAN 39,21,10,"Clyde Edwards-Helaire right end for 3 yards (tackle by Carl Nassib). Penalty on Carl Nassib: Horse Collar Tackle, 15 yards (accepted)",1.530,2.720
2,7:14,1,10,TAM 43,21,10,Isiah Pacheco up the middle for 9 yards (tackle by Carlton Davis and Mike Edwards),2.720,3.390
2,6:35,2,1,TAM 34,21,10,Isiah Pacheco right end for no gain (tackle by Shaquil Barrett),3.390,2.680
2,5:57,3,1,TAM 34,21,10,Jerick McKinnon up the middle for no gain (tackle by Keanu Neal),2.680,1.100
2,5:15,4,1,TAM 34,21,10,Patrick Mahomes pass incomplete short right intended for Clyde Edwards-Helaire,1.100,-1.200
2,5:09,1,10,TAM 34,21,10,"Tom Brady sacked by L'Jarius Sneed for -12 yards. Tom Brady fumbles (forced by L'Jarius Sneed), recovered by Chris Jones at TB-22 and returned for 2 yards (tackle by Luke Goedeke)",1.200,-4.240
2,5:02,1,10,TAM 20,21,10,Clyde Edwards-Helaire left tackle for 3 yards (tackle by Mike Edwards and Shaquil Barrett),4.240,4.120
2,4:26,2,7,TAM 17,21,10,Patrick Mahomes pass incomplete short right,4.120,3.360
2,4:21,3,7,TAM 17,21,10,Patrick Mahomes scrambles left end for 7 yards (tackle by Devin White),3.360,4.910
2,3:46,1,10,TAM 10,21,10,Isiah Pacheco up the middle for 8 yards (tackle by Antoine Winfield),4.910,5.720
2,2:58,,,,,,Timeout #2 by Kansas City Chiefs,,
2,2:58,2,2,TAM 2,21,10,Patrick Mahomes pass complete short middle to Jerick McKinnon for 1 yard (tackle by Lavonte David and Mike Edwards),5.720,5.170
2,2:15,3,1,TAM 1,27,10,"Noah Gray up the middle for 1 yard, touchdown",5.170,7.000
2,2:11,,,TAM 15,28,10,Matthew Wright kicks extra point good,0.000,0.000
2,2:11,,,KAN 35,28,10,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
2,2:11,1,10,TAM 25,28,10,Tom Brady pass complete to Chris Godwin for 8 yards (tackle by Bryan Cook and Nick Bolton),0.610,1.140
2,2:00,2,2,TAM 33,28,10,Tom Brady pass incomplete short middle intended for Chris Godwin,1.140,0.430
2,1:57,3,2,TAM 33,28,10,Tom Brady pass complete short left to Cameron Brate for 2 yards (tackle by Juan Thornhill),0.430,1.270
2,1:29,1,10,TAM 35,28,10,Tom Brady pass incomplete deep middle intended for Chris Godwin,1.270,0.720
2,1:28,2,10,TAM 35,28,10,Tom Brady pass complete short right to Cameron Brate for 9 yards (tackle by Justin Reid),0.720,1.220
2,1:13,3,1,TAM 44,28,10,Leonard Fournette right end for no gain (tackle by George Karlaftis) (no play),1.220,0.700
2,1:10,3,5,TAM 40,28,10,Tom Brady pass complete short left to Julio Jones for 7 yards (tackle by George Karlaftis),0.700,2.060
2,0:53,1,10,TAM 47,28,10,Tom Brady pass complete short middle to Chris Godwin for 12 yards (tackle by Nick Bolton),2.060,2.850
2,0:46,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:46,1,10,KAN 41,28,10,Tom Brady pass incomplete short right intended for Cameron Brate,2.850,2.310
2,0:42,2,10,KAN 41,28,10,Tom Brady pass complete short middle to Leonard Fournette for 9 yards (tackle by Bryan Cook and Frank Clark),2.310,2.810
2,0:28,,,,,,Timeout #3 by Kansas City Chiefs,,
2,0:28,3,1,KAN 32,28,10,Tom Brady pass complete short left to Mike Evans for 16 yards (tackle by Rashad Fenton),2.810,4.510
2,0:21,1,10,KAN 16,28,10,"Tom Brady pass incomplete deep middle intended for Cameron Brate. Penalty on Juan Thornhill: Defensive Pass Interference, 15 yards (accepted) (no play)",4.510,6.970
2,0:18,1,1,KAN 1,28,10,Tom Brady pass incomplete short middle intended for Cameron Brate (defended by Bryan Cook),6.970,5.910
2,0:15,2,1,KAN 1,28,16,"Tom Brady pass complete short right to Mike Evans for 1 yard, touchdown",5.910,7.000
2,0:10,,,KAN 15,28,17,Ryan Succop kicks extra point good,0.000,0.000
2,0:10,,,TAM 35,28,17,"Jake Camarda kicks off 65 yards, returned by Isiah Pacheco for 42 yards (tackle by Jake Camarda)",0.000,1.730
2,0:04,1,10,KAN 42,28,17,Patrick Mahomes sacked by Carl Nassib for -11 yards,1.730,-0.300
Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,28,17,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,28,17,Patrick Mahomes pass complete short middle to Skyy Moore for 15 yards (tackle by Mike Edwards),0.610,1.600
3,14:29,1,10,KAN 40,28,17,Clyde Edwards-Helaire up the middle for 8 yards (tackle by Keanu Neal),1.600,2.130
3,13:53,2,2,KAN 48,28,17,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Vita Vea),2.130,2.320
3,13:14,1,10,TAM 49,28,17,Patrick Mahomes pass incomplete short left,2.320,1.780
3,13:08,2,10,TAM 49,28,17,Patrick Mahomes pass incomplete short left intended for JuJu Smith-Schuster,1.780,1.090
3,13:05,3,10,TAM 49,28,17,Patrick Mahomes pass complete short left to JuJu Smith-Schuster for 19 yards (tackle by Antoine Winfield),1.090,3.580
3,12:26,1,10,TAM 30,28,17,Patrick Mahomes pass incomplete short middle intended for Noah Gray,3.580,3.030
3,12:20,2,10,TAM 30,28,17,Isiah Pacheco up the middle for 4 yards (tackle by Keanu Neal),3.030,2.870
3,11:39,3,6,TAM 26,28,17,Patrick Mahomes pass incomplete deep right intended for Skyy Moore,2.870,1.760
3,11:31,4,6,TAM 26,31,17,Matthew Wright 44 yard field goal good,1.760,3.000
3,11:26,,,KAN 35,31,17,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
3,11:26,1,10,TAM 25,31,17,Tom Brady pass incomplete deep middle intended for Julio Jones,0.610,0.060
3,11:19,2,10,TAM 25,31,17,Tom Brady pass complete short right to Chris Godwin for 10 yards (tackle by Nick Bolton),0.060,1.270
3,10:53,1,10,TAM 35,31,17,Tom Brady pass incomplete short middle intended for Cade Otton,1.270,0.720
3,10:48,2,10,TAM 35,31,17,Tom Brady pass incomplete short right intended for Russell Gage (defended by Jaylen Watson),0.720,0.040
3,10:43,3,10,TAM 35,31,17,Tom Brady pass incomplete short left intended for Chris Godwin (defended by Juan Thornhill),0.040,-1.040
3,10:38,4,10,TAM 35,31,17,Jake Camarda punts 30 yards out of bounds,-1.040,-1.270
3,10:31,1,10,KAN 35,31,17,Clyde Edwards-Helaire left tackle for 2 yards (tackle by Anthony Nelson and Vita Vea),1.270,0.990
3,9:56,2,8,KAN 37,31,17,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 9 yards (tackle by Lavonte David),0.990,1.990
3,9:24,1,10,KAN 46,31,17,Isiah Pacheco left end for 3 yards (tackle by Antoine Winfield and Mike Edwards),1.990,1.860
3,8:41,2,7,KAN 49,31,17,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 25 yards (tackle by Mike Edwards),1.860,3.840
3,7:56,1,10,TAM 26,31,17,Patrick Mahomes pass incomplete deep left intended for Justin Watson,3.840,3.300
3,7:50,2,10,TAM 26,31,17,Clyde Edwards-Helaire right guard for 5 yards (tackle by Devin White),3.300,3.270
3,7:10,3,5,TAM 21,31,17,Patrick Mahomes pass complete short right to Skyy Moore for 16 yards (tackle by Carlton Davis),3.270,6.060
3,6:29,1,5,TAM 5,31,17,Patrick Mahomes sacked by Anthony Nelson for -5 yards,6.060,4.190
3,5:46,2,10,TAM 10,37,17,"Patrick Mahomes pass complete short right to Jody Fortson for 10 yards, touchdown",4.190,7.000
3,5:42,,,TAM 15,38,17,Matthew Wright kicks extra point good,0.000,0.000
3,5:42,,,KAN 35,38,17,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
3,5:42,1,10,TAM 25,38,17,Tom Brady pass complete short right to Mike Evans for 7 yards (tackle by L'Jarius Sneed),0.610,1.010
3,5:15,2,3,TAM 32,38,17,Rachaad White right guard for 4 yards (tackle by Chris Jones),1.010,1.330
3,4:39,1,10,TAM 36,38,17,"Tom Brady pass complete short right to Mike Evans for 15 yards (tackle by Jaylen Watson). Penalty on Jaylen Watson: Defensive Pass Interference, 15 yards (declined)",1.330,2.320
3,4:17,1,10,KAN 49,38,17,Tom Brady pass complete short right to Cade Otton for 6 yards (tackle by Jaylen Watson),2.320,2.590
3,3:44,2,4,KAN 43,38,17,Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Rashad Fenton),2.590,2.150
3,3:12,3,2,KAN 41,38,17,Tom Brady pass complete short right to Rachaad White for 9 yards (tackle by Juan Thornhill and L'Jarius Sneed),2.150,3.450
3,2:34,1,10,KAN 32,38,17,Tom Brady pass complete short middle to Rachaad White for 9 yards (tackle by L'Jarius Sneed and Bryan Cook),3.450,4.120
3,1:54,2,1,KAN 23,38,17,Tom Brady pass complete deep right to Ko Kieft for 19 yards (tackle by Jaylen Watson),4.120,6.280
3,1:15,1,4,KAN 4,38,17,"Tom Brady pass incomplete short middle intended for Mike Evans. Penalty on Juan Thornhill: Personal Foul / Defense, 2 yards (accepted) (no play)",6.280,6.740
3,1:08,1,2,KAN 2,38,17,Rachaad White up the middle for 1 yard (tackle by Derrick Nnadi),6.740,5.910
3,0:58,2,1,KAN 1,38,17,Tom Brady pass incomplete short left intended for Mike Evans,5.910,5.170
3,0:47,3,1,KAN 1,38,23,"Rachaad White right tackle for 1 yard, touchdown",5.170,7.000
3,0:44,,,KAN 15,38,24,Ryan Succop kicks extra point good,0.000,0.000
3,0:44,,,TAM 35,38,24,"Jake Camarda kicks off 60 yards, out of bounds",0.000,1.600
3,0:44,1,10,KAN 40,38,24,Clyde Edwards-Helaire up the middle for 5 yards (tackle by Joe Tryon-Shoyinka and Vita Vea),1.600,1.730
Quarter,Time,Down,ToGo,Location,KAN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,5,KAN 45,38,24,Patrick Mahomes pass complete short middle to Travis Kelce for 5 yards (tackle by Mike Edwards),1.730,2.260
4,14:28,1,10,TAM 50,38,24,Patrick Mahomes sacked by Mike Edwards for -5 yards,2.260,1.040
4,13:43,2,15,KAN 45,38,24,Patrick Mahomes scrambles right end for 11 yards (tackle by Joe Tryon-Shoyinka),1.040,1.820
4,13:03,3,4,TAM 44,38,24,Patrick Mahomes pass complete deep middle to Travis Kelce for 22 yards (tackle by Devin White),1.820,4.110
4,12:23,1,10,TAM 22,38,24,Isiah Pacheco right guard for 6 yards (tackle by Devin White),4.110,4.460
4,11:43,2,4,TAM 16,38,24,Isiah Pacheco up the middle for 2 yards (tackle by Deadrin Senat and Carl Nassib),4.460,4.150
4,10:56,,,,,,Timeout #1 by Kansas City Chiefs,,
4,10:56,3,2,TAM 14,38,24,Patrick Mahomes pass incomplete short middle intended for Marquez Valdes-Scantling,4.150,2.630
4,10:51,4,2,TAM 14,41,24,Matthew Wright 32 yard field goal good,2.630,3.000
4,10:47,,,KAN 35,41,24,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
4,10:47,1,10,TAM 25,41,24,Tom Brady pass complete short right to Chris Godwin for 6 yards (tackle by L'Jarius Sneed and Khalen Saunders),0.610,0.870
4,10:21,2,4,TAM 31,41,24,"Tom Brady pass complete short right to Cade Otton for 12 yards (tackle by Jaylen Watson). Penalty on Frank Clark: Defensive Offside, 5 yards (declined)",0.870,1.800
4,10:01,1,10,TAM 43,41,24,Tom Brady pass complete short right to Leonard Fournette for 1 yard (tackle by Justin Reid and Nick Bolton),1.800,1.390
4,9:39,2,9,TAM 44,41,24,Tom Brady pass complete short left to Leonard Fournette for 3 yards (tackle by L'Jarius Sneed),1.390,1.090
4,9:13,3,6,TAM 47,41,24,"Tom Brady pass complete to Russell Gage for no gain. Penalty on Chris Godwin: Offensive Pass Interference, 10 yards (accepted) (no play)",1.090,-0.230
4,9:09,3,16,TAM 37,41,24,"Tom Brady pass complete to Chris Godwin for no gain. Penalty on Luke Goedeke: Offensive Holding, 10 yards (accepted) (no play)",-0.230,-1.550
4,8:55,3,26,TAM 27,41,24,Tom Brady pass complete short right to Cole Beasley for 5 yards (tackle by Tershawn Wharton),-1.550,-1.240
4,7:58,4,21,TAM 32,41,24,"Jake Camarda punts 46 yards, returned by Skyy Moore for 12 yards (tackle by Sean Murphy-Bunting and Zach Triner)",-1.240,-1.200
4,7:48,1,10,KAN 34,41,24,Clyde Edwards-Helaire right end for 8 yards (tackle by Keanu Neal),1.200,1.740
4,7:06,2,2,KAN 42,41,24,Clyde Edwards-Helaire left tackle for 3 yards (tackle by Jamel Dean),1.740,1.930
4,6:24,1,10,KAN 45,41,24,Clyde Edwards-Helaire right guard for 3 yards (tackle by Antoine Winfield and Carl Nassib),1.930,1.790
4,5:39,2,7,KAN 48,41,24,Patrick Mahomes pass complete short right to Marquez Valdes-Scantling for 2 yards (tackle by Lavonte David),1.790,1.360
4,4:59,3,5,TAM 50,41,24,Patrick Mahomes pass deep right intended for JuJu Smith-Schuster is intercepted by Sean Murphy-Bunting at TB-33 and returned for 33 yards (tackle by Patrick Mahomes),1.360,-3.310
4,4:42,1,10,KAN 34,41,24,Tom Brady pass complete short left to Leonard Fournette for 13 yards (tackle by Bryan Cook),3.310,4.170
4,4:18,1,10,KAN 21,41,24,Tom Brady pass incomplete short right intended for Russell Gage,4.170,3.630
4,4:12,2,10,KAN 21,41,24,Tom Brady pass complete short middle to Mike Evans for 9 yards (tackle by Bryan Cook),3.630,4.490
4,3:54,3,1,KAN 12,41,24,Tom Brady pass complete to Chris Godwin for 7 yards (tackle by Nick Bolton),4.490,6.060
4,3:35,1,5,KAN 5,41,30,"Tom Brady pass complete short left to Leonard Fournette for 5 yards, touchdown",6.060,7.000
4,3:30,,,KAN 15,41,31,Ryan Succop kicks extra point good,0.000,0.000
4,3:30,,,TAM 35,41,31,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
4,3:30,1,10,KAN 25,41,31,Clyde Edwards-Helaire left tackle for 8 yards (tackle by Devin White),0.610,1.140
4,2:50,2,2,KAN 33,41,31,Clyde Edwards-Helaire up the middle for 1 yard (tackle by Lavonte David and William Gholston),1.140,0.560
4,2:41,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,2:41,3,1,KAN 34,41,31,Clyde Edwards-Helaire up the middle for 2 yards (tackle by William Gholston),0.560,1.330
4,2:00,1,10,KAN 36,41,31,Clyde Edwards-Helaire right end for 5 yards (tackle by Vita Vea and Sean Murphy-Bunting),1.330,1.470
4,1:53,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:53,2,5,KAN 41,41,31,Clyde Edwards-Helaire right end for -2 yards (tackle by Rakeem Nunez-Roches),1.470,0.500
4,1:20,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
4,1:20,3,7,KAN 39,41,31,"Clyde Edwards-Helaire left end for 9 yards (tackle by Antoine Winfield). Penalty on Jody Fortson: Offensive Holding, 10 yards (accepted) (no play)",0.500,-0.820
4,1:41,3,17,KAN 29,41,31,Isiah Pacheco right end for 7 yards (tackle by Devin White and Mike Edwards),-0.820,-0.980
4,0:52,,,,,,Timeout #2 by Kansas City Chiefs,,
4,0:52,4,10,KAN 36,41,31,"Tommy Townsend punts 43 yards, fair catch by Jaelon Darden at TB-21",-0.980,-0.340
4,0:45,1,10,TAM 21,41,31,Tom Brady pass complete short middle to Cade Otton for 11 yards (tackle by Justin Reid and Nick Bolton),0.340,1.070
4,0:29,1,10,TAM 32,41,31,Tom Brady pass incomplete deep left intended for Mike Evans (defended by Rashad Fenton),1.070,0.530
4,0:21,2,10,TAM 32,41,31,"Tom Brady pass complete short left to Mike Evans for 12 yards, lateral to Rachaad White for no gain (tackle by Rashad Fenton)",0.530,2.520
4,0:12,1,10,KAN 46,41,31,Tom Brady pass complete short left to Rachaad White for 1 yard (tackle by Justin Reid),2.520,2.110
4,0:07,2,9,KAN 45,41,31,"Tom Brady pass complete short right to Russell Gage for 14 yards, lateral to Chris Godwin for no gain (tackle by Jaylen Watson)",2.110,1.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
