Unnamed: 0,DEN,LAC
First Downs,23,16
Rush-Yds-TDs,28-133-1,20-89-0
Cmp-Att-Yd-TD-INT,24-47-264-0-2,21-33-253-1-0
Sacked-Yards,2-1,2-26
Net Pass Yards,263,227
Total Yards,396,316
Fumbles-Lost,0-0,1-0
Turnovers,2,0
Penalties-Yards,6-44,6-45
Third Down Conv.,7-17,3-12
Fourth Down Conv.,2-2,1-1
Time of Possession,33:09,26:51
