Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 57 yards, returned by Nasir Adderley for 53 yards (tackle by Trey Marshall)",0.000,2.980
1,14:51,1,10,DEN 39,0,0,Justin Herbert pass complete short left to Stephen Anderson for 14 yards (tackle by Michael Ojemudia),2.980,3.910
1,14:09,1,10,DEN 25,0,0,Austin Ekeler right tackle for 3 yards (tackle by Josey Jewell and Alexander Johnson),3.910,3.770
1,13:32,2,7,DEN 22,0,0,Justin Herbert pass complete short right to Kalen Ballage for 3 yards (tackle by Will Parks),3.770,3.490
1,13:00,,,,,,Timeout #1 by Denver Broncos,,
1,13:00,3,4,DEN 19,0,0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Josey Jewell),3.490,2.260
1,12:57,4,4,DEN 19,0,3,Michael Badgley 37 yard field goal good,2.260,3.000
1,12:53,,,LAC 35,0,3,"Ty Long kicks off 62 yards, returned by Diontae Spencer for 20 yards (tackle by Tevaughn Campbell). Penalty on LeVante Bellamy: Offensive Holding, 10 yards",0.000,-0.320
1,12:47,1,10,DEN 13,0,3,Drew Lock pass complete short left to Jerry Jeudy for 6 yards (tackle by Michael Davis),-0.320,0.030
1,12:14,2,4,DEN 19,0,3,Melvin Gordon right tackle for 8 yards (tackle by Nick Vigil and Kenneth Murray),0.030,0.740
1,11:32,1,10,DEN 27,0,3,Melvin Gordon left tackle for 6 yards (tackle by Kenneth Murray),0.740,1.010
1,10:53,2,4,DEN 33,0,3,Drew Lock pass complete short left to Tim Patrick for 5 yards (tackle by Michael Davis),1.010,1.470
1,10:11,1,10,DEN 38,0,3,LeVante Bellamy left tackle for 8 yards (tackle by Denzel Perryman),1.470,2.000
1,9:30,2,2,DEN 46,0,3,LeVante Bellamy left guard for no gain (tackle by Denzel Perryman),2.000,1.290
1,8:51,3,2,DEN 46,0,3,Drew Lock pass complete short left to Tim Patrick for 7 yards (tackle by Jahleel Addae and Michael Davis),1.290,2.460
1,8:10,1,10,LAC 47,0,3,Drew Lock up the middle for 6 yards (tackle by Denzel Perryman),2.460,2.720
1,7:28,2,4,LAC 41,0,3,KJ Hamler right end for 3 yards (tackle by Joe Gaziano and Kenneth Murray),2.720,2.410
1,7:10,3,1,LAC 38,0,3,Drew Lock up the middle for 1 yard (tackle by Linval Joseph),2.410,3.120
1,6:31,1,10,LAC 37,0,3,Melvin Gordon up the middle for 17 yards (tackle by Nasir Adderley and Linval Joseph),3.120,4.240
1,6:04,1,10,LAC 20,0,3,Melvin Gordon right end for 4 yards (tackle by Linval Joseph and Denzel Perryman),4.240,4.280
1,5:25,2,6,LAC 16,0,3,Drew Lock pass incomplete deep right intended for Noah Fant,4.280,3.520
1,5:20,3,6,LAC 16,0,3,Drew Lock pass deep left intended for DaeSean Hamilton is intercepted by Casey Hayward at LAC-0 and returned for 9 yards,3.520,0.380
1,5:08,1,10,LAC 6,0,3,Justin Herbert pass complete short right to Austin Ekeler for 3 yards (tackle by Malik Reed),-0.380,-0.560
1,4:31,2,7,LAC 9,0,3,Kalen Ballage right guard for 2 yards (tackle by Shelby Harris and DeMarcus Walker),-0.560,-0.840
1,3:51,3,5,LAC 11,0,3,"Justin Herbert pass incomplete short middle intended for Jalen Guyton. Penalty on De'Vante Bausby: Illegal Contact, 5 yards (no play)",-0.840,-0.140
1,3:46,1,10,LAC 16,0,3,Justin Herbert left end for 4 yards (tackle by Michael Ojemudia),-0.140,0.010
1,3:04,2,6,LAC 20,0,3,Justin Herbert pass incomplete short left intended for Stephen Anderson (defended by Shelby Harris),0.010,-0.820
1,2:59,3,6,LAC 20,0,3,Justin Herbert pass incomplete short right intended for Jalen Guyton,-0.820,-2.030
1,2:55,4,6,LAC 20,0,3,"Ty Long punts 50 yards, returned by Diontae Spencer for 15 yards (tackle by Malik Jefferson)",-2.030,-1.930
1,2:44,1,10,DEN 45,0,3,Melvin Gordon up the middle for 5 yards (tackle by Linval Joseph and Isaac Rochell),1.930,2.060
1,2:06,2,5,DEN 50,0,3,Melvin Gordon right tackle for 2 yards (tackle by Isaac Rochell and Nick Vigil),2.060,1.620
1,1:23,3,3,LAC 48,0,3,Drew Lock pass complete short right to Noah Fant for 5 yards (tackle by Denzel Perryman and Michael Davis),1.620,2.720
1,0:45,1,10,LAC 43,0,3,Drew Lock pass incomplete deep right intended for Noah Fant,2.720,2.180
1,0:40,2,10,LAC 43,0,3,Drew Lock right end for 1 yard (tackle by Chris Harris),2.180,1.620
Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,LAC 42,0,3,Drew Lock pass complete short middle to Jerry Jeudy for 17 yards (tackle by Jahleel Addae and Michael Davis),1.620,3.910
2,14:19,1,10,LAC 25,0,3,Drew Lock pass incomplete short right,3.910,3.360
2,14:14,2,10,LAC 25,0,3,Melvin Gordon right tackle for 1 yard (tackle by Damion Square and Chris Harris),3.360,2.810
2,13:34,3,9,LAC 24,0,3,Drew Lock pass incomplete short right intended for Jerry Jeudy (defended by Michael Davis),2.810,1.870
2,13:29,4,9,LAC 24,0,3,"Penalty on Justin Jones: Defensive Offside, 5 yards (no play)",1.870,2.260
2,13:25,4,4,LAC 19,0,3,Brandon McManus 37 yard field goal no good,2.260,-0.740
2,13:21,1,10,LAC 27,0,3,Kalen Ballage right tackle for 5 yards (tackle by Alexander Johnson),0.740,0.870
2,12:43,2,5,LAC 32,0,3,Kalen Ballage right end for 3 yards (tackle by Alexander Johnson and Malik Reed),0.870,0.560
2,12:02,3,2,LAC 35,0,3,Justin Herbert pass complete short right to Mike Williams for 25 yards (tackle by Michael Ojemudia),0.560,2.920
2,11:25,1,10,DEN 40,0,3,Justin Herbert pass complete short middle to Mike Williams for 10 yards (tackle by Will Parks),2.920,3.580
2,10:40,1,10,DEN 30,0,3,Kalen Ballage up the middle for 4 yards (tackle by Anthony Chickillo and Alexander Johnson),3.580,3.570
2,10:00,2,6,DEN 26,0,3,Justin Herbert pass complete short left to Tyron Johnson for 10 yards (tackle by Will Parks),3.570,4.510
2,9:20,1,10,DEN 16,0,3,Justin Herbert pass incomplete short right intended for Jalen Guyton,4.510,3.900
2,9:15,2,10,DEN 16,0,3,Justin Herbert left end for 7 yards (tackle by Kareem Jackson),3.900,4.390
2,8:28,3,3,DEN 9,0,9,"Justin Herbert pass complete short left to Austin Ekeler for 9 yards, touchdown",4.390,7.000
2,8:23,,,DEN 15,0,10,Michael Badgley kicks extra point good,0.000,0.000
2,8:23,,,LAC 35,0,10,"Ty Long kicks off 66 yards, returned by Diontae Spencer for 20 yards (tackle by B.J. Bello and Jahleel Addae)",0.000,0.150
2,8:18,1,10,DEN 19,0,10,Drew Lock pass complete short left to Jerry Jeudy for 2 yards (tackle by Casey Hayward),0.150,-0.060
2,7:39,2,8,DEN 21,0,10,"Drew Lock pass complete short left to LeVante Bellamy for 5 yards (tackle by Linval Joseph). Penalty on Lloyd Cushenberry: Illegal Block Above the Waist, 10 yards",-0.060,-0.870
2,7:23,2,13,DEN 16,0,10,Drew Lock pass incomplete short right intended for Jerry Jeudy,-0.870,-1.590
2,7:19,3,13,DEN 16,0,10,Drew Lock pass complete short right to Jerry Jeudy for 10 yards (tackle by Justin Jones),-1.590,-1.630
2,6:32,4,3,DEN 26,0,10,"Sam Martin punts 44 yards out of bounds. Penalty on Alijah Holder: Player Out of Bounds on Kick, 5 yards",-1.630,-1.270
2,6:26,1,10,LAC 35,0,10,Justin Herbert up the middle for 5 yards (tackle by Kareem Jackson),1.270,1.400
2,5:56,2,5,LAC 40,0,10,Justin Herbert pass complete short left to Stephen Anderson for 5 yards (tackle by Michael Ojemudia),1.400,1.930
2,5:20,1,10,LAC 45,0,10,Justin Herbert pass complete short right to Tyron Johnson for 2 yards (tackle by De'Vante Bausby),1.930,1.650
2,4:43,2,8,LAC 47,0,10,Justin Herbert pass incomplete short left intended for Stephen Anderson,1.650,0.960
2,4:37,3,8,LAC 47,0,10,Justin Herbert pass complete deep left to Jalen Guyton for 29 yards (tackle by Will Parks),0.960,3.970
2,4:23,1,10,DEN 24,0,10,"Austin Ekeler right end for 2 yards (tackle by DeShawn Williams and Derrek Tuszka). Penalty on Trai Turner: Face Mask (15 Yards), 15 yards (no play)",3.970,2.980
2,4:05,1,25,DEN 39,0,10,Justin Herbert pass complete short right to Tyron Johnson for 14 yards (tackle by De'Vante Bausby),2.980,3.300
2,3:23,2,11,DEN 25,0,10,Justin Jackson right end for no gain (tackle by Alexander Johnson),3.300,2.610
2,2:47,3,11,DEN 25,0,10,Justin Herbert pass incomplete deep right intended for Mike Williams,2.610,1.800
2,2:43,4,11,DEN 25,0,13,Michael Badgley 43 yard field goal good,1.800,3.000
2,2:38,,,LAC 35,0,13,"Ty Long kicks off 68 yards, returned by Diontae Spencer for 28 yards (tackle by B.J. Bello)",0.000,0.610
2,2:33,1,10,DEN 25,0,13,Drew Lock pass complete short middle to Noah Fant for 10 yards (tackle by Michael Davis),0.610,1.270
2,2:10,1,10,DEN 35,0,13,Melvin Gordon right end for 12 yards (tackle by Cortez Broughton and Jessie Lemonier),1.270,2.060
2,2:00,1,10,DEN 47,0,13,Drew Lock pass incomplete short left intended for Jerry Jeudy,2.060,1.520
2,1:56,2,10,DEN 47,0,13,Drew Lock pass incomplete short left intended for Jerry Jeudy,1.520,0.830
2,1:52,3,10,DEN 47,0,13,Drew Lock pass incomplete deep left intended for DaeSean Hamilton,0.830,-0.260
2,1:48,4,10,DEN 47,0,13,"Sam Martin punts 38 yards, fair catch by K.J. Hill at LAC-15",-0.260,0.220
2,1:41,1,10,LAC 15,0,13,Austin Ekeler up the middle for -1 yards (tackle by Josey Jewell),-0.220,-0.820
2,1:17,2,11,LAC 14,0,13,Justin Herbert pass complete short left to Mike Williams for 12 yards (tackle by Michael Ojemudia),-0.820,0.670
2,0:55,1,10,LAC 26,0,13,Justin Herbert pass complete short right to Donald Parham for 21 yards (tackle by Justin Simmons),0.670,2.060
2,0:46,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:46,1,10,LAC 47,0,13,"Justin Herbert sacked by Malik Reed for -20 yards. Justin Herbert fumbles (forced by Malik Reed), recovered by Donald Parham at LAC-27",2.060,-1.180
Quarter,Time,Down,ToGo,Location,DEN,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,0,13,"Ty Long kicks off 56 yards, returned by Diontae Spencer for 19 yards (tackle by Brandon Facyson)",0.000,0.810
3,14:54,1,10,DEN 28,0,13,Drew Lock pass incomplete short left intended for Jerry Jeudy,0.810,0.260
3,14:51,2,10,DEN 28,0,13,Drew Lock pass incomplete short left intended for Tim Patrick,0.260,-0.430
3,14:47,3,10,DEN 28,0,13,Drew Lock pass complete short middle to Jerry Jeudy for 16 yards (tackle by Kenneth Murray),-0.430,1.860
3,14:12,1,10,DEN 44,0,13,Melvin Gordon left tackle for 3 yards (tackle by Isaac Rochell),1.860,1.720
3,13:33,2,7,DEN 47,0,13,Drew Lock pass complete short right to Diontae Spencer for 10 yards (tackle by Nasir Adderley),1.720,2.720
3,13:01,1,10,LAC 43,0,13,Melvin Gordon right end for -1 yards (tackle by Denzel Perryman),2.720,2.040
3,12:19,2,11,LAC 44,0,13,"Drew Lock pass incomplete short left. Penalty on Drew Lock: Intentional Grounding, 9 yards",2.040,0.170
3,12:15,3,20,DEN 47,0,13,Drew Lock pass complete short right to Noah Fant for 11 yards (tackle by Chris Harris),0.170,0.460
3,11:31,4,9,LAC 42,0,13,"Sam Martin punts 42 yards, touchback.",0.460,-0.280
3,11:21,1,10,LAC 20,0,13,Austin Ekeler right end for 3 yards (tackle by Shelby Harris and Jeremiah Attaochu),0.280,0.140
3,10:43,2,7,LAC 23,0,13,Austin Ekeler up the middle for -2 yards (tackle by Josey Jewell),0.140,-0.820
3,10:02,3,9,LAC 21,0,13,"Penalty on Tyron Johnson: False Start, 5 yards (no play)",-0.820,-1.690
3,9:48,3,14,LAC 16,0,13,Justin Herbert pass complete short left to Stephen Anderson for 6 yards (tackle by Will Parks),-1.690,-1.900
3,9:00,4,8,LAC 22,0,13,"Ty Long punts 52 yards, returned by Diontae Spencer for 21 yards (tackle by Gabe Nabers and Nick Vigil)",-1.900,-2.060
3,8:49,1,10,DEN 47,0,13,Melvin Gordon left end for 1 yard (tackle by Denzel Perryman),2.060,1.650
3,8:14,2,9,DEN 48,0,13,Drew Lock pass complete deep left to DaeSean Hamilton for 18 yards (tackle by Nasir Adderley),1.650,3.310
3,7:33,1,10,LAC 34,0,13,Drew Lock pass complete short right to DaeSean Hamilton for 7 yards (tackle by Tevaughn Campbell),3.310,3.720
3,7:06,2,3,LAC 27,0,13,Royce Freeman right end for 10 yards (tackle by Isaac Rochell),3.720,4.440
3,6:37,1,10,LAC 17,0,13,Melvin Gordon right guard for 5 yards (tackle by Michael Davis and Jahleel Addae),4.440,4.690
3,5:55,2,5,LAC 12,0,13,Drew Lock sacked by Nick Vigil for no gain,4.690,3.880
3,5:17,3,5,LAC 12,0,13,Drew Lock pass incomplete short right intended for Jerry Jeudy,3.880,2.680
3,5:11,4,5,LAC 12,3,13,Brandon McManus 30 yard field goal good,2.680,3.000
3,5:07,,,DEN 35,3,13,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,5:07,1,10,LAC 25,3,13,Justin Herbert pass complete short right to Mike Williams for 7 yards (tackle by De'Vante Bausby),0.610,1.010
3,4:32,2,3,LAC 32,3,13,Justin Herbert pass complete deep left to Donald Parham for 26 yards (tackle by Michael Ojemudia),1.010,2.790
3,3:53,1,10,DEN 42,3,13,Austin Ekeler left tackle for no gain (tackle by Josey Jewell and Dre'Mont Jones),2.790,2.240
3,3:12,2,10,DEN 42,3,13,Justin Herbert pass complete short right to Jalen Guyton for -9 yards (tackle by Justin Simmons),2.240,0.370
3,2:29,3,19,LAC 49,3,13,Justin Herbert pass complete short middle to Austin Ekeler for 11 yards (tackle by Will Parks),0.370,0.590
3,1:41,4,8,DEN 40,3,13,Justin Herbert left end for 10 yards (tackle by Michael Ojemudia),0.590,3.580
3,1:02,1,10,DEN 30,3,13,Justin Herbert pass complete short right to Stephen Anderson for 23 yards (tackle by Justin Simmons),3.580,5.600
3,0:13,1,7,DEN 7,3,13,Justin Herbert pass incomplete short middle intended for Mike Williams,5.600,4.760
