Unnamed: 0,TEN,JAX
First Downs,22,15
Rush-Yds-TDs,44-182-1,21-63-0
Cmp-Att-Yd-TD-INT,17-26-181-1-1,24-34-237-2-1
Sacked-Yards,3-17,2-11
Net Pass Yards,164,226
Total Yards,346,289
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,1-4,4-15
Third Down Conv.,3-13,3-11
Fourth Down Conv.,3-4,1-3
Time of Possession,35:39,24:21
