Unnamed: 0,DEN,SDG
First Downs,18,20
Rush-Yds-TDs,38-111-0,20-56-0
Cmp-Att-Yd-TD-INT,14-22-233-1-0,24-41-232-1-2
Sacked-Yards,1-7,0-0
Net Pass Yards,226,232
Total Yards,337,288
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,7-71,8-65
Third Down Conv.,3-12,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:44,27:16
